Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.4,9:30 PM,MGM Grand Arena,32,Oregon,6,Alabama,Oregon,Oregon,Alabama,Alabama,+6,−110,True,-6,−110,False,Oregon,188-163-3,53.6%,6.9,0.6,50-54-1,48.1%,-1.0,-1.4,Alabama,170-166-7,50.6%,4.8,0.9,76-73-5,51.0%,10.7,1.9,Oregon,+6,−110,48-41-1,53.9%,-3.7,1.1,Alabama,-6,−110,108-107-6,50.2%,9.4,0.6
2,96.2,7:00 PM,MGM Grand Arena,59,San Diego St,4,Houston,San Diego State,San Diego St.,Houston,Houston,+12.5,−112,True,-12.5,−108,False,San Diego St,164-154-11,51.6%,8.5,0.6,49-56-5,46.7%,2.7,-0.4,Houston,182-143-7,56.0%,12.4,2.4,90-59-6,60.4%,18.7,3.8,San Diego St,+12.5,−112,28-33-2,45.9%,-4.6,0.0,Houston,-12.5,−108,150-117-7,56.2%,14.7,2.3
3,94.3,3:30 PM,MGM Grand Arena,31,Texas A&M,67,Rutgers,Texas A&M,Texas A&M-CC,Rutgers,Rutgers,-5,−108,False,+5,−112,True,Texas A&M,163-155-4,51.3%,4.0,-0.1,55-43-2,56.1%,-1.5,1.8,Rutgers,149-153-6,49.3%,-0.4,-0.4,84-74-4,53.2%,6.2,0.5,Rutgers,+5,−112,90-90-1,50.0%,-8.8,-0.2,Texas A&M,-5,−108,97-93-3,51.1%,8.6,-0.8
4,93.3,1:00 PM,MGM Grand Arena,51,Creighton,69,Notre Dame,Creighton,Creighton,Notre Dame,Notre Dame,-7.5,−112,False,+7.5,−108,True,Creighton,179-158-5,53.1%,6.9,0.9,57-56-2,50.4%,-1.0,0.4,Notre Dame,156-161-8,49.2%,3.9,-0.3,70-82-3,46.1%,9.4,-1.3,Notre Dame,+7.5,−108,77-65-4,54.2%,-5.0,1.2,Creighton,-7.5,−112,126-106-2,54.3%,11.5,0.8
5,90.5,6:00 PM,Allen Fieldhouse,106,Furman,9,Kansas,Furman,Furman,Kansas,Kansas,+21.5,−112,True,-21.5,−108,False,Furman,163-123-5,57.0%,7.6,1.3,74-62-3,54.4%,1.2,1.3,Kansas,180-171-5,51.3%,9.2,-0.1,75-77-4,49.3%,14.7,0.2,Furman,+21.5,−112,45-39-2,53.6%,-6.8,0.6,Kansas,-21.5,−108,156-143-4,52.2%,11.3,0.5
6,81.8,9:30 PM,ENMAX Centre,149,Towson,64,Uc Irvine,Towson,Towson,UC Irvine,UC Irvine,+9.5,−108,True,-9.5,−112,False,Towson,144-139-7,50.9%,2.8,0.3,69-51-4,57.5%,-0.1,1.5,Uc Irvine,165-143-11,53.6%,6.9,0.8,60-47-4,56.1%,15.4,1.2,Towson,+9.5,−108,70-62-4,53.0%,-5.0,0.7,Uc Irvine,-9.5,−112,120-100-9,54.6%,8.8,0.7
7,80.7,4:00 PM,John Glaser Arena,112,Temple,133,La Salle,Temple,Temple,La Salle,La Salle,-1,−102,False,+1,−118,True,Temple,157-146-9,51.8%,0.7,0.0,63-49-5,56.3%,-3.1,0.1,La Salle,138-160-7,46.3%,-2.7,-0.7,64-72-4,47.1%,2.0,-0.4,La Salle,+1,−118,84-94-4,47.2%,-7.8,0.2,Temple,-1,−102,73-86-4,45.9%,5.7,-1.2
8,76.0,7:00 PM,Stegeman Coliseum,199,Jacksonville,54,Georgia,Jacksonville,Jacksonville,Georgia,Georgia,+17,−112,True,-17,−108,False,Jacksonville,103-98-3,51.2%,-0.1,0.5,59-55-1,51.8%,-7.7,-0.4,Georgia,161-161-5,50.0%,-0.4,-0.5,79-92-2,46.2%,4.8,-0.7,Jacksonville,+17,−112,62-60-1,50.8%,-9.0,0.1,Georgia,-17,−108,66-76-2,46.5%,7.7,-1.0
9,75.2,7:00 PM,Baha Mar Convention Center,178,Rice,104,Arkansas St,Rice,Rice,Arkansas State,Arkansas St.,+8.5,−110,True,-8.5,−110,False,Rice,137-148-8,48.1%,-1.2,0.0,62-66-2,48.4%,-6.6,0.2,Arkansas St,148-136-6,52.1%,-0.5,-0.1,69-54-2,56.1%,5.9,0.3,Rice,+8.5,−110,89-97-5,47.9%,-7.9,0.1,Arkansas St,-8.5,−110,51-52-2,49.5%,4.0,-1.4
9,75.2,6:00 PM,Eleanor R. Baldwin Arena,187,Fla Gulf Cst,84,Fla Atlantic,FGCU,Florida Gulf Coast,Florida Atlantic,Florida Atlantic,N/A,N/A,False,-13.5,−112,False,Fla Gulf Cst,105-113-1,48.2%,3.2,-0.2,45-51-0,46.9%,-3.1,0.0,Fla Atlantic,147-144-5,50.5%,2.9,0.8,63-54-1,53.9%,9.8,1.9,Fla Atlantic,-13.5,−112,74-71-3,51.0%,-6.4,0.8,Fla Gulf Cst,N/A,N/A,54-59-1,47.8%,4.8,-1.3
11,74.6,8:00 PM,E.A. Diddle Arena,170,Marshall,119,W Kentucky,Marshall,Marshall,Western Kentucky,Western Kentucky,+8,−108,True,-8,−112,False,Marshall,155-156-4,49.8%,1.7,-0.3,63-73-0,46.3%,-5.2,-1.7,W Kentucky,163-149-3,52.2%,3.5,-0.1,67-65-3,50.8%,9.2,-0.3,Marshall,+8,−108,54-76-2,41.5%,-9.3,-1.9,W Kentucky,-8,−112,96-100-2,49.0%,6.2,-1.1
12,73.6,3:00 PM,Brick Breeden Fieldhouse,164,Cal St Nrdge,139,Montana St,CSUN,CSU Northridge,Montana State,Montana St.,+5,−112,True,-5,−108,False,Cal St Nrdge,143-148-5,49.1%,-4.0,-0.9,77-64-4,54.6%,-8.1,0.5,Montana St,145-146-9,49.8%,0.8,0.0,52-64-2,44.8%,7.5,0.0,Cal St Nrdge,+5,−112,104-112-2,48.2%,-9.1,-0.7,Montana St,-5,−108,63-68-4,48.1%,5.8,-0.2
13,73.5,7:30 PM,ENMAX Centre,181,Kennesaw St,120,Kent St,Kennesaw State,Kennesaw St.,Kent State,Kent St.,+5.5,−110,True,-5.5,−110,False,Kennesaw St,95-113-4,45.7%,-4.2,-1.0,48-60-2,44.4%,-11.9,-1.4,Kent St,150-143-14,51.2%,4.2,0.1,64-63-6,50.4%,10.6,-0.1,Kennesaw St,+5.5,−110,65-86-1,43.1%,-13.4,-1.6,Kent St,-5.5,−110,92-90-10,50.6%,6.0,-0.7
14,72.6,3:00 PM,Trask Coliseum,150,App State,160,Nc-Wilmgton,Appalachian State,Appalachian St.,UNCW,UNC Wilmington,+3,−110,True,N/A,N/A,False,App State,146-143-8,50.5%,1.8,0.2,66-67-7,49.6%,-6.5,-0.5,Nc-Wilmgton,145-140-9,50.9%,2.6,0.2,53-54-3,49.5%,9.7,0.4,App State,+3,−110,92-78-6,54.1%,-6.0,1.3,Nc-Wilmgton,N/A,N/A,70-75-3,48.3%,6.3,-0.1
15,70.9,10:00 PM,Gill Coliseum,204,Uc Davis,99,Oregon St,UC Davis,UC Davis,Oregon State,Oregon St.,+10,−110,True,-10,−110,False,Uc Davis,146-133-6,52.3%,1.6,0.6,81-57-1,58.7%,-2.0,2.6,Oregon St,159-151-6,51.3%,-0.9,0.3,87-72-1,54.7%,4.7,1.3,Uc Davis,+10,−110,79-64-0,55.2%,-4.6,2.1,Oregon St,-10,−110,58-64-1,47.5%,7.6,-0.7
16,68.6,1:00 PM,Patrick Gymnasium,154,Northeastrn,185,Vermont,,Northeastern,Vermont,Vermont,N/A,N/A,False,-4.5,−108,False,Northeastrn,142-157-8,47.5%,0.8,-0.3,66-72-3,47.8%,-2.9,-0.4,Vermont,118-109-6,52.0%,9.0,0.4,54-44-3,55.1%,15.5,1.5,Vermont,-4.5,−108,22-27-1,44.9%,-7.9,-1.1,Northeastrn,N/A,N/A,82-85-3,49.1%,6.4,0.3
