Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Indiana,12-4-0,75.0%,25.0%,2.3,8-2-0,80.0%,20.0%,3.3,0-1-0,0.0%,100.0%,-12.0,9-0-0,100.0%,0.0%,13.5,3-3-0,50.0%,50.0%,-12.2,6-4-0,60.0%,40.0%,-3.2,6-2-0,75.0%,25.0%,7.8,6-2-0,75.0%,25.0%,-3.2,6-0-0,100.0%,0.0%,11.3,2-0-0,100.0%,0.0%,10.5,9-2-0,81.8%,18.2%,4.0,1-1-0,50.0%,50.0%,-8.0,3-1-0,75.0%,25.0%,4.9,1-1-0,50.0%,50.0%,-8.0
Denver,10-4-0,71.4%,28.6%,8.1,8-2-0,80.0%,20.0%,6.7,0-2-0,0.0%,100.0%,-31.0,3-2-0,60.0%,40.0%,1.6,7-1-0,87.5%,12.5%,18.2,4-2-0,66.7%,33.3%,9.9,3-1-0,75.0%,25.0%,2.9,7-3-0,70.0%,30.0%,10.3,6-2-0,75.0%,25.0%,6.8,2-0-0,100.0%,0.0%,37.5,6-2-0,75.0%,25.0%,8.9,0-1-0,0.0%,100.0%,-22.5,2-1-0,66.7%,33.3%,23.3,2-0-0,100.0%,0.0%,15.0
Cleveland,12-5-0,70.6%,29.4%,8.4,8-3-0,72.7%,27.3%,10.1,1-0-0,100.0%,0.0%,17.0,1-0-0,100.0%,0.0%,10.5,10-5-0,66.7%,33.3%,7.7,5-3-0,62.5%,37.5%,7.1,1-2-0,33.3%,66.7%,-3.0,11-3-0,78.6%,21.4%,10.9,7-2-0,77.8%,22.2%,9.7,2-2-0,50.0%,50.0%,3.9,9-3-0,75.0%,25.0%,9.3,2-0-0,100.0%,0.0%,8.8,2-2-0,50.0%,50.0%,3.8,,,,
Atlanta,12-5-0,70.6%,29.4%,3.1,7-1-0,87.5%,12.5%,9.6,1-0-0,100.0%,0.0%,12.5,7-2-0,77.8%,22.2%,5.2,4-3-0,57.1%,42.9%,-0.9,6-3-0,66.7%,33.3%,2.2,5-3-0,62.5%,37.5%,-2.6,7-2-0,77.8%,22.2%,8.2,6-2-0,75.0%,25.0%,4.2,1-3-0,25.0%,75.0%,-8.3,8-2-0,80.0%,20.0%,6.1,3-0-0,100.0%,0.0%,4.7,2-4-0,33.3%,66.7%,-6.3,2-0-0,100.0%,0.0%,6.3
Memphis,11-5-0,68.8%,31.3%,3.3,7-2-0,77.8%,22.2%,6.9,1-0-0,100.0%,0.0%,20.5,4-3-0,57.1%,42.9%,-1.9,6-2-0,75.0%,25.0%,5.7,5-2-0,71.4%,28.6%,6.3,5-1-0,83.3%,16.7%,5.4,6-4-0,60.0%,40.0%,2.0,6-3-0,66.7%,33.3%,0.9,2-1-0,66.7%,33.3%,2.0,7-4-0,63.6%,36.4%,0.7,0-2-0,0.0%,100.0%,-7.3,4-1-0,80.0%,20.0%,1.0,1-0-0,100.0%,0.0%,18.0
Phoenix,10-6-0,62.5%,37.5%,1.1,6-3-0,66.7%,33.3%,2.2,1-0-0,100.0%,0.0%,4.5,3-3-0,50.0%,50.0%,-1.4,6-3-0,66.7%,33.3%,2.3,6-2-0,75.0%,25.0%,1.8,4-4-0,50.0%,50.0%,-0.3,6-2-0,75.0%,25.0%,2.4,4-4-0,50.0%,50.0%,0.3,1-2-0,33.3%,66.7%,-4.5,7-4-0,63.6%,36.4%,0.2,1-1-0,50.0%,50.0%,-2.3,3-2-0,60.0%,40.0%,0.3,1-0-0,100.0%,0.0%,24.0
Minnesota,9-6-0,60.0%,40.0%,3.0,5-4-0,55.6%,44.4%,1.2,0-1-0,0.0%,100.0%,-11.0,4-2-0,66.7%,33.3%,5.7,5-3-0,62.5%,37.5%,2.8,5-3-0,62.5%,37.5%,5.3,,,,,9-6-0,60.0%,40.0%,3.0,4-3-0,57.1%,42.9%,0.4,2-1-0,66.7%,33.3%,-2.0,4-3-0,57.1%,42.9%,2.4,2-2-0,50.0%,50.0%,5.9,2-0-0,100.0%,0.0%,5.5,3-1-0,75.0%,25.0%,11.4
Golden State,9-6-0,60.0%,40.0%,1.0,7-4-0,63.6%,36.4%,0.7,1-0-0,100.0%,0.0%,22.0,2-1-0,66.7%,33.3%,1.7,6-5-0,54.6%,45.5%,-1.1,6-3-0,66.7%,33.3%,5.6,5-0-0,100.0%,0.0%,17.1,4-6-0,40.0%,60.0%,-7.1,3-3-0,50.0%,50.0%,-6.0,0-1-0,0.0%,100.0%,-26.0,6-4-0,60.0%,40.0%,0.7,2-2-0,50.0%,50.0%,1.6,,,,,2-1-0,66.7%,33.3%,4.0
New York,9-6-0,60.0%,40.0%,7.3,8-2-0,80.0%,20.0%,13.6,1-0-0,100.0%,0.0%,19.5,3-3-0,50.0%,50.0%,4.3,5-3-0,62.5%,37.5%,8.0,6-2-0,75.0%,25.0%,11.0,1-0-0,100.0%,0.0%,19.5,8-6-0,57.1%,42.9%,6.4,3-4-0,42.9%,57.1%,3.0,2-0-0,100.0%,0.0%,11.0,6-3-0,66.7%,33.3%,10.6,0-4-0,0.0%,100.0%,-10.4,1-0-0,100.0%,0.0%,15.0,0-3-0,0.0%,100.0%,-9.3
LA Lakers,9-6-0,60.0%,40.0%,5.5,5-4-0,55.6%,44.4%,3.7,0-1-0,0.0%,100.0%,-11.0,3-1-0,75.0%,25.0%,12.9,6-4-0,60.0%,40.0%,4.3,4-3-0,57.1%,42.9%,2.8,2-2-0,50.0%,50.0%,0.8,7-4-0,63.6%,36.4%,7.3,5-3-0,62.5%,37.5%,7.9,1-1-0,50.0%,50.0%,4.8,5-3-0,62.5%,37.5%,6.9,3-2-0,60.0%,40.0%,4.6,1-0-0,100.0%,0.0%,27.0,3-1-0,75.0%,25.0%,7.4
Chicago,10-7-0,58.8%,41.2%,5.6,7-5-0,58.3%,41.7%,3.9,1-0-0,100.0%,0.0%,9.0,7-3-0,70.0%,30.0%,11.7,2-4-0,33.3%,66.7%,-5.2,6-4-0,60.0%,40.0%,6.3,9-7-0,56.3%,43.8%,4.0,1-0-0,100.0%,0.0%,31.5,4-3-0,57.1%,42.9%,4.6,1-2-0,33.3%,66.7%,1.3,7-5-0,58.3%,41.7%,4.2,2-1-0,66.7%,33.3%,14.5,1-1-0,50.0%,50.0%,2.3,1-0-0,100.0%,0.0%,31.5
Washington,8-6-0,57.1%,42.9%,1.1,4-4-0,50.0%,50.0%,2.8,0-1-0,0.0%,100.0%,-7.0,7-4-0,63.6%,36.4%,1.0,1-1-0,50.0%,50.0%,5.8,5-2-0,71.4%,28.6%,3.1,8-6-0,57.1%,42.9%,1.1,,,,,3-4-0,42.9%,57.1%,-0.9,1-1-0,50.0%,50.0%,-12.5,6-2-0,75.0%,25.0%,11.1,3-2-0,60.0%,40.0%,-2.3,1-0-0,100.0%,0.0%,4.5,1-2-0,33.3%,66.7%,-13.8
