Rank,Hotness Score,Matchup,Time,Location
1,89.7,#86 North Texas  at  #75 Minnesota,8:00 PM,Williams Arena
2,88.5,#122 Kent St  at  #1 Auburn,8:00 PM,Neville Arena
3,88.4,#123 Troy  at  #35 Arkansas,8:00 PM,Bud Walton Arena
4,83.8,#96 U Mass  vs.  #120 LA Tech,6:00 PM,Nassau Veterans Memorial Coliseum
5,82.8,#168 Wyoming  at  #21 Texas Tech,8:00 PM,United Supermarkets Arena
6,81.5,#164 Weber St  at  #47 Nevada,10:00 PM,Lawlor Events Center
7,81.0,#180 Louisiana  at  #2 Houston,8:00 PM,Fertitta Center
8,80.1,#137 California  at  #105 Vanderbilt,8:00 PM,Memorial Gymnasium
9,79.2,#151 Hofstra  vs.  #104 Seton Hall,8:00 PM,Nassau Veterans Memorial Coliseum
10,78.3,#193 Merrimack  at  #44 VCU,7:00 PM,Stuart C. Siegel Center
11,75.5,#198 TX-Arlington  at  #59 USC,11:00 PM,Galen Center
12,75.4,#217 Montana  at  #10 Tennessee,7:00 PM,Thompson-Boling Arena at Food City Center
13,71.9,#114 St Bonavent  at  #191 Fla Gulf Cst,7:00 PM,Alico Arena
14,70.4,#226 Lg Beach St  at  #78 San Francisco,10:00 PM,War Memorial at the Sobrato Center
15,69.2,#233 Central Mich  at  #77 Geo Mason,7:00 PM,EagleBank Arena
16,68.9,#245 Ball St  at  #45 Dayton,7:00 PM,University of Dayton Arena
16,68.9,#256 Oakland  at  #14 Illinois,9:00 PM,State Farm Center
16,68.9,#174 Richmond  at  #158 Charlotte,7:00 PM,Dale F. Halton Arena
19,67.3,#200 Wright St  at  #148 Toledo,7:00 PM,Savage Arena
20,66.0,#241 N Dakota St  at  #92 Santa Clara,10:00 PM,Leavey Center
21,64.4,#279 Queens  at  #36 BYU,9:00 PM,Marriott Center
22,64.1,#282 Wagner  at  #19 St Johns,6:30 PM,Carnesecca Arena
23,63.9,#259 CS Fullerton  at  #84 Colorado,9:00 PM,CU Events Center
24,63.7,#225 Evansville  at  #139 Middle Tenn,7:30 PM,Murphy Center
25,62.8,#258 Fresno St  at  #99 UCSB,10:00 PM,The Thunderdome
26,62.1,#135 Wofford  at  #242 Presbyterian,7:00 PM,Ross E. Templeton Physical Education Center
27,60.1,#290 Coastal Car  at  #60 NC State,7:00 PM,Lenovo Center
28,59.8,#230 Oral Roberts  at  #162 Tulsa,8:00 PM,Reynolds Center
29,59.5,#192 WI-Milwkee  at  #206 Longwood,7:00 PM,Joan Perry Brock Center
30,58.3,#216 Georgia St  at  #195 Jksnville St,7:00 PM,Pete Mathews Coliseum
31,56.8,#323 Le Moyne  at  #7 Connecticut,7:00 PM,XL Center
32,53.6,#249 Harvard  at  #187 Northeastrn,7:00 PM,Matthews Arena
33,51.7,#343 Hsn Christian  at  #34 Creighton,9:00 PM,CHI Health Center Omaha
34,50.8,#342 SC Upstate  at  #53 Wake Forest,7:00 PM,Lawrence Joel Veterans Memorial Coliseum
35,48.2,#349 F Dickinson  at  #68 Nebraska,8:00 PM,Pinnacle Bank Arena
36,43.4,#287 Mt St Marys  at  #208 Bucknell,7:00 PM,Sojka Pavilion
37,35.9,#254 Howard  vs.  #292 TN State,7:00 PM,Global Credit Union Arena at GCU
38,26.7,#296 Albany  at  #301 Dartmouth,5:00 PM,Leede Arena
39,24.1,#263 Southern  at  #347 TX A&M-Com,7:30 PM,The Field House
40,23.3,#322 WI-Grn Bay  at  #294 W Illinois,8:00 PM,LeRoy A. Ufkes Court at Western Hall
41,22.5,#306 S Indiana  at  #316 Bellarmine,6:30 PM,Freedom Hall
42,15.4,#303 Canisius  at  #355 Mercyhurst,7:00 PM,Owen McCormick Court at the Mercyhurst Athletic
43,--,Fisk  at  #307 Alab A&M,8:00 PM,Alabama A&M Events Center
43,--,Crowley's Ridge College  at  #334 SE Missouri,7:30 PM,Show Me Center
43,--,Westminster College  at  #30 Utah St,9:00 PM,Dee Glen Smith Spectrum
43,--,Emerson  at  #109 Yale,7:00 PM,John J. Lee Amphitheater
43,--,Bethesda University  at  #318 Utah Tech,9:00 PM,Burns Arena
43,--,Bryan  at  #224 Kennesaw St,7:00 PM,KSU Convocation Center
43,--,Newberry  at  #293 Campbell,7:00 PM,Gore Arena/Pope Convocation Center
43,--,Truett-McConnell  at  #288 W Carolina,7:00 PM,Ramsey Center
43,--,Tusculum  at  #203 E Tenn St,7:00 PM,Freedom Hall Civic Center
43,--,Trinity Baptist  at  #205 Mercer,7:00 PM,Hawkins Arena
43,--,Nobel University  at  #215 Cal St Nrdge,10:00 PM,Premier America Credit Union Arena
43,--,Randall University  at  #356 Central Ark,7:30 PM,Farris Center
