Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Albany,Dartmouth,Albany,4.5,150.5.,160,False
Southern Indiana,Bellarmine,Southern Indiana,4.5,139.5.,140,False
Wagner,St. John'S,Wagner,26.0,143.,111,False
St. Bonaventure,Florida Gulf Coast,St. Bonaventure,-2.5,135.5.,139,False
Milwaukee,Longwood,Longwood,-3.5,155.,138,True
Coastal Carolina,NC State,Coastal Carolina,17.0,139.,152,False
Wright St.,Toledo,Toledo,-7.0,161.5.,163,True
Mount St. Mary'S,Bucknell,Mount St. Mary's,6.5,145.,182,False
South Carolina Upstate,Wake Forest,South Carolina Upstate,30.0,153.5.,165,False
Georgia St.,Jacksonville St.,Georgia St.,5.5,141.,139,False
Central Michigan,George Mason,Central Michigan,14.5,138.,139,False
Montana,Tennessee,Tennessee,-26.5,141.,149,True
Merrimack,VCU,VCU,-15.5,134.5.,105,True
Ball St.,Dayton,Ball St.,16.0,143.5.,146,False
Richmond,Charlotte,Charlotte,-1.5,141.5.,113,True
Harvard,Northeastern,Northeastern,-2.0,142.5.,134,True
Wofford,Presbyterian,Presbyterian,4.5,146.,139,True
Howard,Tennessee St.,Howard,-2.5,148.,172,False
Canisius,Mercyhurst,Mercyhurst,2.0,140.,114,True
Le Moyne,Connecticut,Connecticut,-36.5,151.,139,True
Southern,Texas A&M Commerce,Texas A&M Commerce,3.5,146.5.,138,True
Evansville,Middle Tennessee St.,Middle Tennessee St.,-11.0,145.5.,143,True
Troy,Arkansas,Arkansas,-12.5,153.5.,114,True
North Texas,Minnesota,North Texas,2.5,129.5.,105,False
Hofstra,Seton Hall,Hofstra,5.0,137.5.,97,False
UL Lafayette,Houston,Houston,-31.0,140.,136,True
Green Bay,Western Illinois,Green Bay,2.0,143.5.,160,False
Fairleigh Dickinson,Nebraska,Fairleigh Dickinson,28.0,158.5.,146,False
California,Vanderbilt,Vanderbilt,-7.0,157.,154,True
Oral Roberts,Tulsa,Oral Roberts,10.5,152.5.,161,False
Wyoming,Texas Tech,Texas Tech,-18.5,145.,145 pushed the pre-game total of 145.,True
Queens University Of Charlotte,Brigham Young,Brigham Young,-31.0,158.5.,154,True
Oakland,Illinois,Oakland,24.0,150.5.,120,False
CSU Fullerton,Colorado,Colorado,-15.0,136.,136 pushed the pre-game total of 136.,True
Houston Christian,Creighton,Houston Christian,35.5,153.,121,False
Weber St.,Nevada,Nevada,-17.0,137.5.,146,True
Fresno St.,UC Santa Barbara,Fresno St.,12.0,150.5.,177,False
Long Beach St.,San Francisco,San Francisco,-15.5,144.5.,138,True
North Dakota State,Santa Clara,North Dakota State,15.5,153.,168,False
Texas-Arlington,Southern California,Texas-Arlington,16.0,154.,193,False
