Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
The Citadel,Central Arkansas,The Citadel,+4.5,137.5.,144,[]
Southeastern Louisiana,Grambling State,Southeastern Louisiana,+2.5,134.5.,140,[]
Wofford,Charleston,Charleston,-6,149.,144,[]
California Baptist,Middle Tennessee St.,Middle Tennessee St.,-5,148.,139,[]
Grand Canyon,Louisiana Tech,Louisiana Tech,+3,144.5.,140,[]
Air Force,Northern Colorado,Air Force,+9.5,140.5.,157,[]
Oral Roberts,Texas Tech,Texas Tech,-28,148.,136,[]
Alcorn St.,Rice,Alcorn St.,+15,136.5.,152,[]
South Alabama,Texas Christian,South Alabama,+12.5,136.5.,107,[]
Montana,Northern Iowa,Northern Iowa,-10.5,146.,180,[]
Tarleton State,Texas-El Paso,Tarleton State,+15,130.5.,129,[]
Southern Utah,New Mexico St.,Southern Utah,+5,146.,141,[]
