Rank,Hotness Score,Matchup,Time,Location
1,84.2,#95 Grd Canyon  at  #117 LA Tech,7:30 PM,Thomas Assembly Center
2,75.8,#147 Wofford  at  #135 Col Charlestn,7:00 PM,TD Arena
3,73.6,#208 S Alabama  at  #73 TX Christian,8:00 PM,Ed and Rae Schollmaier Arena
4,73.3,#164 Cal Baptist  at  #137 Middle Tenn,7:30 PM,Murphy Center
5,69.9,#215 Montana  at  #102 N Iowa,8:00 PM,McLeod Center
6,61.3,#295 Oral Roberts  at  #26 Texas Tech,8:00 PM,United Supermarkets Arena
7,55.2,#231 S Utah  at  #199 N Mex State,9:00 PM,Pan American Center
8,49.3,#285 Air Force  at  #167 N Colorado,8:00 PM,Bank of Colorado Arena
9,47.1,#321 Tarleton St  at  #131 TX El Paso,9:00 PM,Don Haskins Center
10,44.1,#238 SE Louisiana  at  #260 Grambling St,7:00 PM,Willis Reed Court at the Fredrick C. Hobdy Center
11,34.7,#357 Alcorn St  at  #172 Rice,8:00 PM,Tudor Fieldhouse
12,7.7,#351 Citadel  at  #343 Central Ark,7:00 PM,Farris Center
13,--,St. Thomas (TX)  at  #140 Sam Hous St,7:30 PM,Bernard G. Johnson Coliseum
13,--,Truett-McConnell  at  #109 Lipscomb,8:00 PM,Allen Arena
13,--,Philadelphia Biblical  at  #360 Maryland ES,7:00 PM,Hytche Athletic Center
13,--,Whittier  at  #309 Utah Tech,9:00 PM,Burns Arena
13,--,WV Wesleyan  at  #182 Marshall,7:00 PM,Cam Henderson Center
13,--,Willamette  at  #328 Portland,10:00 PM,Chiles Center
