,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,86.9,10:00 PM,Crypto.com Arena,6,Memphis,17,La Lakers,MEM Grizzlies,,6-5-0,54.6%,9.4,7.0,2-3-0,40.0%,8.4,7.8,4-4-0,50.0%,10.4,5.8,6-4-0,60.0%,-0.3,-2.6,5-0-0,100.0%,9.6,5.7,2-2-0,50.0%,-9.5,-6.1
1,2,86.3,10:00 PM,Golden 1 Center,12,Phoenix,13,Sacramento,PHO Suns,SAC Kings,4-7-0,36.4%,2.6,-0.8,3-2-0,60.0%,2.2,0.1,2-6-0,25.0%,2.9,-2.8,5-5-1,50.0%,2.3,-2.4,1-2-1,33.3%,4.3,-3.3,2-2-0,50.0%,1.0,2.0
2,3,79.0,8:00 PM,Toyota Center,16,La Clippers,10,Houston,,HOU Rockets,7-4-0,63.6%,1.5,3.7,4-0-0,100.0%,4.0,11.4,2-2-0,50.0%,5.5,0.6,6-5-0,54.6%,4.9,2.5,4-2-0,66.7%,10.5,5.0,2-1-0,66.7%,-0.3,5.0
3,4,77.7,7:00 PM,Kia Center,15,Indiana,11,Orlando,IND Pacers,ORL Magic,6-4-0,60.0%,-2.6,-3.2,3-3-0,50.0%,-7.2,-7.6,2-3-0,40.0%,-3.6,-9.7,5-7-0,41.7%,3.7,2.3,4-1-0,80.0%,19.6,10.4,1-5-0,16.7%,-8.5,-2.8
4,5,71.6,8:00 PM,Fiserv Forum,23,Detroit,14,Milwaukee,DET Pistons,MIL Bucks,7-5-0,58.3%,-2.2,2.8,3-2-0,60.0%,0.6,5.6,0-2-0,0.0%,0.0,-1.5,4-7-0,36.4%,-3.4,-5.3,2-3-0,40.0%,3.8,-1.3,1-3-0,25.0%,-10.3,-3.1
5,6,70.4,7:30 PM,Barclays Center,2,Boston,25,Brooklyn,BOS Celtics,BKN Nets,6-6-0,50.0%,9.6,-0.5,4-3-0,57.1%,12.0,2.1,6-6-0,50.0%,9.6,-0.5,9-2-0,81.8%,-0.8,5.4,4-1-0,80.0%,0.8,3.6,7-1-0,87.5%,-0.6,8.6
6,7,66.7,10:00 PM,Moda Center,9,Minnesota,28,Portland,MIN Timberwolves,POR Trail Blazers,4-7-0,36.4%,3.6,-3.3,2-3-0,40.0%,-2.6,-7.4,4-7-0,36.4%,3.6,-3.3,6-5-1,54.6%,-9.0,-1.3,3-3-0,50.0%,-11.7,-4.8,6-5-1,54.6%,-9.0,-1.3
7,8,62.0,7:30 PM,Madison Square Garden,26,Chicago,5,New York,CHI Bulls,NY Knicks,5-6-0,45.5%,-5.5,-0.2,3-3-0,50.0%,-2.3,3.2,0-1-0,0.0%,-9.0,-16.5,5-5-0,50.0%,4.1,0.9,2-1-0,66.7%,13.7,9.0,0-1-0,0.0%,-23.0,-17.0
8,9,57.3,7:30 PM,Wells Fargo Center,3,Cleveland,20,Philadelphia,CLE Cavaliers,PHI 76ers,9-3-0,75.0%,12.0,6.0,5-1-0,83.3%,11.8,7.5,7-3-0,70.0%,13.7,6.1,2-8-0,20.0%,-8.0,-6.3,0-5-0,0.0%,-10.4,-10.9,2-4-0,33.3%,-7.8,-2.5
9,10,48.7,7:30 PM,Paycom Center,21,New Orleans,1,Okla City,NO Pelicans,OKC Thunder,2-9-0,18.2%,-9.5,-9.1,0-5-0,0.0%,-16.0,-16.6,1-4-0,20.0%,-8.8,-12.9,7-4-0,63.6%,12.2,4.2,3-3-0,50.0%,11.0,1.7,1-0-0,100.0%,15.0,17.0
10,11,38.1,8:00 PM,Frost Bank Center,30,Washington,19,San Antonio,WAS Wizards,SA Spurs,2-7-0,22.2%,-13.7,-3.9,1-3-0,25.0%,-16.0,-6.4,,,,,6-5-0,54.6%,-0.1,2.5,4-2-0,66.7%,6.7,6.6,4-4-0,50.0%,-3.9,1.3
