Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,86.9,10:00 PM,Crypto.com Arena,6,Memphis,17,La Lakers,MEM Grizzlies,Memphis,LA Lakers,L.A. Lakers,+7,−112,True,-7,−108,False,Memphis,905-863-31,51.2%,-0.4,0.3,442-437-16,50.3%,-3.1,0.4,La Lakers,870-972-32,47.2%,0.3,-0.4,426-478-18,47.1%,3.5,0.0,Memphis,+7,−112,473-454-15,51.0%,-5.2,0.9,La Lakers,-7,−108,462-540-19,46.1%,5.4,-1.2
2,86.3,10:00 PM,Golden 1 Center,12,Phoenix,13,Sacramento,PHO Suns,Phoenix,SAC Kings,Sacramento,+7.5,−110,True,-7.5,−110,False,Phoenix,896-891-28,50.1%,0.5,-0.1,455-427-16,51.6%,-2.2,0.1,Sacramento,834-854-41,49.4%,-2.4,-0.4,392-444-21,46.9%,0.1,-0.7,Phoenix,+7.5,−110,397-412-13,49.1%,-5.9,0.4,Sacramento,-7.5,−110,296-331-17,47.2%,3.9,-1.5
3,79.0,8:00 PM,Toyota Center,16,La Clippers,10,Houston,LA Clippers,L.A. Clippers,HOU Rockets,Houston,+4.5,−110,True,-4.5,−110,False,La Clippers,880-917-20,49.0%,0.8,-0.1,438-445-12,49.6%,-1.9,0.2,Houston,888-906-26,49.5%,1.3,0.2,429-455-18,48.5%,4.1,0.0,La Clippers,+4.5,−110,371-425-7,46.6%,-6.0,-0.1,Houston,-4.5,−110,504-518-15,49.3%,6.0,-0.4
4,77.7,7:00 PM,Kia Center,15,Indiana,11,Orlando,IND Pacers,Indiana,ORL Magic,Orlando,-2,−108,False,+2,−112,True,Indiana,914-875-42,51.1%,0.6,0.3,446-447-17,49.9%,-2.7,-0.1,Orlando,865-877-37,49.7%,-1.4,-0.1,413-444-18,48.2%,1.2,-0.4,Orlando,+2,−112,501-510-23,49.6%,-6.2,0.2,Indiana,-2,−108,467-447-18,51.1%,5.4,-0.2
5,71.6,8:00 PM,Fiserv Forum,23,Detroit,14,Milwaukee,DET Pistons,Detroit,MIL Bucks,Milwaukee,+5.5,−115,True,-5.5,−105,False,Detroit,868-895-40,49.2%,-1.1,-0.2,432-443-24,49.4%,-3.8,-0.1,Milwaukee,871-904-34,49.1%,0.2,-0.5,418-455-18,47.9%,2.9,-0.5,Detroit,+5.5,−115,474-496-24,48.9%,-6.1,0.3,Milwaukee,-5.5,−105,467-465-24,50.1%,5.5,-0.7
6,70.4,7:30 PM,Barclays Center,2,Boston,25,Brooklyn,BOS Celtics,Boston,BKN Nets,Brooklyn,-8.5,−112,False,+8.5,−108,True,Boston,992-919-38,51.9%,3.0,0.6,509-431-15,54.2%,0.6,1.1,Brooklyn,863-893-34,49.2%,-2.1,-0.4,409-458-19,47.2%,0.0,-1.0,Brooklyn,+8.5,−108,521-532-20,49.5%,-6.2,0.2,Boston,-8.5,−112,616-606-23,50.4%,6.4,-0.1
7,66.7,10:00 PM,Moda Center,9,Minnesota,28,Portland,MIN Timberwolves,Minnesota,POR Trail Blazers,Portland,-9,−110,False,+9,−110,True,Minnesota,803-912-27,46.8%,-1.9,-0.4,422-430-17,49.5%,-4.1,0.3,Portland,864-890-27,49.3%,-1.2,-0.3,432-436-13,49.8%,2.1,-0.2,Portland,+9,−110,450-489-15,47.9%,-6.7,-0.3,Minnesota,-9,−110,316-384-11,45.1%,4.7,-0.9
8,62.0,7:30 PM,Madison Square Garden,26,Chicago,5,New York,CHI Bulls,Chicago,NY Knicks,New York,+8,−105,True,-8,−115,False,Chicago,882-884-24,49.9%,-0.4,0.1,454-426-14,51.6%,-2.5,0.8,New York,873-848-23,50.7%,-2.1,0.2,423-438-9,49.1%,0.0,-0.4,Chicago,+8,−105,476-469-12,50.4%,-5.0,0.6,New York,-8,−115,321-300-5,51.7%,4.4,-0.5
9,57.3,7:30 PM,Wells Fargo Center,3,Cleveland,20,Philadelphia,CLE Cavaliers,Cleveland,PHI 76ers,Philadelphia,-9.5,−110,False,+9.5,−110,True,Cleveland,897-929-36,49.1%,0.2,-0.3,442-463-24,48.8%,-2.8,-0.5,Philadelphia,892-878-30,50.4%,-1.1,0.1,444-430-17,50.8%,1.6,-0.1,Philadelphia,+9.5,−110,486-488-14,49.9%,-6.3,0.4,Cleveland,-9.5,−110,478-488-22,49.5%,6.2,-0.4
10,48.7,7:30 PM,Paycom Center,21,New Orleans,1,Okla City,NO Pelicans,New Orleans,OKC Thunder,Oklahoma City,+14.5,−110,True,-14.5,−110,False,New Orleans,864-861-30,50.1%,-1.0,0.3,430-425-17,50.3%,-3.3,0.7,Okla City,946-857-31,52.5%,0.9,0.3,468-428-14,52.2%,4.1,0.4,New Orleans,+14.5,−110,507-478-17,51.5%,-4.8,1.3,Okla City,-14.5,−110,507-470-10,51.9%,6.6,0.0
