Rank,Hotness Score,Matchup,Time,Location
1,98.5,#8 Alabama  vs.  #27 Illinois,9:00 PM,Legacy Arena
2,90.0,#110 IPFW  at  #19 Penn St,7:00 PM,Bryce Jordan Center
3,78.7,#172 N Mex State  at  #70 Dayton,7:00 PM,University of Dayton Arena
4,76.6,#186 Norfolk St  at  #64 Stanford,10:00 PM,Maples Pavilion
5,76.0,#192 UC Davis  at  #78 Grd Canyon,9:00 PM,Global Credit Union Arena at GCU
6,72.1,#223 Merrimack  at  #56 Rutgers,8:00 PM,Jersey Mike's Arena
6,72.1,#241 Idaho St  at  #20 UCLA,11:00 PM,Pauley Pavilion presented by Wescom
8,71.5,#131 Towson  at  #185 Nicholls,7:30 PM,Stopher Gymnasium
9,70.3,#156 N Colorado  at  #167 Cal Baptist,10:30 PM,Dale E. and Sarah Ann Fowler Events Center
10,70.1,#245 Southern  at  #22 Texas A&M,8:00 PM,Reed Arena
11,69.4,#226 Iona  at  #82 W Virginia,7:00 PM,WVU Coliseum
12,65.7,#225 TX El Paso  at  #115 UCSB,10:00 PM,The Thunderdome
13,64.8,#280 Lg Beach St  at  #1 Gonzaga,9:00 PM,McCarthey Athletic Center
14,64.0,#254 Jacksonville  at  #93 VA Tech,7:00 PM,Cassell Coliseum
15,62.9,#251 Pepperdine  at  #106 UNLV,10:00 PM,Thomas & Mack Center
16,60.6,#218 S Mississippi  at  #168 S Dakota St,8:00 PM,First Bank & Trust Arena
17,59.7,#284 San Jose St  at  #75 USC,10:00 PM,Galen Center
18,59.4,#301 Siena  at  #44 Xavier,6:30 PM,Cintas Center
19,59.2,#297 Cal Poly  at  #63 Arizona St,9:00 PM,Desert Financial Arena
20,57.8,#207 Abl Christian  at  #202 Kennesaw St,7:00 PM,KSU Convocation Center
21,57.0,#263 Mt St Marys  at  #148 Georgetown,8:30 PM,Capital One Arena
22,56.2,#250 AR Lit Rock  at  #165 Tulsa,8:00 PM,Reynolds Center
23,55.5,#100 Yale  at  #303 Stony Brook,6:31 PM,Island Federal Credit Union Arena
24,54.4,#295 Lafayette  at  #108 Rhode Island,7:00 PM,Thomas M. Ryan Center
25,52.5,#237 Maine  at  #210 Richmond,7:00 PM,Robins Center
26,49.8,#122 Col Charlestn  at  #315 Citadel,6:00 PM,McAlister Field House
27,48.4,#325 Jackson St  at  #119 W Kentucky,8:00 PM,E.A. Diddle Arena
28,46.3,#355 Maryland ES  at  #72 Murray St,8:00 PM,CFSB Center
29,44.3,#175 Columbia  at  #314 LIU,7:00 PM,Steinberg Wellness Center
30,43.2,#362 Coppin St  at  #90 Geo Mason,7:00 PM,EagleBank Arena
31,40.2,#236 Elon  at  #283 N Illinois,7:00 PM,NIU Convocation Center
32,36.6,#244 Austin Peay  at  #292 Morehead St,7:00 PM,Ellis T. Johnson Arena
33,32.4,#242 South Dakota  at  #319 W Michigan,7:00 PM,University Arena in Read Fieldhouse
34,27.8,#335 Detroit  at  #252 Ball St,7:00 PM,Worthen Arena
35,24.3,#343 Morgan St  at  #257 NC A&T,7:00 PM,Corbett Sports Center
36,22.6,#347 F Dickinson  at  #269 Army,7:00 PM,Christl Arena
37,19.5,#354 Prairie View  at  #275 Fresno St,10:00 PM,Save Mart Center
38,--,College of Saint Elizabeth  at  #169 St Peters,7:00 PM,Victor R. Yanitelli Recreation Life Center
38,--,CSU Stanislaus  at  #50 St Marys,10:00 PM,University Credit Union Pavilion
38,--,Oglethorpe  at  #132 Furman,7:00 PM,Timmons Arena
38,--,Central State (OH)  at  #204 Central Mich,7:00 PM,McGuirk Arena
38,--,Penn St.-Schuylkill  at  #344 St Fran (PA),7:00 PM,DeGol Arena
38,--,Valley Forge  at  #302 Lehigh,7:00 PM,Stabler Arena
38,--,Endicott College  at  #352 N Hampshire,7:00 PM,Lundholm Gymnasium
38,--,Mitchell College  at  #309 Holy Cross,6:00 PM,Hart Center
38,--,Mansfield  at  #111 St Bonavent,7:00 PM,Reilly Center
38,--,Fisher College  at  #155 Mass Lowell,3:00 PM,Costello Athletic Center
