Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Charleston,The Citadel,Charleston,-12.0,145.,137,False
Siena,Xavier,Siena,27.0,144.,135,False
Yale,Stony Brook,Yale,-9.0,141.5.,150,False
Abilene Christian,Kennesaw St.,Kennesaw St.,-4.5,156.5.,162,True
Morgan St.,North Carolina A&T,Morgan St.,6.5,159.5.,169,False
Elon University,Northern Illinois,Elon University,-2.0,144.,123,False
Purdue Fort Wayne,Penn St.,Purdue Fort Wayne,17.0,159.5.,191,False
Lafayette,Rhode Island,Lafayette,15.5,147.,158,False
South Dakota,Western Michigan,South Dakota,-2.5,155.5.,156,False
Austin Peay,Morehead St.,Morehead St.,-1.0,137.5.,121,True
Jacksonville,Virginia Tech,Jacksonville,14.0,135.,138,False
Iona,West Virginia,West Virginia,-12.0,147.,129,True
Fairleigh Dickinson,Army,Army,-6.5,148.5.,154,True
Maine,Richmond,Maine,8.0,129.5.,136,False
Columbia,LIU,LIU,10.5,152.5.,152,True
New Mexico St.,Dayton,Dayton,-15.5,142.,127,True
Detroit Mercy,Ball St.,Detroit Mercy,11.5,143.5.,129,False
Coppin St.,George Mason,George Mason,-28.5,134.5.,148,True
Towson,Nicholls State,Towson,-3.0,137.,134,False
Southern,Texas A&M,Southern,25.5,143.,125,False
Merrimack,Rutgers,Merrimack,19.5,134.5.,137,False
Little Rock,Tulsa,Little Rock,12.5,150.5.,128,False
Southern Miss,South Dakota State,South Dakota State,-7.0,153.,177,True
Jackson State,Western Kentucky,Western Kentucky,-15.0,152.5.,141,True
Maryland-Eastern Shore,Murray St.,Maryland-Eastern Shore,25.0,149.,140,False
Mount St. Mary'S,Georgetown,Georgetown,-14.5,142.5.,130,True
Cal Poly SLO,Arizona State,Cal Poly SLO,16.5,154.5.,182,False
UC Davis,Grand Canyon,UC Davis,17.0,152.,143,False
Illinois,Alabama,Alabama,-8.5,168.5.,187,True
Long Beach St.,Gonzaga,Gonzaga,-34.0,151.,125,True
Prairie View A&M,Fresno St.,Prairie View A&M,14.0,155.5.,177,False
Pepperdine,UNLV,UNLV,-13.5,147.,139,True
San Jose St.,Southern California,San Jose St.,17.0,140.5.,150,False
Texas-El Paso,UC Santa Barbara,Texas-El Paso,5.5,145.5.,155,False
Norfolk State,Stanford,Norfolk State,21.0,142.5.,133,False
Northern Colorado,California Baptist,Northern Colorado,4.5,151.,147,False
Idaho State,UCLA,Idaho State,24.5,131.,154,False
