Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Portland,Princeton,Princeton,-11.5,147.,161,True
Hampton,Boise St.,Hampton,23.0,139.,152,False
St. John'S,Georgia,Georgia,6.0,150.,129,True
Charleston,Rhode Island,Rhode Island,-3.5,156.5.,144,True
Albany,American U.,American U.,1.0,135.5.,158,True
Lamar,Nebraska Omaha,Nebraska Omaha,-2.0,151.,124,True
Northeastern,CSU Bakersfield,CSU Bakersfield,5.5,132.,128,True
Holy Cross,Maine,Maine,-5.0,134.5.,135,True
Howard,Boston U,Boston U,2.5,135.5.,131,True
Wofford,Portland St.,Portland St.,6.0,150.,153,True
Miami-Florida,VCU,VCU,-3.0,145.5.,147,True
Rutgers,Kennesaw St.,Kennesaw St.,11.5,157.5.,156,True
South Florida,Wright St.,Wright St.,3.0,154.,145,True
Vermont,Fairfield,Fairfield,8.5,134.5.,133,True
Binghamton,Central Conn. St.,Central Conn. St.,-5.0,135.,120,True
Villanova,Maryland,Villanova,6.0,140.,151,False
William & Mary,Appalachian St.,William & Mary,4.0,151.,155,False
South Dakota State,Duquesne,South Dakota State,-2.5,147.5.,131,False
Eastern Illinois,Valparaiso,Valparaiso,-6.5,142.,134,True
UNC Asheville,Central Arkansas,Central Arkansas,7.5,144.,175,True
Bryant,St. Bonaventure,St. Bonaventure,-7.5,150.,155,True
St. Thomas (MN),Milwaukee,Milwaukee,-2.5,152.5.,134,True
Oklahoma State,Nevada,Nevada,-5.5,145.,168,True
Louisiana State,Central Florida,Louisiana State,-1.0,147.5.,211,False
Alabama St.,Akron,Akron,-8.0,149.,175,True
Florida International,Florida Gulf Coast,Florida International,4.0,135.,119,False
North Alabama,Northwestern St.,Northwestern St.,6.5,144.,129,True
Florida State,Massachusetts,Florida State,-5.5,151.5.,151,False
Towson,Morgan St.,Morgan St.,10.0,143.5.,124,True
Utah Tech,CSU Northridge,CSU Northridge,-8.5,155.,168,True
Campbell,Evansville,Evansville,-4.0,145.,119,True
Sacramento State,California,Sacramento State,14.5,138.5.,160,False
Mercyhurst,Air Force,Air Force,-9.0,127.,130,True
Jackson State,Lipscomb,Lipscomb,-16.0,146.5.,130,True
Missouri St.,High Point,Missouri St.,7.5,141.5.,132,False
Queens University Of Charlotte,East Tennessee St.,East Tennessee St.,-8.5,154.,149,True
Idaho,San Diego,San Diego,-3.5,146.5.,129,True
Arkansas-Pine Bluff,Missouri,Missouri,-35.5,158.,175,True
Pittsburgh,Wisconsin,Wisconsin,2.5,148.,156,True
Middle Tennessee St.,Bradley,Bradley,-5.5,144.5.,149,True
Longwood,McNeese St.,McNeese St.,-8.0,141.5.,153,True
Florida Atlantic,Seton Hall,Seton Hall,2.5,137.,124,True
Yale,Delaware,Delaware,9.0,148.,194,True
Grambling State,Southern California,Grambling State,22.0,139.5.,149,False
Denver,Montana,Denver,10.5,148.,156,False
Old Dominion,Boston College,Boston College,-11.0,143.5.,134,True
Liberty,Kansas State,Liberty,3.5,133.,132,False
Ohio,Texas State,Texas State,3.0,146.,139,True
Texas Southern,New Mexico,New Mexico,-25.0,157.5.,167,True
Southern Miss,Montana St.,Montana St.,-7.0,151.5.,138,True
Drake,Vanderbilt,Drake,4.5,142.5.,151,False
