Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Washington,453-382-14,54.3%,45.8%,1.5,246-205-8,54.6%,45.5%,1.8,16-12-0,57.1%,42.9%,5.6,247-213-6,53.7%,46.3%,1.4,201-163-8,55.2%,44.8%,1.8,223-193-6,53.6%,46.4%,1.1,275-214-9,56.2%,43.8%,1.9,174-166-5,51.2%,48.8%,1.0,227-183-8,55.4%,44.6%,2.3,94-61-2,60.7%,39.4%,4.0,244-257-10,48.7%,51.3%,0.2,116-83-3,58.3%,41.7%,1.3,91-94-3,49.2%,50.8%,1.1,99-52-2,65.6%,34.4%,2.7
Minnesota,448-385-8,53.8%,46.2%,0.9,254-210-3,54.7%,45.3%,0.8,12-15-0,44.4%,55.6%,-1.8,253-204-8,55.4%,44.6%,1.7,189-176-0,51.8%,48.2%,0.0,234-181-5,56.4%,43.6%,2.9,263-210-5,55.6%,44.4%,1.7,180-172-3,51.1%,48.9%,-0.1,212-204-3,51.0%,49.0%,-1.2,85-57-2,59.9%,40.1%,3.9,275-243-5,53.1%,46.9%,0.3,96-99-3,49.2%,50.8%,-0.5,98-76-2,56.3%,43.7%,2.8,76-70-1,52.1%,48.0%,0.8
Toronto,466-426-9,52.2%,47.8%,0.7,252-237-8,51.5%,48.5%,0.2,16-14-0,53.3%,46.7%,1.9,198-181-0,52.2%,47.8%,0.6,261-241-9,52.0%,48.0%,0.9,228-204-6,52.8%,47.2%,0.7,177-161-3,52.4%,47.6%,1.1,287-263-6,52.2%,47.8%,0.5,231-209-3,52.5%,47.5%,0.9,84-68-1,55.3%,44.7%,1.5,284-267-6,51.5%,48.5%,0.8,105-99-0,51.5%,48.5%,0.2,109-90-1,54.8%,45.2%,2.4,82-77-2,51.6%,48.4%,-0.3
Denver,458-426-10,51.8%,48.2%,0.9,244-216-6,53.0%,47.0%,1.1,14-20-0,41.2%,58.8%,-4.3,210-163-7,56.3%,43.7%,2.6,246-254-3,49.2%,50.8%,0.0,215-211-4,50.5%,49.5%,0.1,195-153-5,56.0%,44.0%,1.4,258-271-5,48.8%,51.2%,0.6,225-206-5,52.2%,47.8%,1.4,76-69-0,52.4%,47.6%,-0.3,292-257-8,53.2%,46.8%,1.5,101-104-4,49.3%,50.7%,1.1,113-106-0,51.6%,48.4%,0.5,76-80-2,48.7%,51.3%,1.2
San Antonio,438-412-11,51.5%,48.5%,0.6,251-211-4,54.3%,45.7%,1.1,20-9-0,69.0%,31.0%,7.7,217-180-7,54.7%,45.3%,2.1,211-231-4,47.7%,52.3%,-0.9,209-210-8,49.9%,50.1%,-0.3,213-183-7,53.8%,46.2%,0.8,223-228-4,49.5%,50.6%,0.4,220-197-3,52.8%,47.2%,1.3,75-72-3,51.0%,49.0%,0.9,272-250-7,52.1%,47.9%,0.6,91-101-4,47.4%,52.6%,-0.2,96-100-3,49.0%,51.0%,0.3,71-81-1,46.7%,53.3%,-0.9
Portland,439-420-10,51.1%,48.9%,1.0,227-222-1,50.6%,49.4%,0.9,20-10-0,66.7%,33.3%,7.7,223-211-4,51.4%,48.6%,1.0,210-204-6,50.7%,49.3%,0.8,214-210-4,50.5%,49.5%,-0.3,242-210-4,53.5%,46.5%,0.6,195-206-6,48.6%,51.4%,1.3,214-206-6,51.0%,49.1%,1.9,73-81-2,47.4%,52.6%,-0.8,268-253-7,51.4%,48.6%,0.8,108-87-5,55.4%,44.6%,2.9,104-111-4,48.4%,51.6%,-0.6,78-76-1,50.7%,49.4%,2.1
Indiana,435-417-10,51.1%,48.9%,1.1,240-238-5,50.2%,49.8%,1.1,18-12-1,60.0%,40.0%,7.1,234-184-6,56.0%,44.0%,2.1,193-230-4,45.6%,54.4%,-0.3,216-203-7,51.6%,48.5%,1.2,228-200-6,53.3%,46.7%,1.8,207-209-4,49.8%,50.2%,0.6,214-204-3,51.2%,48.8%,1.1,79-67-3,54.1%,45.9%,2.0,270-267-5,50.3%,49.7%,0.5,97-95-1,50.5%,49.5%,0.0,98-84-4,53.9%,46.2%,1.9,68-71-1,48.9%,51.1%,0.9
Atlanta,441-425-10,50.9%,49.1%,1.0,253-236-6,51.7%,48.3%,1.1,13-13-2,50.0%,50.0%,2.7,232-205-6,53.1%,46.9%,2.1,203-215-4,48.6%,51.4%,-0.3,214-220-5,49.3%,50.7%,0.1,240-210-5,53.3%,46.7%,2.0,201-213-5,48.6%,51.5%,0.0,226-205-5,52.4%,47.6%,1.8,84-75-1,52.8%,47.2%,0.1,270-255-7,51.4%,48.6%,1.2,89-89-3,50.0%,50.0%,0.9,99-100-1,49.8%,50.3%,0.7,74-82-0,47.4%,52.6%,0.9
Phoenix,435-423-9,50.7%,49.3%,0.0,217-225-7,49.1%,50.9%,-0.8,15-14-1,51.7%,48.3%,-1.7,216-233-5,48.1%,51.9%,0.0,215-183-4,54.0%,46.0%,0.3,213-207-6,50.7%,49.3%,0.3,218-228-6,48.9%,51.1%,-0.2,217-192-3,53.1%,46.9%,0.3,214-213-3,50.1%,49.9%,-0.3,69-74-2,48.3%,51.8%,-0.2,265-269-5,49.6%,50.4%,-0.1,125-101-0,55.3%,44.7%,1.0,93-97-2,49.0%,51.1%,0.9,86-66-1,56.6%,43.4%,1.1
Boston,480-467-10,50.7%,49.3%,0.6,272-270-3,50.2%,49.8%,0.2,22-15-1,59.5%,40.5%,3.6,181-171-3,51.4%,48.6%,0.0,292-292-7,50.0%,50.0%,0.8,216-240-4,47.4%,52.6%,0.0,119-143-3,45.4%,54.6%,-0.8,358-321-7,52.7%,47.3%,1.2,251-214-5,54.0%,46.0%,1.2,80-66-4,54.8%,45.2%,3.1,290-297-4,49.4%,50.6%,0.0,90-93-2,49.2%,50.8%,0.4,118-104-5,53.2%,46.9%,1.9,88-89-1,49.7%,50.3%,0.0
