Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Indiana,11-4-0,73.3%,26.7%,1.7,7-2-0,77.8%,22.2%,2.4,0-1-0,0.0%,100.0%,-12.0,8-0-0,100.0%,0.0%,13.8,3-3-0,50.0%,50.0%,-12.2,5-4-0,55.6%,44.4%,-4.7,5-2-0,71.4%,28.6%,7.3,6-2-0,75.0%,25.0%,-3.2,6-0-0,100.0%,0.0%,11.3,2-0-0,100.0%,0.0%,10.5,8-2-0,80.0%,20.0%,3.3,1-1-0,50.0%,50.0%,-8.0,3-1-0,75.0%,25.0%,4.9,1-1-0,50.0%,50.0%,-8.0
Cleveland,12-5-0,70.6%,29.4%,8.4,8-3-0,72.7%,27.3%,10.1,1-0-0,100.0%,0.0%,17.0,1-0-0,100.0%,0.0%,10.5,10-5-0,66.7%,33.3%,7.7,5-3-0,62.5%,37.5%,7.1,1-2-0,33.3%,66.7%,-3.0,11-3-0,78.6%,21.4%,10.9,7-2-0,77.8%,22.2%,9.7,2-2-0,50.0%,50.0%,3.9,9-3-0,75.0%,25.0%,9.3,2-0-0,100.0%,0.0%,8.8,2-2-0,50.0%,50.0%,3.8,,,,
Denver,9-4-0,69.2%,30.8%,7.7,7-2-0,77.8%,22.2%,5.8,0-2-0,0.0%,100.0%,-31.0,3-2-0,60.0%,40.0%,1.6,6-1-0,85.7%,14.3%,18.8,4-2-0,66.7%,33.3%,9.9,3-1-0,75.0%,25.0%,2.9,6-3-0,66.7%,33.3%,9.8,5-2-0,71.4%,28.6%,5.8,2-0-0,100.0%,0.0%,37.5,6-2-0,75.0%,25.0%,8.9,0-1-0,0.0%,100.0%,-22.5,2-1-0,66.7%,33.3%,23.3,1-0-0,100.0%,0.0%,16.0
Memphis,11-5-0,68.8%,31.3%,3.3,7-2-0,77.8%,22.2%,6.9,1-0-0,100.0%,0.0%,20.5,4-3-0,57.1%,42.9%,-1.9,6-2-0,75.0%,25.0%,5.7,5-2-0,71.4%,28.6%,6.3,5-1-0,83.3%,16.7%,5.4,6-4-0,60.0%,40.0%,2.0,6-3-0,66.7%,33.3%,0.9,2-1-0,66.7%,33.3%,2.0,7-4-0,63.6%,36.4%,0.7,0-2-0,0.0%,100.0%,-7.3,4-1-0,80.0%,20.0%,1.0,1-0-0,100.0%,0.0%,18.0
Atlanta,11-5-0,68.8%,31.3%,2.6,6-1-0,85.7%,14.3%,9.3,1-0-0,100.0%,0.0%,12.5,6-2-0,75.0%,25.0%,4.4,4-3-0,57.1%,42.9%,-0.9,5-3-0,62.5%,37.5%,1.0,5-3-0,62.5%,37.5%,-2.6,6-2-0,75.0%,25.0%,7.8,6-2-0,75.0%,25.0%,4.2,1-3-0,25.0%,75.0%,-8.3,7-2-0,77.8%,22.2%,5.5,3-0-0,100.0%,0.0%,4.7,2-4-0,33.3%,66.7%,-6.3,2-0-0,100.0%,0.0%,6.3
Minnesota,9-5-0,64.3%,35.7%,4.0,5-4-0,55.6%,44.4%,1.2,0-1-0,0.0%,100.0%,-11.0,4-2-0,66.7%,33.3%,5.7,5-2-0,71.4%,28.6%,4.7,5-2-0,71.4%,28.6%,7.6,,,,,9-5-0,64.3%,35.7%,4.0,4-3-0,57.1%,42.9%,0.4,2-1-0,66.7%,33.3%,-2.0,4-3-0,57.1%,42.9%,2.4,2-1-0,66.7%,33.3%,11.5,2-0-0,100.0%,0.0%,5.5,3-0-0,100.0%,0.0%,18.8
Golden State,9-5-0,64.3%,35.7%,1.2,7-3-0,70.0%,30.0%,1.0,1-0-0,100.0%,0.0%,22.0,2-1-0,66.7%,33.3%,1.7,6-4-0,60.0%,40.0%,-1.1,6-2-0,75.0%,25.0%,6.6,5-0-0,100.0%,0.0%,17.1,4-5-0,44.4%,55.6%,-7.7,3-3-0,50.0%,50.0%,-6.0,0-1-0,0.0%,100.0%,-26.0,6-3-0,66.7%,33.3%,0.9,2-2-0,50.0%,50.0%,1.6,,,,,2-1-0,66.7%,33.3%,4.0
Phoenix,10-6-0,62.5%,37.5%,1.1,6-3-0,66.7%,33.3%,2.2,1-0-0,100.0%,0.0%,4.5,3-3-0,50.0%,50.0%,-1.4,6-3-0,66.7%,33.3%,2.3,6-2-0,75.0%,25.0%,1.8,4-4-0,50.0%,50.0%,-0.3,6-2-0,75.0%,25.0%,2.4,4-4-0,50.0%,50.0%,0.3,1-2-0,33.3%,66.7%,-4.5,7-4-0,63.6%,36.4%,0.2,1-1-0,50.0%,50.0%,-2.3,3-2-0,60.0%,40.0%,0.3,1-0-0,100.0%,0.0%,24.0
Washington,8-5-0,61.5%,38.5%,3.8,4-4-0,50.0%,50.0%,2.8,0-1-0,0.0%,100.0%,-7.0,7-3-0,70.0%,30.0%,4.5,1-1-0,50.0%,50.0%,5.8,5-2-0,71.4%,28.6%,3.1,8-5-0,61.5%,38.5%,3.8,,,,,3-3-0,50.0%,50.0%,4.7,1-1-0,50.0%,50.0%,-12.5,6-2-0,75.0%,25.0%,11.1,3-1-0,75.0%,25.0%,5.6,1-0-0,100.0%,0.0%,4.5,1-1-0,50.0%,50.0%,-3.8
New Orleans,9-6-1,60.0%,40.0%,-1.4,7-5-0,58.3%,41.7%,-0.3,1-0-0,100.0%,0.0%,9.0,6-4-1,60.0%,40.0%,-2.0,2-2-0,50.0%,50.0%,-2.5,4-4-0,50.0%,50.0%,-5.6,6-5-0,54.6%,45.5%,-3.6,3-1-1,75.0%,25.0%,3.4,5-2-1,71.4%,28.6%,2.8,1-2-1,33.3%,66.7%,-8.3,5-4-0,55.6%,44.4%,-0.2,2-0-0,100.0%,0.0%,1.5,0-1-1,0.0%,100.0%,-11.3,2-0-0,100.0%,0.0%,1.5
