Rank,Hotness Score,Matchup,Time,Location
1,98.5,#16 UCLA  vs.  #24 N Carolina,3:00 PM,Madison Square Garden
2,98.2,#1 Auburn  vs.  #22 Purdue,4:30 PM,Legacy Arena
3,97.7,#32 Ohio St  vs.  #10 Kentucky,5:30 PM,Madison Square Garden
4,96.7,#31 Miss State  at  #40 Memphis,12:30 PM,FedExForum
5,96.3,#15 Marquette  at  #51 Xavier,12:00 PM,Cintas Center
6,95.7,#47 Utah  vs.  #38 Iowa,6:00 PM,Sanford Sports Pentagon
7,95.4,#8 Connecticut  at  #72 Butler,12:00 PM,Hinkle Fieldhouse
8,94.6,#49 Villanova  at  #50 Creighton,4:00 PM,CHI Health Center Omaha
9,93.1,#58 Louisville  at  #65 Florida St,2:00 PM,Donald L. Tucker Center
10,92.3,#94 Syracuse  vs.  #9 Maryland,12:00 PM,Barclays Center
10,92.3,#89 Fla Atlantic  at  #20 Michigan St,2:00 PM,Jack Breslin Student Events Center
12,91.9,#30 Oregon  vs.  #87 Stanford,8:00 PM,SAP Center
13,91.6,#88 Wake Forest  at  #35 Clemson,2:00 PM,Littlejohn Coliseum
14,90.3,#92 DePaul  at  #52 Northwestern,4:00 PM,Welsh-Ryan Arena
15,90.1,#2 Duke  at  #111 GA Tech,12:00 PM,McCamish Pavilion
16,89.5,#102 Colorado St  at  #46 Nevada,5:00 PM,Lawlor Events Center
17,87.5,#70 Kansas St  at  #112 Wichita St,7:00 PM,Charles Koch Arena
17,87.5,#85 Wash State  vs.  #96 N Iowa,4:00 PM,Orleans Areana
19,86.4,#120 Princeton  vs.  #66 Rutgers,12:00 PM,Prudential Center
20,86.2,#126 California  vs.  #55 San Diego St,10:30 PM,SAP Center
21,85.9,#140 Sam Hous St  at  #23 Pittsburgh,1:00 PM,Petersen Events Center
22,85.4,#148 TX A&M-CC  at  #4 Houston,2:00 PM,Fertitta Center
23,84.2,#43 S Methodist  at  #149 Boston Col,12:00 PM,Conte Forum
24,84.0,#26 Penn St  at  #159 Drexel,12:00 PM,Wells Fargo Center
25,83.7,#98 St Josephs  vs.  #118 VA Tech,12:00 PM,The Palestra
26,82.3,#127 Temple  vs.  #101 Rhode Island,6:30 PM,MassMutual Center
27,80.7,#95 Yale  at  #147 TX El Paso,9:00 PM,Don Haskins Center
28,79.7,#187 N Florida  at  #12 Florida,12:00 PM,Exactech Arena at the Stephen C. O'Connell Center
29,79.5,#189 Lamar  at  #21 Texas Tech,1:00 PM,United Supermarkets Arena
30,78.6,#161 TX-Arlington  at  #86 Liberty,2:00 PM,Liberty Arena
31,77.7,#62 Arizona St  vs.  #183 U Mass,4:00 PM,MassMutual Center
32,77.3,#196 Chattanooga  at  #42 Indiana,12:00 PM,Simon Skjodt Assembly Hall
33,77.1,#64 UC Irvine  at  #186 Duquesne,2:30 PM,UPMC Cooper Fieldhouse
34,75.5,#218 Central Mich  at  #13 Arizona,4:00 PM,McKale Memorial Center
35,73.5,#172 NC-Asheville  at  #129 NC-Wilmgton,2:00 PM,Trask Coliseum
36,72.3,#192 UC Riverside  at  #113 UNLV,3:00 PM,Thomas & Mack Center
37,72.0,#145 Utah Valley  at  #170 Weber St,9:00 PM,Dee Events Center
38,71.9,#136 NC-Grnsboro  at  #176 Elon,7:00 PM,Schar Center
39,71.2,#119 High Point  at  #197 S Illinois,2:00 PM,Banterra Center
40,70.5,#219 South Dakota  at  #82 Santa Clara,5:00 PM,Leavey Center
40,70.5,#121 James Mad  at  #201 S Alabama,2:00 PM,Mitchell Center
42,70.2,#233 Montana  at  #61 San Francisco,6:00 PM,War Memorial at the Sobrato Center
43,69.3,#254 Bucknell  at  #5 Gonzaga,9:00 PM,McCarthey Athletic Center
44,68.7,#238 Jacksonville  at  #74 UCF,6:00 PM,Addition Financial Arena
45,65.3,#272 Queens  at  #29 Mississippi,5:00 PM,The Sandy and John Black Pavilion at Ole Miss
45,65.3,#255 Mt St Marys  at  #83 Miami,2:00 PM,Watsco Center
47,64.6,#139 E Tenn St  at  #223 Kansas City,2:00 PM,Swinney Recreation Center
48,64.3,#220 Mercer  at  #142 Winthrop,2:00 PM,Winthrop Coliseum
49,62.5,#277 Air Force  at  #59 Boise St,3:30 PM,ExtraMile Arena
50,61.7,#157 Jksnville St  at  #226 E Kentucky,2:00 PM,Seabury Center Arena
51,61.5,#122 Furman  at  #252 Harvard,3:00 PM,Lavietes Pavilion
52,61.3,#283 Austin Peay  at  #60 Vanderbilt,3:00 PM,Memorial Gymnasium
53,61.1,#256 Beth-Cook  at  #117 Davidson,5:00 PM,McKillop Court at John M. Belk Arena
54,60.8,#141 St. Thomas  at  #242 Bowling Grn,2:00 PM,Stroh Center
55,60.0,#267 Coastal Car  at  #107 Arkansas St,3:00 PM,First National Bank Arena
55,60.0,#250 GA Southern  at  #137 Texas St,3:30 PM,Strahan Arena at the University Events Center
57,59.8,#229 Gard-Webb  at  #167 E Carolina,3:00 PM,Williams Arena at Minges Coliseum
58,59.2,#248 Boston U  at  #143 Mass Lowell,2:00 PM,Costello Athletic Center
59,58.8,#260 Georgia St  at  #128 Troy,2:00 PM,Trojan Arena
60,57.4,#195 Kennesaw St  at  #222 San Jose St,10:30 PM,Provident Credit Union Event Center
61,56.2,#319 NC A&T  at  #36 Arkansas,2:30 PM,Bud Walton Arena
62,55.1,#246 Albany  at  #181 Fordham,2:00 PM,Rose Hill Gymnasium
63,52.7,#211 UC Davis  at  #234 Pepperdine,3:00 PM,Firestone Fieldhouse
64,52.1,#316 Niagara  at  #93 St Bonavent,1:00 PM,Reilly Center
65,51.7,#175 Cal Baptist  at  #273 Fresno St,5:00 PM,Save Mart Center
66,50.5,#84 UCSD  at  #331 San Diego,9:00 PM,Jenny Craig Pavilion
67,50.4,#240 S Car State  at  #221 N Kentucky,12:00 PM,Truist Arena
68,50.2,#320 F Dickinson  at  #110 Minnesota,2:00 PM,Williams Arena
69,49.0,#253 Portland St  at  #213 CS Bakersfld,9:30 PM,Icardo Center
70,48.6,#340 WI-Grn Bay  at  #80 Drake,6:00 PM,Knapp Center
71,48.4,#251 Quinnipiac  at  #217 Central Conn,1:00 PM,William H. Detrick Gymnasium
