Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Southern California,New Mexico,New Mexico,-6.0,153.5.,156,True
Southern,Louisiana Tech,Southern,15.5,139.,143,False
Colgate,Sam Houston St.,Colgate,6.5,137.,160,False
Monmouth-NJ,Seton Hall,Monmouth-NJ,13.0,130.,114,False
Creighton,Notre Dame,Notre Dame,6.5,143.,156,True
Campbell,Green Bay,Campbell,5.0,151.5.,138,False
Chicago St.,Wisconsin,Chicago St.,34.0,148.5.,127,False
Northeastern,Vermont,Northeastern,5.0,129.,132,False
Central Arkansas,Georgia Tech,Central Arkansas,22.5,150.5.,155,False
Nicholls State,UL Lafayette,Nicholls State,1.5,147.,151,False
South Carolina Upstate,Coastal Carolina,Coastal Carolina,-6.5,147.,124,True
Mount St. Mary'S,Howard,Mount St. Mary's,7.5,139.5.,154,False
New Mexico St.,Bowling Green,Bowling Green,3.5,143.5.,121,True
Charleston Southern,Miami-Florida,Charleston Southern,24.5,150.5.,162,False
Robert Morris,Ohio,Ohio,-10.0,146.,152,True
LIU,Binghamton,Binghamton,1.0,134.5.,145,True
Western Carolina,Marquette,Western Carolina,32.5,150.5.,156,False
Purdue Fort Wayne,Texas A&M Commerce,Purdue Fort Wayne,-8.5,148.5.,134,False
Delaware,Rider,Delaware,1.0,145.,138,False
Indiana St.,Iona,Iona,4.0,147.5.,163,True
Navy,Elon University,Elon University,-5.0,143.5.,132,True
Milwaukee,Southern Miss,Southern Miss,2.5,158.5.,131,True
CSU Northridge,Montana St.,CSU Northridge,4.5,152.,141,False
Appalachian St.,UNC Wilmington,UNC Wilmington,-3.0,133.5.,137,True
Texas A&M,Rutgers,Rutgers,6.0,150.5.,158,True
Austin Peay,East Tennessee St.,East Tennessee St.,-9.0,137.,136,True
Temple,La Salle,La Salle,-1.0,149.5.,158,True
Albany,Georgetown,Georgetown,-14.0,148.,168,True
Houston Christian,Texas-San Antonio,Houston Christian,13.0,148.,149,False
Prairie View A&M,Texas A&M-CC,Texas A&M-CC,-14.5,165.,183,True
Weber St.,Pepperdine,Weber St.,-4.0,140.5.,121,False
Tarleton State,Hofstra,Tarleton State,10.5,126.,120,False
Niagara,Lafayette,Lafayette,-4.0,135.,106,True
Maine,Pennsylvania,Pennsylvania,1.0,137.,141,True
Harvard,St. John'S,Harvard,26.0,145.,141,False
Eastern Washington,Utah,Eastern Washington,22.5,152.5.,168,False
UC Riverside,Idaho,Idaho,4.0,142.,148,True
Bellarmine,Northern Kentucky,Northern Kentucky,-10.5,136.,156,True
Furman,Kansas,Kansas,-21.0,148.,137,True
Florida Gulf Coast,Florida Atlantic,Florida Gulf Coast,14.0,144.5.,158,False
Georgia Southern,Drake,Georgia Southern,14.5,143.5.,108,False
Bucknell,Siena,Siena,3.5,134.,129,True
San Diego St.,Houston,San Diego St.,13.5,126.5.,143,False
Maryland-Eastern Shore,Connecticut,Connecticut,-40.5,142.5.,144,True
Marist,Lehigh,Lehigh,-1.0,139.,143,True
Detroit Mercy,Eastern Michigan,Detroit Mercy,7.5,134.5.,187,False
Oakland,Toledo,Oakland,8.5,147.,137,False
Jacksonville,Georgia,Georgia,-17.0,142.,158,True
Air Force,Wright St.,Wright St.,-8.5,136.5.,127,True
Rice,Arkansas St.,Rice,9.0,141.,142,False
Abilene Christian,Nebraska Omaha,Abilene Christian,-1.5,143.,126,False
Kennesaw St.,Kent St.,Kent St.,-5.5,140.5.,127,True
CSU Fullerton,Pacific,Pacific,-4.5,138.5.,119,True
Mercyhurst,Sacramento State,Mercyhurst,7.5,129.5.,126,False
Lipscomb,Alabama A&M,Lipscomb,-11.5,151.5.,126,False
Utah Tech,Portland St.,Utah Tech,6.0,152.5.,139,False
CSU Bakersfield,Southern Utah,Southern Utah,-4.0,139.,138,True
Kansas City,SE Missouri St.,SE Missouri St.,2.5,138.5.,139,True
Towson,UC Irvine,Towson,9.5,128.5.,127,False
Oregon,Alabama,Oregon,7.0,165.5.,164,False
Cal Poly SLO,Stanford,Cal Poly SLO,15.0,154.,187,False
UC Davis,Oregon St.,Oregon St.,-11.5,140.,147,True
