Rank,Hotness Score,Matchup,Time,Location
1,89.0,#11 Golden State  at  #9 Minnesota,8:00 PM,Target Center
2,85.8,#12 LA Clippers  at  #6 Dallas,8:30 PM,American Airlines Center
3,83.4,#13 Miami  at  #10 Orlando,7:00 PM,Kia Center
4,76.4,#17 LA Lakers  at  #15 Sacramento,6:00 PM,Golden 1 Center
5,74.6,#4 Memphis  at  #21 Atlanta,7:30 PM,State Farm Arena
6,73.0,#2 Boston  at  #22 Chicago,8:00 PM,United Center
7,65.7,#23 Detroit  at  #16 Phoenix,9:00 PM,Footprint Center
8,63.3,#19 Philadelphia  at  #3 Cleveland,8:00 PM,Rocket Mortgage FieldHouse
9,57.0,#5 New York  at  #27 New Orleans,8:00 PM,Smoothie King Center
10,53.6,#28 Portland  at  #20 San Antonio,8:30 PM,Frost Bank Center
11,44.7,#29 Utah  at  #25 Brooklyn,7:30 PM,Barclays Center
12,39.5,#30 Washington  at  #14 Milwaukee,8:00 PM,Fiserv Forum
