Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
1,90.0,10:00 PM,Footprint Center,7,New York,13,Phoenix,NY Knicks,PHO Suns,6-7-1,46.2%,5.7,0.5,3-4-0,42.9%,0.0,-2.6,6-6-1,50.0%,7.9,1.8,5-10-0,33.3%,-1.5,-2.2,1-6-0,14.3%,1.1,-2.1,3-4-0,42.9%,-6.6,-1.6
2,81.5,10:30 PM,Intuit Dome,9,Orlando,17,La Clippers,ORL Magic,LA Clippers,8-7-0,53.3%,4.7,3.0,2-6-0,25.0%,-5.5,-2.4,7-2-0,77.8%,13.4,6.8,9-6-0,60.0%,0.1,2.1,5-4-0,55.6%,1.6,0.6,6-4-0,60.0%,-3.2,2.8
3,66.7,8:00 PM,Toyota Center,18,Indiana,6,Houston,IND Pacers,HOU Rockets,7-7-0,50.0%,-3.2,-4.4,3-5-0,37.5%,-7.3,-7.8,3-5-0,37.5%,-4.1,-9.3,10-5-0,66.7%,7.9,5.3,6-2-0,75.0%,11.5,6.1,3-1-0,75.0%,-0.5,4.4
4,62.0,7:30 PM,Fiserv Forum,26,Chicago,16,Milwaukee,CHI Bulls,MIL Bucks,7-8-0,46.7%,-6.9,-1.2,5-4-0,55.6%,-2.3,3.8,0-1-0,0.0%,-9.0,-16.5,4-9-1,30.8%,-2.1,-4.7,2-4-1,33.3%,3.9,-1.3,1-3-0,25.0%,-10.3,-3.1
5,59.7,8:00 PM,FedExForum,20,Philadelphia,8,Memphis,PHI 76ers,MEM Grizzlies,3-10-0,23.1%,-9.0,-6.5,2-5-0,28.6%,-8.1,-4.6,0-4-0,0.0%,-8.3,-12.0,9-6-0,60.0%,6.4,4.8,5-3-0,62.5%,8.0,3.6,4-1-0,80.0%,2.0,7.0
6,55.6,10:00 PM,Chase Center,22,Atlanta,4,Golden State,ATL Hawks,GS Warriors,6-9-0,40.0%,-3.4,-2.5,4-3-0,57.1%,-3.6,-0.4,2-6-0,25.0%,0.6,-4.6,9-4-0,69.2%,9.5,7.3,3-2-0,60.0%,6.6,2.6,4-1-0,80.0%,4.4,9.1
7,49.7,8:00 PM,Paycom Center,28,Portland,1,Okla City,POR Trail Blazers,OKC Thunder,8-5-1,61.5%,-6.9,0.7,3-2-1,60.0%,-6.3,2.1,,,,,9-6-0,60.0%,10.7,2.2,5-4-0,55.6%,10.9,1.4,1-0-0,100.0%,15.0,17.0
8,48.7,7:30 PM,Rocket Mortgage FieldHouse,24,New Orleans,3,Cleveland,NO Pelicans,CLE Cavaliers,4-11-0,26.7%,-10.8,-8.0,0-7-0,0.0%,-19.9,-16.4,1-4-0,20.0%,-8.8,-12.9,12-4-0,75.0%,11.3,5.3,6-2-0,75.0%,13.1,4.9,3-0-0,100.0%,1.3,5.2
