Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
James Madison,Illinois-Chicago,James Madison,-3.0,146.,180,False
Ohio,Middle Tennessee St.,Middle Tennessee St.,1.5,147.,164,True
Miami-Florida,Drake,Drake,9.5,143.,149,True
La Salle,UC San Diego,UC San Diego,1.5,144.5.,139,True
Oklahoma State,Florida Atlantic,Florida Atlantic,-2.0,162.5.,164,True
South Florida,Portland,Portland,6.5,146.,142,True
East Carolina,Jacksonville St.,Jacksonville St.,4.0,134.5.,164,True
Monmouth-NJ,Youngstown St.,Youngstown St.,-5.0,145.5.,134,True
Seton Hall,VCU,Seton Hall,7.0,126.5.,135,False
Toledo,Stetson,Toledo,-13.5,154.5.,181,False
Bradley,Texas State,Bradley,-7.0,135.,150,False
Robert Morris,Cornell,Robert Morris,9.5,151.,162,False
UNC Greensboro,Indiana,UNC Greensboro,17.5,146.5.,127,False
Syracuse,Texas,Syracuse,11.0,155.,136,False
NJIT,Bucknell,Bucknell,-13.0,135.,145,True
Baylor,St. John'S,St. John's,2.5,150.5.,197,False
Mercer,South Carolina,Mercer,18.5,150.,156,False
Niagara,Kent St.,Niagara,13.5,137.,149,False
Bryant,Stonehill,Stonehill,12.5,152.5.,133,True
Radford,Clemson,Clemson,-22.0,144.5.,130,True
Eastern Michigan,Oakland,Eastern Michigan,7.0,134.5.,132,False
Presbyterian,Stephen F. Austin,Presbyterian,8.0,134.5.,113,False
SE Missouri St.,Central Arkansas,SE Missouri St.,1.5,149.,150,False
Vanderbilt,Nevada,Vanderbilt,2.5,150.5.,144,False
Central Conn. St.,Sacred Heart,Sacred Heart,1.5,142.,121,True
Texas A&M Commerce,Oklahoma,Oklahoma,-24.5,144.5.,140,True
Tenn-Martin,Texas A&M-CC,Tenn-Martin,11.5,154.,158,False
Lindenwood,Valparaiso,Valparaiso,-9.5,145.,141,True
Oral Roberts,Mississippi,Mississippi,-21.5,149.5.,168,True
Princeton,Wright St.,Wright St.,7.5,152.5.,142,True
Tarleton State,Michigan,Tarleton State,31.5,147.5.,121,False
Texas Tech,Saint Joseph'S,Saint Joseph's,10.5,150.,155,False
Grambling State,New Mexico,Grambling State,23.5,152.,138,False
Eastern Washington,Washington St.,Washington St.,-14.0,158.,177,True
Tennessee,Virginia,Tennessee,-12.5,126.5.,106,False
Oregon,Oregon St.,Oregon St.,6.5,140.,153,True
Memphis,San Francisco,Memphis,2.0,154.5.,132,False
Air Force,California,Air Force,16.0,136.5.,147,False
