Rank,Hotness Score,Matchup,Time,Location
1,98.7,#11 Baylor  vs.  #23 St Johns,7:00 PM,Baha Mar Convention Center
2,95.3,#41 Memphis  vs.  #51 San Francisco,10:00 PM,Chase Center
3,92.9,#82 Virginia  vs.  #6 Tennessee,9:30 PM,Baha Mar Convention Center
4,91.6,#19 Texas  vs.  #98 Syracuse,7:00 PM,Barclays Center
5,91.4,#96 Vanderbilt  vs.  #33 Nevada,7:30 PM,TD Arena
6,90.4,#80 Oklahoma St  vs.  #73 Fla Atlantic,2:30 PM,TD Arena
7,90.3,#37 Oregon  at  #105 Oregon St,10:00 PM,Gill Coliseum
8,89.7,#45 VCU  vs.  #97 Seton Hall,5:00 PM,TD Arena
9,89.3,#112 St Josephs  vs.  #14 Texas Tech,9:00 PM,Barclays Center
10,87.8,#44 Miami  vs.  #120 Drake,12:00 PM,TD Arena
11,84.1,#151 NC-Grnsboro  at  #26 Indiana,6:30 PM,Simon Skjodt Assembly Hall
12,78.5,#139 James Mad  vs.  #122 IL-Chicago,11:00 AM,Ocean Center
13,78.4,#92 Bradley  vs.  #162 Texas St,5:30 PM,HTC Center
14,75.6,#191 Mercer  at  #69 S Carolina,7:00 PM,Colonial Life Arena
15,75.3,#127 La Salle  vs.  #157 UCSD,1:00 PM,Ocean Center
16,72.3,#225 Grambling St  at  #58 New Mexico,9:00 PM,The Pit
17,71.8,#232 Radford  at  #46 Clemson,7:00 PM,Littlejohn Coliseum
18,71.0,#109 Princeton  vs.  #205 Wright St,8:00 PM,HTC Center
19,69.8,#164 Jksnville St  vs.  #166 E Carolina,3:30 PM,Ocean Center
20,69.6,#171 Ohio  vs.  #160 Middle Tenn,12:00 PM,HTC Center
21,68.1,#248 Oral Roberts  at  #47 Mississippi,8:00 PM,The Sandy and John Black Pavilion at Ole Miss
22,66.3,#249 E Washingtn  vs.  #78 Wash State,9:30 PM,Spokane Arena
23,53.7,#257 Presbyterian  at  #179 Ste F Austin,7:30 PM,William R. Johnson Coliseum
24,53.5,#338 Tarleton St  at  #22 Michigan,8:30 PM,Crisler Center
25,51.0,#342 TX A&M-Com  at  #49 Oklahoma,8:00 PM,Lloyd Noble Center
26,50.0,#309 Air Force  at  #123 California,10:00 PM,Haas Pavilion
27,48.8,#276 Monmouth  vs.  #188 Youngs St,5:00 PM,William R. Johnson Coliseum
28,48.4,#145 S Florida  vs.  #311 Portland,2:30 PM,HTC Center
29,48.3,#321 Niagara  at  #126 Kent St,7:00 PM,Memorial Athletic and Convocation Center
30,48.2,#291 Rob Morris  at  #170 Cornell,6:00 PM,Newman Arena at Bartels Hall
31,45.3,#293 TN Martin  at  #194 TX A&M-CC,8:00 PM,Dugan Wellness Center
32,44.2,#333 Stetson  vs.  #135 Toledo,5:30 PM,Ocean Center
33,40.5,#149 Bryant  at  #348 Stonehill,7:00 PM,Merkert Gymnasium
34,33.8,#323 E Michigan  at  #224 Oakland,7:00 PM,OU Credit Union O'rena
35,30.6,#243 Central Conn  at  #326 Sacred Hrt,8:00 PM,William H. Pitt Health and Recreation Center
36,25.7,#359 NJIT  at  #228 Bucknell,7:00 PM,Sojka Pavilion
36,25.7,#351 Lindenwood  at  #246 Valparaiso,8:00 PM,Athletics-Recreation Center
38,15.5,#315 SE Missouri  at  #344 Central Ark,7:30 PM,Farris Center
39,--,Minnesota-Crookston  at  #230 N Dakota St,8:00 PM,Scheels Center
39,--,Monmouth (IL)  at  #330 W Illinois,8:00 PM,LeRoy A. Ufkes Court at Western Hall
39,--,Texas Wesleyan  at  #87 North Texas,8:00 PM,UNT Coliseum
39,--,Trinity (TX)  at  #117 Sam Hous St,7:30 PM,Bernard G. Johnson Coliseum
39,--,Edward Waters  at  #175 N Florida,7:00 PM,UNF Arena
39,--,Johnson University  at  #184 Chattanooga,7:00 PM,McKenzie Arena
