Rank,Hotness Score,Matchup,Time,Location
1,92.3,#6 New York  at  #8 Minnesota,9:30 PM,Target Center
2,88.4,#10 Golden State  at  #5 Memphis,8:00 PM,FedExForum
3,84.8,#1 Okla City  at  #11 Orlando,7:00 PM,Kia Center
4,80.8,#15 LA Clippers  at  #4 Dallas,8:30 PM,American Airlines Center
5,75.3,#17 LA Lakers  at  #14 Sacramento,10:00 PM,Golden 1 Center
6,68.5,#19 Indiana  at  #16 Phoenix,9:00 PM,Footprint Center
7,68.2,#21 Atlanta  at  #20 San Antonio,8:00 PM,Frost Bank Center
8,62.9,#22 Chicago  at  #2 Boston,7:30 PM,TD Garden
9,62.1,#9 Denver  at  #28 Portland,10:00 PM,Moda Center
10,59.8,#25 Brooklyn  at  #24 Toronto,7:30 PM,Scotiabank Arena
11,47.5,#27 New Orleans  at  #7 Houston,8:00 PM,Toyota Center
12,46.1,#29 Utah  at  #23 Detroit,7:00 PM,Little Caesars Arena
13,43.9,#26 Charlotte  at  #30 Washington,7:00 PM,Capital One Arena
