Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Charlotte,Washington,Washington,+4,226.,237,[]
Utah,Detroit,Utah,+4.5,227.,245,[]
Chicago,Boston,Chicago,+14.5,241.,225,[]
Brooklyn,Toronto,Brooklyn,+2.5,219.,195,[]
Atlanta,San Antonio,San Antonio,+1,234.,259,[]
Golden State,Memphis,Memphis,-1.5,238.,237,[]
New Orleans,Houston,Houston,-9.5,218.5.,246,[]
L.A. Clippers,Dallas,L.A. Clippers,-1,217.,213,[]
Indiana,Phoenix,Indiana,+6,235.5.,231,[]
New York,Minnesota,New York,+3.5,214.,240,[]
Denver,Portland,Portland,+8.5,234.5.,250,[]
L.A. Lakers,Sacramento,L.A. Lakers,+4.5,230.,213,[]
