Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Orlando,Brooklyn,Orlando,-6.5,206.5.,192,False
Indiana,Memphis,Memphis,-6.0,243.5.,257,True
New Orleans,New York,New York,-12.0,224.5.,203,True
Boston,Cleveland,Cleveland,-1.5,230.,226,True
Miami,Toronto,Toronto,4.5,221.5.,235,True
Oklahoma City,Houston,Houston,1.5,220.,235,True
L.A. Lakers,Utah,Utah,5.0,225.,209,True
San Antonio,Sacramento,San Antonio,6.0,226.5.,252,False
Dallas,Portland,Dallas,-5.0,226.,268,False
Denver,L.A. Clippers,L.A. Clippers,3.0,225.5.,248,True
