Rank,Hotness Score,Matchup,Time,Location
1,98.0,#2 Boston  at  #3 Cleveland,6:00 PM,Rocket Mortgage FieldHouse
2,94.5,#1 Okla City  at  #5 Houston,7:00 PM,Toyota Center
3,83.8,#10 Denver  at  #12 LA Clippers,10:00 PM,Intuit Dome
4,77.8,#18 San Antonio  at  #16 Sacramento,9:00 PM,Golden 1 Center
5,72.8,#9 Orlando  at  #24 Brooklyn,3:30 PM,Barclays Center
6,71.5,#15 Miami  at  #22 Toronto,6:00 PM,Scotiabank Arena
7,68.5,#19 Indiana  at  #7 Memphis,3:30 PM,FedExForum
8,65.0,#4 Dallas  at  #28 Portland,9:00 PM,Moda Center
9,55.7,#17 LA Lakers  at  #29 Utah,8:00 PM,Delta Center
10,53.5,#27 New Orleans  at  #6 New York,6:00 PM,Madison Square Garden
