Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Valparaiso,Western Michigan,Valparaiso,+1.5,153.,149,[]
Houston Christian,Texas A&M,Texas A&M,-30.5,140.5.,122,[]
Norfolk State,Grambling State,Grambling State,+7,137.,146,[]
Illinois-Chicago,Seattle,Illinois-Chicago,+5.5,148.5.,147,[]
Rider,Pennsylvania,Pennsylvania,-4,136.5.,145,[]
Delaware State,Alabama St.,Delaware State,+5.5,148.5.,163,[]
Delaware,Saint Peter'S,Saint Peter's,-2.5,142.,136,[]
Longwood,North Carolina Central,Longwood,-3.5,143.5.,149,[]
Holy Cross,Siena,Holy Cross,+5,131.5.,148,[]
Yale,Akron,Yale,-4,154.,132,[]
Appalachian St.,North Texas,Appalachian St.,+11.5,123.5.,132,[]
St. John'S,Providence,Providence,+5.5,142.,142 pushed the pre-game total of 142.,[]
Dayton,Cincinnati,Cincinnati,-3.5,136.5.,125,[]
Jackson State,Texas-El Paso,Jackson State,+15,139.5.,128,[]
Florida A&M,Brigham Young,Brigham Young,-33.5,147.5.,160,[]
Southern,Loyola Marymount,Loyola Marymount,-6.5,137.,162,[]
