Rank,Hotness Score,Matchup,Time,Location
1,96.3,#52 Dayton  vs.  #21 Cincinnati,8:30 PM,Heritage Bank Center
2,93.4,#18 St Johns  at  #84 Providence,8:00 PM,Amica Mutual Pavilion
3,79.6,#149 Akron  vs.  #103 Yale,7:00 PM,Don Haskins Center
4,73.9,#193 App State  at  #87 North Texas,8:00 PM,UNT Coliseum
5,70.2,#186 IL-Chicago  at  #137 Seattle,5:00 PM,Redhawk Center
6,63.1,#189 Southern  at  #188 Loyola Mymt,10:00 PM,Gersten Pavilion
7,55.9,#181 Longwood  at  #244 NC Central,7:00 PM,McDougald-McLendon Arena
8,55.2,#238 Delaware  at  #190 St Peters,7:00 PM,Victor R. Yanitelli Recreation Life Center
9,52.6,#339 Florida A&M  at  #36 BYU,9:00 PM,Marriott Center
10,51.9,#344 Hsn Christian  at  #28 Texas A&M,2:00 PM,Reed Arena
11,45.7,#295 Grambling St  vs.  #182 Norfolk St,4:00 PM,Mohegan Sun Arena
12,45.2,#328 Jackson St  at  #140 TX El Paso,9:00 PM,Don Haskins Center
13,42.6,#213 Valparaiso  at  #292 W Michigan,1:00 PM,University Arena in Read Fieldhouse
14,28.0,#287 Rider  at  #305 U Penn,6:00 PM,The Palestra
14,28.0,#317 Delaware St  vs.  #274 Alabama St,6:30 PM,Mohegan Sun Arena
16,24.3,#320 Holy Cross  at  #289 Siena,7:00 PM,MVP Arena
17,--,Virginia-Lynchburg  at  #206 Radford,1:00 PM,Carilion Clinic Court at the Dedmon Center
17,--,Dillard  at  #197 Tulane,7:30 PM,Avron B. Fogelman Arena in Devlin Fieldhouse
17,--,Texas Wesleyan  at  #208 Ste F Austin,7:30 PM,William R. Johnson Coliseum
17,--,S. Dakota Mines  at  #286 North Dakota,8:00 PM,Betty Engelstad Sioux Center
17,--,Defiance  at  #126 IPFW,5:30 PM,Allen County War Memorial Coliseum
17,--,Southern-New Orleans  at  #275 NW State,2:00 PM,Prather Coliseum
17,--,Loyola (LA)  at  #224 SE Louisiana,7:00 PM,Pride Roofing University Center
