,Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team Covers_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Implied Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Implied Odds_current_season,Home Team Underdog_current_season,Away Team all_games_Sample Size_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_Sample Size_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team all_games_Sample Size_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_Sample Size_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Implied Odds_current_season,Underdog is_dog Sample Size_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Implied Odds_current_season,Favorite is_fav Sample Size_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Away Team Covers_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Home Team Spread_all_time,Away Team all_games_Sample Size_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_Sample Size_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team all_games_Sample Size_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_Sample Size_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Sample Size_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Sample Size_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Away Team Covers_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Home Team Spread_last_10_seasons,Away Team all_games_Sample Size_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_Sample Size_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team all_games_Sample Size_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_Sample Size_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Sample Size_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Sample Size_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons,Away Team_current_season_map,Home Team_current_season_map,Favorite is_fav Team_current_season_map,Underdog is_dog Team_current_season_map,Away Team,Home Team,Home Cover
0,1,92.4,7:30 PM,Madison Square Garden,9,Orlando,6,New York,Orlando,New York,4.5,0.5283,True,-4.5,0.5192,False,22,0.636,5.8,3.0,13,0.462,-0.9,-0.3,20,0.474,6.4,0.7,8,0.571,14.1,5.7,Orlando,4.5,0.5283,7,0.286,-7.1,-1.5,New York,-4.5,0.5192,18,0.471,6.8,0.1,Orlando,New York,4.5,-4.5,1789,0.499,-1.4,-0.1,893,0.513,-4.0,0.1,1754,0.507,-2.1,0.2,875,0.491,0.1,-0.4,4.5,1035,0.496,-6.1,0.2,-4.5,635,0.515,4.4,-0.5,Orlando,New York,4.5,-4.5,840,0.509,-3.4,-0.1,418,0.53,-5.6,0.1,843,0.504,-2.3,0.4,420,0.482,-0.6,0.0,4.5,608,0.493,-6.6,-0.1,-4.5,282,0.543,5.5,0.8,21,19,19,21,Orlando,New York,True
1,2,91.3,8:30 PM,American Airlines Center,7,Memphis,4,Dallas,Memphis,Dallas,4.0,0.5283,True,-4.0,0.5192,False,21,0.667,8.8,6.0,8,0.625,5.4,6.3,21,0.6,6.5,3.2,10,0.6,12.1,4.9,Memphis,4.0,0.5283,6,0.833,2.7,7.7,Dallas,-4.0,0.5192,13,0.539,8.5,0.8,Memphis,Dallas,4.0,-4.0,1809,0.514,-0.3,0.3,898,0.505,-3.1,0.5,1873,0.516,2.1,0.2,924,0.487,4.9,-0.1,4.0,945,0.512,-5.2,0.9,-4.0,1145,0.496,5.8,-0.6,Memphis,Dallas,4.0,-4.0,869,0.511,-0.5,0.3,427,0.487,-3.2,-0.1,887,0.516,0.7,0.5,433,0.491,3.1,0.2,4.0,460,0.503,-5.5,0.7,-4.0,443,0.512,5.5,-0.3,14,6,6,14,Memphis,Dallas,True
2,3,90.7,10:00 PM,Ball Arena,8,Golden State,10,Denver,Golden State,Denver,5.0,0.5192,True,-5.0,0.5283,False,19,0.579,6.4,3.4,11,0.546,7.0,5.0,18,0.412,1.6,-0.9,9,0.375,-0.6,-4.6,Golden State,5.0,0.5192,7,0.714,1.4,5.6,Denver,-5.0,0.5283,13,0.25,0.6,-5.0,Golden State,Denver,5.0,-5.0,1871,0.517,2.3,0.3,932,0.496,-1.2,-0.2,1849,0.514,1.9,0.2,911,0.522,5.8,0.5,5.0,765,0.526,-5.3,0.6,-5.0,1092,0.507,6.1,-0.3,Golden State,Denver,5.0,-5.0,955,0.508,5.2,0.0,473,0.487,2.3,-0.5,899,0.497,1.6,-0.1,438,0.493,4.9,0.3,5.0,229,0.502,-5.1,0.2,-5.0,538,0.479,5.4,-0.9,9,7,7,9,Golden State,Denver,False
3,4,79.5,9:00 PM,Footprint Center,17,San Antonio,14,Phoenix,San Antonio,Phoenix,7.5,0.5283,True,-7.5,0.5192,False,20,0.55,0.4,3.0,8,0.5,-5.4,0.6,19,0.368,-0.7,-1.7,11,0.273,1.5,-1.3,San Antonio,7.5,0.5283,14,0.5,-3.8,1.9,Phoenix,-7.5,0.5192,11,0.364,4.4,-1.0,San Antonio,Phoenix,7.5,-7.5,1914,0.522,3.7,0.5,950,0.507,0.6,0.3,1823,0.501,0.5,-0.1,911,0.482,3.1,-0.5,7.5,597,0.498,-5.5,0.0,-7.5,988,0.51,5.9,-0.5,San Antonio,Phoenix,7.5,-7.5,866,0.508,1.0,0.2,429,0.5,-1.7,0.1,870,0.491,-1.3,-0.6,433,0.476,0.7,-1.1,7.5,406,0.498,-6.5,-0.1,-7.5,415,0.498,5.0,-1.0,26,23,23,26,San Antonio,Phoenix,True
4,5,78.7,10:00 PM,Golden 1 Center,5,Houston,16,Sacramento,Houston,Sacramento,1.0,0.5283,True,-1.0,0.5192,False,21,0.714,8.2,5.0,9,0.667,4.3,4.6,21,0.35,0.2,-4.1,11,0.2,1.0,-4.5,Houston,1.0,0.5283,6,0.833,1.2,5.2,Sacramento,-1.0,0.5192,14,0.308,1.1,-6.3,Houston,Sacramento,1.0,-1.0,1830,0.497,1.4,0.2,901,0.508,-1.4,0.4,1739,0.492,-2.4,-0.4,864,0.466,0.1,-0.8,1.0,777,0.497,-4.9,1.0,-1.0,651,0.469,3.8,-1.5,Houston,Sacramento,1.0,-1.0,894,0.493,0.4,-0.2,432,0.497,-2.1,-0.3,830,0.5,-2.4,-0.4,410,0.457,-1.1,-1.3,1.0,405,0.477,-6.7,-0.1,-1.0,308,0.467,3.4,-1.7,10,25,25,10,Houston,Sacramento,True
5,6,71.9,7:00 PM,Little Caesars Arena,13,Milwaukee,24,Detroit,Milwaukee,Detroit,-3.5,0.5283,False,3.5,0.5192,True,19,0.389,0.9,-2.7,8,0.375,-6.8,-6.0,22,0.476,-1.9,1.5,10,0.4,-5.2,-2.3,Detroit,3.5,0.5192,15,0.571,-3.7,2.6,Milwaukee,-3.5,0.5283,14,0.385,3.9,-3.3,Milwaukee,Detroit,-3.5,3.5,1817,0.491,0.2,-0.5,899,0.504,-2.6,-0.3,1813,0.492,-1.1,-0.2,905,0.49,1.5,-0.3,3.5,999,0.488,-6.1,0.3,-3.5,963,0.5,5.5,-0.7,Milwaukee,Detroit,-3.5,3.5,910,0.496,2.7,-0.5,444,0.501,0.1,-0.6,824,0.489,-3.6,-0.1,408,0.499,-1.0,0.1,3.5,579,0.489,-6.7,0.3,-3.5,613,0.513,6.7,-0.4,16,8,16,8,Milwaukee,Detroit,False
6,7,66.5,7:30 PM,Scotiabank Arena,19,Indiana,22,Toronto,Indiana,Toronto,-3.0,0.5122,False,3.0,0.5349,True,21,0.35,-4.3,-5.9,11,0.273,-9.3,-8.1,21,0.667,-4.0,3.9,9,0.778,-1.3,4.8,Toronto,3.0,0.5349,21,0.667,-4.0,3.9,Indiana,-3.0,0.5122,12,0.273,-2.8,-9.2,Indiana,Toronto,-3.0,3.0,1842,0.509,0.6,0.3,915,0.497,-2.8,-0.1,1811,0.506,0.4,0.3,897,0.493,3.0,0.0,3.0,908,0.506,-4.8,0.7,-3.0,939,0.509,5.4,-0.3,Indiana,Toronto,-3.0,3.0,868,0.511,0.3,0.4,428,0.502,-2.4,0.0,907,0.503,2.3,0.3,445,0.499,4.6,0.0,3.0,347,0.512,-4.1,0.8,-3.0,424,0.507,5.0,-0.3,11,27,11,27,Indiana,Toronto,True
7,8,59.6,7:00 PM,Spectrum Center,20,Philadelphia,25,Charlotte,Philadelphia,Charlotte,-4.5,0.5122,False,4.5,0.5349,True,18,0.278,-7.0,-5.4,9,0.333,-5.3,-3.4,20,0.65,-4.6,1.4,12,0.667,-1.9,3.3,Charlotte,4.5,0.5349,19,0.684,-5.1,1.6,Philadelphia,-4.5,0.5122,7,0.286,-1.3,-4.9,Philadelphia,Charlotte,-4.5,4.5,1808,0.503,-1.1,0.1,900,0.502,-3.7,0.2,1634,0.494,-3.5,-0.1,815,0.493,-0.6,0.0,4.5,1145,0.488,-6.9,-0.1,-4.5,804,0.509,5.3,-0.3,Philadelphia,Charlotte,-4.5,4.5,887,0.521,-0.1,0.4,438,0.492,-2.9,0.0,822,0.488,-2.7,-0.3,409,0.483,-0.4,-0.4,4.5,523,0.477,-6.9,-0.4,-4.5,441,0.542,6.7,0.5,22,3,22,3,Philadelphia,Charlotte,False
8,9,55.5,10:30 PM,Intuit Dome,27,Portland,12,La Clippers,Portland,L.A. Clippers,8.5,0.5192,True,-8.5,0.5283,False,21,0.6,-7.5,0.9,11,0.6,-9.3,0.5,22,0.682,2.3,4.4,12,0.667,3.8,3.8,Portland,8.5,0.5192,21,0.6,-7.5,0.9,La Clippers,-8.5,0.5283,7,0.714,12.0,6.4,Portland,L.A. Clippers,8.5,-8.5,1790,0.494,-1.2,-0.3,890,0.488,-4.5,-0.4,1828,0.491,0.8,-0.1,904,0.486,3.4,-0.3,8.5,963,0.481,-6.7,-0.3,-8.5,1004,0.512,6.3,0.0,Portland,L.A. Clippers,8.5,-8.5,875,0.492,-1.4,-0.4,432,0.488,-4.3,-0.6,900,0.51,2.9,0.2,441,0.488,4.8,-0.4,8.5,462,0.469,-7.4,-0.8,-8.5,589,0.52,6.9,0.1,24,12,12,24,Portland,L.A. Clippers,True
9,10,43.2,8:00 PM,Paycom Center,29,Utah,1,Okla City,Utah,Oklahoma City,13.5,0.5238,True,-13.5,0.5238,False,20,0.45,-9.5,-2.5,9,0.556,-8.4,0.1,20,0.55,10.0,2.4,10,0.5,10.8,1.0,Utah,13.5,0.5238,20,0.45,-9.5,-2.5,Okla City,-13.5,0.5238,19,0.526,9.7,1.6,Utah,Oklahoma City,13.5,-13.5,1805,0.505,1.0,0.1,896,0.488,-2.9,-0.5,1843,0.524,1.0,0.3,914,0.522,4.1,0.4,13.5,823,0.49,-5.6,0.2,-13.5,996,0.518,6.6,0.0,Utah,Oklahoma City,13.5,-13.5,871,0.513,2.1,0.5,428,0.512,-1.0,0.0,873,0.522,1.1,0.3,428,0.526,4.2,1.0,13.5,359,0.514,-5.0,0.7,-13.5,473,0.505,6.9,0.3,28,20,20,28,Utah,Oklahoma City,True
