Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team DraftKings_current_season,Away Team Covers_current_season,Home Team DraftKings_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Odds_current_season,Home Team Underdog_current_season,Away Team Team_current_season,Away Team all_games_ATS Record_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_ATS Record_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team Team_current_season,Home Team all_games_ATS Record_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_ATS Record_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Odds_current_season,Underdog is_dog ATS Record_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Odds_current_season,Favorite is_fav ATS Record_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Rank_all_time,Hotness Score_all_time,Time_all_time,Location_all_time,Away Team Rank_all_time,Away Team_all_time,Home Team Rank_all_time,Home Team_all_time,Away Team DraftKings_all_time,Away Team Covers_all_time,Home Team DraftKings_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Away Team Odds_all_time,Away Team Underdog_all_time,Home Team Spread_all_time,Home Team Odds_all_time,Home Team Underdog_all_time,Away Team Team_all_time,Away Team all_games_ATS Record_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_ATS Record_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team Team_all_time,Home Team all_games_ATS Record_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_ATS Record_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Team_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Odds_all_time,Underdog is_dog ATS Record_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Team_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Odds_all_time,Favorite is_fav ATS Record_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Rank_last_10_seasons,Hotness Score_last_10_seasons,Time_last_10_seasons,Location_last_10_seasons,Away Team Rank_last_10_seasons,Away Team_last_10_seasons,Home Team Rank_last_10_seasons,Home Team_last_10_seasons,Away Team DraftKings_last_10_seasons,Away Team Covers_last_10_seasons,Home Team DraftKings_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Away Team Odds_last_10_seasons,Away Team Underdog_last_10_seasons,Home Team Spread_last_10_seasons,Home Team Odds_last_10_seasons,Home Team Underdog_last_10_seasons,Away Team Team_last_10_seasons,Away Team all_games_ATS Record_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_ATS Record_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team Team_last_10_seasons,Home Team all_games_ATS Record_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_ATS Record_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Team_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Odds_last_10_seasons,Underdog is_dog ATS Record_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Team_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Odds_last_10_seasons,Favorite is_fav ATS Record_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons
1,92.4,7:30 PM,Madison Square Garden,9,Orlando,6,New York,ORL Magic,Orlando,NY Knicks,New York,+4.5,−112,True,-4.5,−108,False,Orlando,14-8-0,63.6%,5.8,3.0,6-7-0,46.2%,-0.9,-0.3,New York,9-10-1,47.4%,6.4,0.7,4-3-1,57.1%,14.1,5.7,Orlando,+4.5,−112,2-5-0,28.6%,-7.1,-1.5,New York,-4.5,−108,8-9-1,47.1%,6.8,0.1,1,92.4,7:30 PM,Madison Square Garden,9,Orlando,6,New York,ORL Magic,Orlando,NY Knicks,New York,+4.5,−112,True,-4.5,−108,False,Orlando,874-878-37,49.9%,-1.4,-0.1,448-426-19,51.3%,-4.0,0.1,New York,877-853-24,50.7%,-2.1,0.2,425-440-10,49.1%,0.1,-0.4,Orlando,+4.5,−112,502-510-23,49.6%,-6.1,0.2,New York,-4.5,−108,324-305-6,51.5%,4.4,-0.5,1,92.4,7:30 PM,Madison Square Garden,9,Orlando,6,New York,ORL Magic,Orlando,NY Knicks,New York,+4.5,−112,True,-4.5,−108,False,Orlando,421-406-13,50.9%,-3.4,-0.1,219-194-5,53.0%,-5.6,0.1,New York,417-411-15,50.4%,-2.3,0.4,199-214-7,48.2%,-0.6,0.0,Orlando,+4.5,−112,295-303-10,49.3%,-6.6,-0.1,New York,-4.5,−108,151-127-4,54.3%,5.5,0.8
2,91.3,8:30 PM,American Airlines Center,7,Memphis,4,Dallas,MEM Grizzlies,Memphis,DAL Mavericks,Dallas,+4,−112,True,-4,−108,False,Memphis,14-7-0,66.7%,8.8,6.0,5-3-0,62.5%,5.4,6.3,Dallas,12-8-1,60.0%,6.5,3.2,6-4-0,60.0%,12.1,4.9,Memphis,+4,−112,5-1-0,83.3%,2.7,7.7,Dallas,-4,−108,7-6-0,53.9%,8.5,0.8,2,91.3,8:30 PM,American Airlines Center,7,Memphis,4,Dallas,MEM Grizzlies,Memphis,DAL Mavericks,Dallas,+4,−112,True,-4,−108,False,Memphis,913-865-31,51.4%,-0.3,0.3,445-437-16,50.5%,-3.1,0.5,Dallas,946-888-39,51.6%,2.1,0.2,438-462-24,48.7%,4.9,-0.1,Memphis,+4,−112,476-454-15,51.2%,-5.2,0.9,Dallas,-4,−108,554-562-29,49.6%,5.8,-0.6,2,91.3,8:30 PM,American Airlines Center,7,Memphis,4,Dallas,MEM Grizzlies,Memphis,DAL Mavericks,Dallas,+4,−112,True,-4,−108,False,Memphis,437-419-13,51.1%,-0.5,0.3,205-216-6,48.7%,-3.2,-0.1,Dallas,447-420-20,51.6%,0.7,0.5,207-215-11,49.1%,3.1,0.2,Memphis,+4,−112,229-226-5,50.3%,-5.5,0.7,Dallas,-4,−108,221-211-11,51.2%,5.5,-0.3
3,90.7,10:00 PM,Ball Arena,8,Golden State,10,Denver,GS Warriors,Golden State,DEN Nuggets,Denver,+5,−108,True,-5,−112,False,Golden State,11-8-0,57.9%,6.4,3.4,6-5-0,54.6%,7.0,5.0,Denver,7-10-1,41.2%,1.6,-0.9,3-5-1,37.5%,-0.6,-4.6,Golden State,+5,−108,5-2-0,71.4%,1.4,5.6,Denver,-5,−112,3-9-1,25.0%,0.6,-5.0,3,90.7,10:00 PM,Ball Arena,8,Golden State,10,Denver,GS Warriors,Golden State,DEN Nuggets,Denver,+5,−108,True,-5,−112,False,Golden State,947-886-38,51.7%,2.3,0.3,453-460-19,49.6%,-1.2,-0.2,Denver,932-882-35,51.4%,1.9,0.2,468-429-14,52.2%,5.8,0.5,Golden State,+5,−108,394-355-16,52.6%,-5.3,0.6,Denver,-5,−112,544-529-19,50.7%,6.1,-0.3,3,90.7,10:00 PM,Ball Arena,8,Golden State,10,Denver,GS Warriors,Golden State,DEN Nuggets,Denver,+5,−108,True,-5,−112,False,Golden State,474-460-21,50.8%,5.2,0.0,226-238-9,48.7%,2.3,-0.5,Denver,437-442-20,49.7%,1.6,-0.1,211-217-10,49.3%,4.9,0.3,Golden State,+5,−108,114-113-2,50.2%,-5.1,0.2,Denver,-5,−112,252-274-12,47.9%,5.4,-0.9
4,79.5,9:00 PM,Footprint Center,17,San Antonio,14,Phoenix,SA Spurs,San Antonio,PHO Suns,Phoenix,+7.5,−112,True,-7.5,−108,False,San Antonio,11-9-0,55.0%,0.4,3.0,4-4-0,50.0%,-5.4,0.6,Phoenix,7-12-0,36.8%,-0.7,-1.7,3-8-0,27.3%,1.5,-1.3,San Antonio,+7.5,−112,7-7-0,50.0%,-3.8,1.9,Phoenix,-7.5,−108,4-7-0,36.4%,4.4,-1.0,4,79.5,9:00 PM,Footprint Center,17,San Antonio,14,Phoenix,SA Spurs,San Antonio,PHO Suns,Phoenix,+7.5,−112,True,-7.5,−108,False,San Antonio,980-896-38,52.2%,3.7,0.5,473-460-17,50.7%,0.6,0.3,Phoenix,899-896-28,50.1%,0.5,-0.1,434-466-11,48.2%,3.1,-0.5,San Antonio,+7.5,−112,293-296-8,49.8%,-5.5,0.0,Phoenix,-7.5,−108,496-477-15,51.0%,5.9,-0.5,4,79.5,9:00 PM,Footprint Center,17,San Antonio,14,Phoenix,SA Spurs,San Antonio,PHO Suns,Phoenix,+7.5,−112,True,-7.5,−108,False,San Antonio,432-419-15,50.8%,1.0,0.2,209-209-11,50.0%,-1.7,0.1,Phoenix,422-438-10,49.1%,-1.3,-0.6,205-226-2,47.6%,0.7,-1.1,San Antonio,+7.5,−112,198-200-8,49.8%,-6.5,-0.1,Phoenix,-7.5,−108,204-206-5,49.8%,5.0,-1.0
5,78.7,10:00 PM,Golden 1 Center,5,Houston,16,Sacramento,HOU Rockets,Houston,SAC Kings,Sacramento,+1,−112,True,-1,−108,False,Houston,15-6-0,71.4%,8.2,5.0,6-3-0,66.7%,4.3,4.6,Sacramento,7-13-1,35.0%,0.2,-4.1,2-8-1,20.0%,1.0,-4.5,Houston,+1,−112,5-1-0,83.3%,1.2,5.2,Sacramento,-1,−108,4-9-1,30.8%,1.1,-6.3,5,78.7,10:00 PM,Golden 1 Center,5,Houston,16,Sacramento,HOU Rockets,Houston,SAC Kings,Sacramento,+1,−112,True,-1,−108,False,Houston,897-907-26,49.7%,1.4,0.2,454-439-8,50.8%,-1.4,0.4,Sacramento,836-862-41,49.2%,-2.4,-0.4,393-450-21,46.6%,0.1,-0.8,Houston,+1,−112,381-385-11,49.7%,-4.9,1.0,Sacramento,-1,−108,297-337-17,46.9%,3.8,-1.5,5,78.7,10:00 PM,Golden 1 Center,5,Houston,16,Sacramento,HOU Rockets,Houston,SAC Kings,Sacramento,+1,−112,True,-1,−108,False,Houston,434-446-14,49.3%,0.4,-0.2,212-215-5,49.7%,-2.1,-0.3,Sacramento,403-403-24,50.0%,-2.4,-0.4,182-216-12,45.7%,-1.1,-1.3,Houston,+1,−112,190-208-7,47.7%,-6.7,-0.1,Sacramento,-1,−108,140-160-8,46.7%,3.4,-1.7
6,71.9,7:00 PM,Little Caesars Arena,13,Milwaukee,24,Detroit,MIL Bucks,Milwaukee,DET Pistons,Detroit,-3.5,−112,False,+3.5,−108,True,Milwaukee,7-11-1,38.9%,0.9,-2.7,3-5-0,37.5%,-6.8,-6.0,Detroit,10-11-1,47.6%,-1.9,1.5,4-6-0,40.0%,-5.2,-2.3,Detroit,+3.5,−108,8-6-1,57.1%,-3.7,2.6,Milwaukee,-3.5,−112,5-8-1,38.5%,3.9,-3.3,6,71.9,7:00 PM,Little Caesars Arena,13,Milwaukee,24,Detroit,MIL Bucks,Milwaukee,DET Pistons,Detroit,-3.5,−112,False,+3.5,−108,True,Milwaukee,874-908-35,49.1%,0.2,-0.5,445-438-16,50.4%,-2.6,-0.3,Detroit,871-901-41,49.2%,-1.1,-0.2,436-453-16,49.0%,1.5,-0.3,Detroit,+3.5,−108,475-499-25,48.8%,-6.1,0.3,Milwaukee,-3.5,−112,469-469-25,50.0%,5.5,-0.7,6,71.9,7:00 PM,Little Caesars Arena,13,Milwaukee,24,Detroit,MIL Bucks,Milwaukee,DET Pistons,Detroit,-3.5,−112,False,+3.5,−108,True,Milwaukee,441-449-20,49.6%,2.7,-0.5,219-218-7,50.1%,0.1,-0.6,Detroit,392-410-22,48.9%,-3.6,-0.1,199-200-9,49.9%,-1.0,0.1,Detroit,+3.5,−108,274-286-19,48.9%,-6.7,0.3,Milwaukee,-3.5,−112,306-290-17,51.3%,6.7,-0.4
7,66.5,7:30 PM,Scotiabank Arena,19,Indiana,22,Toronto,IND Pacers,Indiana,TOR Raptors,Toronto,-3,−105,False,+3,−115,True,Indiana,7-13-1,35.0%,-4.3,-5.9,3-8-0,27.3%,-9.3,-8.1,Toronto,14-7-0,66.7%,-4.0,3.9,7-2-0,77.8%,-1.3,4.8,Toronto,+3,−115,14-7-0,66.7%,-4.0,3.9,Indiana,-3,−105,3-8-1,27.3%,-2.8,-9.2,7,66.5,7:30 PM,Scotiabank Arena,19,Indiana,22,Toronto,IND Pacers,Indiana,TOR Raptors,Toronto,-3,−105,False,+3,−115,True,Indiana,915-884-43,50.9%,0.6,0.3,446-452-17,49.7%,-2.8,-0.1,Toronto,899-878-34,50.6%,0.4,0.3,433-446-18,49.3%,3.0,0.0,Toronto,+3,−115,448-438-22,50.6%,-4.8,0.7,Indiana,-3,−105,468-452-19,50.9%,5.4,-0.3,7,66.5,7:30 PM,Scotiabank Arena,19,Indiana,22,Toronto,IND Pacers,Indiana,TOR Raptors,Toronto,-3,−105,False,+3,−115,True,Indiana,434-415-19,51.1%,0.3,0.4,212-210-6,50.2%,-2.4,0.0,Toronto,450-444-13,50.3%,2.3,0.3,219-220-6,49.9%,4.6,0.0,Toronto,+3,−115,173-165-9,51.2%,-4.1,0.8,Indiana,-3,−105,210-204-10,50.7%,5.0,-0.3
8,59.6,7:00 PM,Spectrum Center,20,Philadelphia,25,Charlotte,PHI 76ers,Philadelphia,CHA Hornets,Charlotte,-4.5,−105,False,+4.5,−115,True,Philadelphia,5-13-0,27.8%,-7.0,-5.4,3-6-0,33.3%,-5.3,-3.4,Charlotte,13-7-0,65.0%,-4.6,1.4,8-4-0,66.7%,-1.9,3.3,Charlotte,+4.5,−115,13-6-0,68.4%,-5.1,1.6,Philadelphia,-4.5,−105,2-5-0,28.6%,-1.3,-4.9,8,59.6,7:00 PM,Spectrum Center,20,Philadelphia,25,Charlotte,PHI 76ers,Philadelphia,CHA Hornets,Charlotte,-4.5,−105,False,+4.5,−115,True,Philadelphia,895-883-30,50.3%,-1.1,0.1,445-442-13,50.2%,-3.7,0.2,Charlotte,791-810-33,49.4%,-3.5,-0.1,395-406-14,49.3%,-0.6,0.0,Charlotte,+4.5,−115,545-572-28,48.8%,-6.9,-0.1,Philadelphia,-4.5,−105,401-387-16,50.9%,5.3,-0.3,8,59.6,7:00 PM,Spectrum Center,20,Philadelphia,25,Charlotte,PHI 76ers,Philadelphia,CHA Hornets,Charlotte,-4.5,−105,False,+4.5,−115,True,Philadelphia,453-417-17,52.1%,-0.1,0.4,210-217-11,49.2%,-2.9,0.0,Charlotte,392-412-18,48.8%,-2.7,-0.3,195-209-5,48.3%,-0.4,-0.4,Charlotte,+4.5,−115,242-265-16,47.7%,-6.9,-0.4,Philadelphia,-4.5,−105,234-198-9,54.2%,6.7,0.5
9,55.5,10:30 PM,Intuit Dome,27,Portland,12,La Clippers,POR Trail Blazers,Portland,LA Clippers,L.A. Clippers,+8.5,−108,True,-8.5,−112,False,Portland,12-8-1,60.0%,-7.5,0.9,6-4-1,60.0%,-9.3,0.5,La Clippers,15-7-0,68.2%,2.3,4.4,8-4-0,66.7%,3.8,3.8,Portland,+8.5,−108,12-8-1,60.0%,-7.5,0.9,La Clippers,-8.5,−112,5-2-0,71.4%,12.0,6.4,9,55.5,10:30 PM,Intuit Dome,27,Portland,12,La Clippers,POR Trail Blazers,Portland,LA Clippers,L.A. Clippers,+8.5,−108,True,-8.5,−112,False,Portland,870-893-27,49.4%,-1.2,-0.3,428-450-12,48.8%,-4.5,-0.4,La Clippers,888-920-20,49.1%,0.8,-0.1,435-461-8,48.6%,3.4,-0.3,Portland,+8.5,−108,456-492-15,48.1%,-6.7,-0.3,La Clippers,-8.5,−112,507-484-13,51.2%,6.3,0.0,9,55.5,10:30 PM,Intuit Dome,27,Portland,12,La Clippers,POR Trail Blazers,Portland,LA Clippers,L.A. Clippers,+8.5,−108,True,-8.5,−112,False,Portland,422-435-18,49.2%,-1.4,-0.4,208-218-6,48.8%,-4.3,-0.6,La Clippers,455-438-7,51.0%,2.9,0.2,214-225-2,48.8%,4.8,-0.4,Portland,+8.5,−108,212-240-10,46.9%,-7.4,-0.8,La Clippers,-8.5,−112,303-280-6,52.0%,6.9,0.1
10,43.2,8:00 PM,Paycom Center,29,Utah,1,Okla City,UTA Jazz,Utah,OKC Thunder,Oklahoma City,+13.5,−110,True,-13.5,−110,False,Utah,9-11-0,45.0%,-9.5,-2.5,5-4-0,55.6%,-8.4,0.1,Okla City,11-9-0,55.0%,10.0,2.4,5-5-0,50.0%,10.8,1.0,Utah,+13.5,−110,9-11-0,45.0%,-9.5,-2.5,Okla City,-13.5,−110,10-9-0,52.6%,9.7,1.6,10,43.2,8:00 PM,Paycom Center,29,Utah,1,Okla City,UTA Jazz,Utah,OKC Thunder,Oklahoma City,+13.5,−110,True,-13.5,−110,False,Utah,892-876-37,50.5%,1.0,0.1,430-451-15,48.8%,-2.9,-0.5,Okla City,950-862-31,52.4%,1.0,0.3,470-430-14,52.2%,4.1,0.4,Utah,+13.5,−110,395-412-16,49.0%,-5.6,0.2,Okla City,-13.5,−110,511-475-10,51.8%,6.6,0.0,10,43.2,8:00 PM,Paycom Center,29,Utah,1,Okla City,UTA Jazz,Utah,OKC Thunder,Oklahoma City,+13.5,−110,True,-13.5,−110,False,Utah,436-414-21,51.3%,2.1,0.5,215-205-8,51.2%,-1.0,0.0,Okla City,448-411-14,52.2%,1.1,0.3,221-199-8,52.6%,4.2,1.0,Utah,+13.5,−110,181-171-7,51.4%,-5.0,0.7,Okla City,-13.5,−110,237-232-4,50.5%,6.9,0.3
