Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Okla City,948-860-31,52.4%,1.0,0.3,501-434-14,53.6%,1.4,0.5,35-25-2,58.3%,0.8,-0.1,435-388-19,52.9%,-0.6,0.5,501-463-11,52.0%,2.3,0.1,468-422-17,52.6%,-2.1,0.1,432-386-21,52.8%,-5.7,0.5,509-473-10,51.8%,6.6,0.0,470-430-14,52.2%,4.1,0.4,174-164-7,51.5%,-1.7,0.1,567-521-15,52.1%,1.5,0.3,214-206-9,51.0%,2.6,0.2,233-220-8,51.4%,-1.4,-0.1,172-150-7,53.4%,1.9,0.6
San Antonio,978-895-38,52.2%,3.7,0.5,530-481-21,52.4%,3.3,0.3,39-32-0,54.9%,5.2,2.2,365-331-18,52.4%,2.2,0.8,601-554-20,52.0%,4.6,0.3,471-460-17,50.6%,0.6,0.3,292-295-8,49.7%,-5.5,0.1,682-594-30,53.5%,8.0,0.7,502-427-20,54.0%,7.0,0.8,175-168-8,51.0%,2.4,0.5,584-528-23,52.5%,3.8,0.4,220-196-8,52.9%,6.0,0.9,228-218-9,51.1%,2.5,0.6,180-167-7,51.9%,4.5,0.4
Boston,993-922-38,51.9%,3.0,0.6,564-522-19,51.9%,2.3,0.3,38-33-1,53.5%,4.1,2.5,423-374-8,53.1%,1.7,0.7,556-541-29,50.7%,3.8,0.5,510-432-15,54.1%,0.6,1.1,371-307-15,54.7%,-3.1,2.0,617-609-23,50.3%,6.4,-0.1,468-479-22,49.4%,5.2,0.1,194-161-6,54.7%,2.1,1.7,583-554-18,51.3%,3.1,0.3,195-193-10,50.3%,5.2,0.9,234-207-9,53.1%,2.6,1.3,178-174-13,50.6%,3.1,0.2
Golden State,946-884-38,51.7%,2.3,0.3,487-441-20,52.5%,2.4,0.4,31-37-0,45.6%,0.4,-2.7,428-362-13,54.2%,1.3,1.4,507-511-25,49.8%,3.1,-0.5,453-459-19,49.7%,-1.2,-0.2,393-354-16,52.6%,-5.3,0.6,550-525-22,51.2%,7.6,0.1,492-425-19,53.7%,5.7,0.7,186-171-8,52.1%,-0.1,0.6,533-513-22,51.0%,2.7,0.2,240-217-13,52.5%,4.5,0.3,219-226-5,49.2%,-0.4,0.0,196-163-8,54.6%,3.9,0.7
Dallas,942-887-39,51.5%,2.1,0.1,497-474-21,51.2%,1.7,0.2,29-35-1,45.3%,0.1,-1.1,420-339-20,55.3%,2.4,1.4,511-537-19,48.8%,1.9,-0.7,499-416-14,54.5%,-0.6,0.4,385-318-10,54.8%,-3.8,1.3,552-562-29,49.6%,5.8,-0.6,437-462-24,48.6%,4.9,-0.1,176-165-7,51.6%,0.3,0.2,556-526-24,51.4%,2.4,0.1,210-200-8,51.2%,4.7,0.2,235-213-10,52.5%,0.6,0.0,181-161-7,52.9%,3.0,0.6
Denver,931-880-35,51.4%,1.9,0.2,482-436-13,52.5%,1.9,0.4,43-23-2,65.2%,4.4,3.4,404-365-10,52.5%,1.6,0.6,513-508-24,50.2%,2.0,-0.2,446-442-20,50.2%,-2.0,-0.3,382-350-16,52.2%,-4.3,0.9,543-527-19,50.8%,6.1,-0.3,468-428-14,52.2%,5.8,0.5,163-187-7,46.6%,-2.0,-1.1,564-499-20,53.1%,2.9,0.6,233-205-13,53.2%,4.6,0.5,216-239-9,47.5%,-0.8,-0.7,161-171-6,48.5%,2.3,-0.4
Memphis,910-864-31,51.3%,-0.4,0.3,466-484-19,49.1%,-0.6,0.1,16-34-1,32.0%,-4.4,-4.0,442-436-13,50.3%,-1.6,0.2,463-411-18,53.0%,1.0,0.7,445-437-16,50.5%,-3.1,0.5,476-454-15,51.2%,-5.2,0.9,426-404-16,51.3%,5.0,-0.4,462-421-15,52.3%,2.4,0.2,206-173-2,54.4%,-2.1,0.3,502-477-21,51.3%,0.1,0.4,210-207-7,50.4%,1.6,0.1,234-173-5,57.5%,-2.0,1.2,186-180-7,50.8%,0.6,0.6
Miami,977-928-43,51.3%,1.8,0.1,542-508-22,51.6%,2.0,0.2,40-30-0,57.1%,3.6,1.0,436-366-18,54.4%,1.5,0.9,530-551-25,49.0%,2.1,-0.5,495-441-20,52.9%,-0.9,0.3,376-350-17,51.8%,-4.6,0.9,598-575-26,51.0%,5.8,-0.4,461-477-23,49.2%,4.6,-0.1,168-161-13,51.1%,-0.5,-0.4,575-559-23,50.7%,2.1,0.1,213-205-8,51.0%,3.1,0.1,222-215-13,50.8%,0.1,-0.1,194-178-7,52.2%,2.7,0.6
Indiana,915-880-42,51.0%,0.6,0.3,510-472-28,51.9%,0.9,0.6,39-20-3,66.1%,4.6,2.3,456-396-23,53.5%,0.7,1.2,444-477-19,48.2%,0.4,-0.5,446-451-17,49.7%,-2.8,-0.1,438-424-24,50.8%,-4.5,0.9,468-449-18,51.0%,5.4,-0.2,462-421-25,52.3%,4.0,0.8,175-208-5,45.7%,-2.1,-0.9,506-500-24,50.3%,0.8,0.2,206-205-10,50.1%,2.6,0.5,199-203-4,49.5%,-2.2,-0.5,195-152-10,56.2%,2.3,1.6
New York,875-851-24,50.7%,-2.1,0.1,467-444-13,51.3%,-2.0,0.1,29-24-1,54.7%,-4.1,-0.9,497-493-14,50.2%,-3.0,0.1,366-349-9,51.2%,-0.8,0.2,450-410-14,52.3%,-4.3,0.7,542-543-18,50.0%,-5.9,0.5,323-303-6,51.6%,4.4,-0.5,424-440-10,49.1%,0.1,-0.4,175-176-7,49.9%,-3.5,0.2,516-488-12,51.4%,-1.5,0.4,201-204-4,49.6%,-0.9,-0.2,207-203-7,50.5%,-3.5,0.6,155-163-4,48.7%,-2.0,-0.5
Toronto,896-876-34,50.6%,0.4,0.3,484-494-18,49.5%,0.4,0.1,33-26-1,55.9%,0.6,0.3,443-429-18,50.8%,-0.7,0.2,440-438-16,50.1%,1.5,0.3,453-421-16,51.8%,-2.3,0.5,445-436-22,50.5%,-4.9,0.7,446-433-12,50.7%,5.8,-0.2,432-446-18,49.2%,3.0,0.0,184-166-7,52.6%,-1.4,0.9,527-529-19,49.9%,0.9,0.2,194-185-7,51.2%,2.1,0.2,218-197-9,52.5%,-1.2,0.8,152-155-7,49.5%,0.8,-0.4
Utah,891-873-37,50.5%,1.0,0.1,453-447-18,50.3%,0.4,0.0,26-31-1,45.6%,0.5,-0.8,414-411-15,50.2%,0.0,0.0,465-452-22,50.7%,1.9,0.1,430-451-15,48.8%,-2.9,-0.5,394-409-16,49.1%,-5.6,0.3,491-459-21,51.7%,6.5,-0.1,455-412-22,52.5%,5.0,0.7,171-190-9,47.4%,-1.3,-0.5,535-481-17,52.7%,1.7,0.5,222-209-9,51.5%,3.8,0.2,216-217-10,49.9%,-0.6,0.3,159-171-10,48.2%,1.6,-0.3
Philadelphia,894-881-30,50.4%,-1.1,0.1,480-456-17,51.3%,-0.8,0.1,28-31-0,47.5%,-0.4,0.2,485-449-13,51.9%,-2.3,0.5,398-421-17,48.6%,0.3,-0.5,444-442-13,50.1%,-3.7,0.2,487-490-14,49.9%,-6.3,0.3,400-387-16,50.8%,5.3,-0.3,446-430-17,50.9%,1.6,-0.1,178-192-5,48.1%,-3.1,0.1,515-484-19,51.6%,-0.2,0.2,204-209-4,49.4%,-0.4,-0.4,210-216-9,49.3%,-2.2,0.5,173-174-6,49.9%,-1.4,-0.4
