Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Portland,Indiana,Portland,9.5,231.5.,235,False
L.A. Clippers,Washington,L.A. Clippers,-9.0,225.,217,False
Houston,Philadelphia,Houston,-5.0,219.5.,237,False
Chicago,Orlando,Orlando,-9.5,224.5.,252,True
Miami,Charlotte,Charlotte,4.5,218.5.,192,True
Atlanta,Cleveland,Atlanta,9.0,242.5.,259,False
New York,Dallas,Dallas,4.0,232.5.,243,True
Toronto,New Orleans,Toronto,1.0,222.,212,False
Detroit,Memphis,Memphis,-8.0,224.5.,242,True
Sacramento,Minnesota,Sacramento,3.0,219.5.,219,False
L.A. Lakers,San Antonio,L.A. Lakers,-2.0,228.,220,False
Brooklyn,Phoenix,Brooklyn,9.5,220.,244,False
Denver,Utah,Denver,-10.5,229.,225,False
Oklahoma City,Golden State,Golden State,4.5,225.,206,True
