Rank,Hotness Score,Matchup,Time,Location
1,94.4,#1 Okla City  at  #7 Golden State,10:00 PM,Chase Center
2,92.4,#4 New York  at  #6 Dallas,7:30 PM,American Airlines Center
3,77.2,#17 Sacramento  at  #11 Minnesota,8:00 PM,Target Center
4,71.3,#22 Brooklyn  at  #13 Phoenix,9:00 PM,Footprint Center
5,70.9,#15 Miami  at  #23 Charlotte,7:00 PM,Spectrum Center
6,68.3,#18 LA Lakers  at  #16 San Antonio,8:30 PM,Frost Bank Center
7,67.6,#21 Detroit  at  #8 Memphis,8:00 PM,FedExForum
8,63.6,#24 Chicago  at  #9 Orlando,7:00 PM,Kia Center
8,63.6,#10 Denver  at  #28 Utah,9:00 PM,Delta Center
8,63.6,#5 Houston  at  #20 Philadelphia,7:00 PM,Wells Fargo Center
11,58.2,#25 Toronto  at  #26 New Orleans,8:00 PM,Smoothie King Center
12,56.9,#29 Portland  at  #19 Indiana,7:00 PM,Gainbridge Fieldhouse
13,45.4,#27 Atlanta  at  #3 Cleveland,7:00 PM,Rocket Mortgage FieldHouse
14,39.8,#14 LA Clippers  at  #30 Washington,7:00 PM,Capital One Arena
