,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,98.5,9:00 PM,Legacy Arena,8,Alabama,27,Illinois,Alabama,Illinois,1-3-0,25.0%,16.0,-2.6,0-1-0,0.0%,-9.0,-13.0,1-3-0,25.0%,16.0,-2.6,2-1-0,66.7%,29.7,4.5,2-1-0,66.7%,29.7,+4.5,,,,
1,2,90.0,7:00 PM,Bryce Jordan Center,110,Ipfw,19,Penn St,,Penn State,3-0-0,100.0%,21.5,5.8,1-0-0,100.0%,-7.0,4.5,2-0-0,100.0%,20.5,6.5,3-1-0,75.0%,35.8,15.4,2-1-0,66.7%,40.3,+15.7,,,,
2,3,78.7,7:00 PM,University of Dayton Arena,172,N Mex State,70,Dayton,New Mexico State,Dayton,1-1-0,50.0%,16.3,2.5,1-0-0,100.0%,12.0,8.5,1-1-0,50.0%,6.5,2.5,2-1-0,66.7%,16.0,0.0,2-1-0,66.7%,16.0,0.0,,,,
3,4,76.6,10:00 PM,Maples Pavilion,186,Norfolk St,64,Stanford,Norfolk State,Stanford,2-1-0,66.7%,22.2,4.7,1-1-0,50.0%,-1.0,-2.3,1-0-0,100.0%,9.0,4.5,4-0-0,100.0%,22.5,6.4,4-0-0,100.0%,22.5,+6.4,,,,
4,5,76.0,9:00 PM,Global Credit Union Arena at GCU,192,Uc Davis,78,Grd Canyon,,Grand Canyon,2-1-0,66.7%,-1.5,3.5,2-1-0,66.7%,-5.3,3.5,1-0-0,100.0%,4.0,2.0,0-3-0,0.0%,0.3,-12.0,0-2-0,0.0%,6.0,-9.5,,,,
5,6,72.1,8:00 PM,Jersey Mike's Arena,223,Merrimack,56,Rutgers,Merrimack,Rutgers,1-2-0,33.3%,-6.0,3.3,0-1-0,0.0%,-21.0,-6.0,,,,,1-2-0,33.3%,16.7,-1.8,1-2-0,33.3%,16.7,-1.8,,,,
6,6,72.1,11:00 PM,Pauley Pavilion presented by Wescom,241,Idaho St,20,Ucla,Idaho State,,4-0-0,100.0%,4.4,11.4,4-0-0,100.0%,-0.5,11.4,,,,,3-1-0,75.0%,24.5,5.5,3-0-0,100.0%,35.3,+11.5,,,,
7,8,71.5,7:30 PM,Stopher Gymnasium,131,Towson,185,Nicholls,Towson,Nicholls State,2-1-0,66.7%,6.5,-4.3,1-1-0,50.0%,-16.5,-7.5,1-0-0,100.0%,4.0,2.0,2-2-0,50.0%,0.2,-0.5,0-1-0,0.0%,21.5,-11.5,2-1-0,66.7%,-14.0,3.2
8,9,70.3,10:30 PM,Dale E. and Sarah Ann Fowler Events Center,156,N Colorado,167,Cal Baptist,Northern Colorado,California Baptist,2-1-0,66.7%,14.0,7.0,1-1-0,50.0%,-8.0,4.3,,,,,0-4-0,0.0%,5.3,-5.1,0-4-0,0.0%,5.3,-5.1,,,,
9,10,70.1,8:00 PM,Reed Arena,245,Southern,22,Texas A&M,Southern University,Texas A&M,1-2-0,33.3%,14.5,-1.7,1-2-0,33.3%,-10.3,-1.7,0-1-0,0.0%,-2.0,-5.0,3-1-0,75.0%,17.3,0.3,3-0-0,100.0%,24.0,+3.5,,,,
10,11,69.4,7:00 PM,WVU Coliseum,226,Iona,82,W Virginia,Iona,West Virginia,2-2-0,50.0%,-4.5,-0.9,1-1-0,50.0%,-7.5,1.0,0-1-0,0.0%,-6.0,-12.5,1-2-0,33.3%,3.3,-3.3,1-1-0,50.0%,17.0,+3.3,0-1-0,0.0%,-24.0,-16.5
11,12,65.7,10:00 PM,The Thunderdome,225,Tx El Paso,115,Ucsb,,,0-1-0,0.0%,12.7,-28.0,0-1-0,0.0%,-29.0,-28.0,,,,,1-2-0,33.3%,25.0,8.3,0-1-0,0.0%,27.0,-7.5,,,,
12,13,64.8,9:00 PM,McCarthey Athletic Center,280,Lg Beach St,1,Gonzaga,Long Beach State,Gonzaga,1-2-0,33.3%,3.0,-4.2,1-1-0,50.0%,-15.5,-3.0,0-1-0,0.0%,-2.0,-6.5,3-1-0,75.0%,29.5,12.9,2-1-0,66.7%,35.0,+16.5,,,,
13,14,64.0,7:00 PM,Cassell Coliseum,254,Jacksonville,93,Va Tech,Jacksonville,,2-1-0,66.7%,-2.0,1.7,1-1-0,50.0%,-15.0,1.3,1-0-0,100.0%,9.0,2.5,1-3-0,25.0%,6.5,-4.4,1-2-0,33.3%,16.0,-1.0,0-1-0,0.0%,-22.0,-14.5
14,15,62.9,10:00 PM,Thomas & Mack Center,251,Pepperdine,106,Unlv,Pepperdine,,1-2-0,33.3%,-7.7,-1.2,0-2-0,0.0%,-18.0,-5.5,1-0-0,100.0%,13.0,7.5,0-2-1,0.0%,6.3,-4.3,0-2-1,0.0%,6.3,-4.3,,,,
15,16,60.6,8:00 PM,First Bank & Trust Arena,218,S Mississippi,168,S Dakota St,Southern Mississippi,South Dakota State,1-1-0,50.0%,11.3,2.0,0-1-0,0.0%,-14.0,-0.5,1-0-0,100.0%,9.0,4.5,1-2-0,33.3%,11.8,-1.2,0-1-0,0.0%,24.5,-8.5,1-0-0,100.0%,7.0,17.5
16,17,59.7,10:00 PM,Galen Center,284,San Jose St,75,Usc,San Jose State,,1-3-0,25.0%,0.8,-8.5,0-1-0,0.0%,-11.0,-6.5,0-2-0,0.0%,-8.5,-14.5,1-3-0,25.0%,7.5,-7.9,1-3-0,25.0%,7.5,-7.9,,,,
17,18,59.4,6:30 PM,Cintas Center,301,Siena,44,Xavier,Siena,Xavier,3-1-0,75.0%,0.3,5.1,1-1-0,50.0%,-4.0,3.5,,,,,2-2-0,50.0%,18.8,-3.8,2-2-0,50.0%,18.8,-3.8,,,,
18,19,59.2,9:00 PM,Desert Financial Arena,297,Cal Poly,63,Arizona St,Cal Poly,Arizona State,3-1-0,75.0%,3.0,6.6,2-1-0,66.7%,-7.3,6.0,,,,,4-1-0,80.0%,6.4,6.9,1-1-0,50.0%,11.0,-4.3,3-0-0,100.0%,3.3,14.3
19,20,57.8,7:00 PM,KSU Convocation Center,207,Abl Christian,202,Kennesaw St,Abilene Christian,Kennesaw State,1-1-0,50.0%,17.0,-8.5,,,,,1-1-0,50.0%,-5.5,-8.5,2-0-0,100.0%,24.5,10.0,1-0-0,100.0%,34.0,+13.5,1-0-0,100.0%,-4.0,6.5
20,21,57.0,8:30 PM,Capital One Arena,263,Mt St Marys,148,Georgetown,,Georgetown,2-1-0,66.7%,3.5,0.5,1-1-0,50.0%,-15.0,0.5,1-0-0,100.0%,8.0,0.5,0-3-0,0.0%,-0.3,-9.3,0-3-0,0.0%,-0.3,-9.3,0-1-0,0.0%,-21.0,-18.0
21,22,56.2,8:00 PM,Reynolds Center,250,Ar Lit Rock,165,Tulsa,,Tulsa,1-2-0,33.3%,1.3,7.2,1-2-0,33.3%,-5.0,7.2,,,,,1-2-0,33.3%,10.3,-2.8,1-1-0,50.0%,15.3,0.0,,,,
22,23,55.5,6:31 PM,Island Federal Credit Union Arena,100,Yale,303,Stony Brook,Yale,Stony Brook,3-1-0,75.0%,11.4,2.0,2-1-0,66.7%,-7.7,-3.3,1-1-0,50.0%,7.0,0.0,1-2-0,33.3%,-7.3,-11.0,0-0-0,0.0%,48.0,--,1-2-0,33.3%,-25.7,-11.0
23,24,54.4,7:00 PM,Thomas M. Ryan Center,295,Lafayette,108,Rhode Island,Lafayette,Rhode Island,3-1-0,75.0%,-10.3,-0.6,2-1-0,66.7%,-14.3,-2.2,,,,,1-1-0,50.0%,28.0,10.0,1-1-0,50.0%,28.0,+10.0,,,,
24,25,52.5,7:00 PM,Robins Center,237,Maine,210,Richmond,Maine,Richmond,2-1-0,66.7%,4.0,2.2,2-1-0,66.7%,-11.7,2.2,,,,,0-3-0,0.0%,1.3,-13.2,0-1-0,0.0%,13.0,-16.0,0-1-0,0.0%,-17.0,-15.5
25,26,49.8,6:00 PM,McAlister Field House,122,Col Charlestn,315,Citadel,Charleston,,3-1-0,75.0%,1.8,-2.4,,,,,3-1-0,75.0%,1.8,-2.4,2-1-0,66.7%,11.8,5.0,1-1-0,50.0%,17.0,+3.8,1-0-0,100.0%,-9.0,7.5
26,27,48.4,8:00 PM,E.A. Diddle Arena,325,Jackson St,119,W Kentucky,Jackson State,Western Kentucky,2-2-0,50.0%,-29.0,-0.9,2-2-0,50.0%,-29.0,-0.9,,,,,1-1-1,50.0%,6.0,1.5,0-1-1,0.0%,8.7,-3.0,1-1-0,50.0%,-4.5,2.3
27,28,46.3,8:00 PM,CFSB Center,355,Maryland Es,72,Murray St,,Murray State,3-1-0,75.0%,2.0,4.6,3-1-0,75.0%,-15.5,4.6,,,,,1-1-0,50.0%,27.3,10.8,0-0-0,0.0%,76.0,--,1-1-0,50.0%,3.0,10.8
28,29,44.3,7:00 PM,Steinberg Wellness Center,175,Columbia,314,Liu,,,2-2-1,50.0%,9.8,4.9,1-1-0,50.0%,6.5,11.8,1-2-1,33.3%,9.8,-0.6,2-0-1,100.0%,6.5,7.8,0-0-0,0.0%,60.0,--,2-0-1,100.0%,-11.3,7.8
29,30,43.2,7:00 PM,EagleBank Arena,362,Coppin St,90,Geo Mason,Coppin State,George Mason,3-3-0,50.0%,-23.3,0.6,3-2-0,60.0%,-25.8,1.1,,,,,2-3-0,40.0%,6.8,-0.3,2-1-0,66.7%,18.0,+2.8,0-1-0,0.0%,-19.0,-5.5
