Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Connecticut,Dayton,Dayton,8.0,146.5.,152,True
California Baptist,Fresno St.,Fresno St.,6.5,152.5.,167,True
Notre Dame,Houston,Notre Dame,17.0,133.5.,119,False
Louisville,West Virginia,Louisville,-2.5,151.5.,149,False
Rhode Island,Texas-Arlington,Texas-Arlington,7.5,159.,161,True
Indiana,Gonzaga,Gonzaga,-10.0,157.,162,True
Florida,Wake Forest,Florida,-8.0,152.,133,False
North Dakota State,Utah Valley,North Dakota State,6.0,142.,146,False
Purdue,NC State,Purdue,-5.5,147.5.,132,False
Texas Christian,Santa Clara,Santa Clara,5.0,148.5.,121,True
Arkansas,Illinois,Illinois,-4.0,156.,167,True
Oklahoma,Arizona,Oklahoma,7.5,154.5.,159,False
Mississippi,Brigham Young,Mississippi,3.0,153.,181,False
Utah St.,St. Bonaventure,St. Bonaventure,6.5,148.,139,True
Washington,Colorado St.,Washington,-1.5,142.,140,False
Butler,Northwestern,Butler,3.0,135.5.,140,False
Providence,Davidson,Davidson,5.0,136.5.,127,True
Kennesaw St.,UC Irvine,UC Irvine,-9.5,154.,135,True
Northern Iowa,North Texas,North Texas,-3.5,126.,116,True
Southern California,Saint Mary'S,Saint Mary's,-5.0,140.5.,107,False
UNLV,Mississippi State,Mississippi State,-8.5,146.5.,138,True
Kent St.,Towson,Kent St.,-1.0,131.,119,False
New Mexico,Arizona State,Arizona State,4.0,159.,167,True
