,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,94.5,10:00 PM,Viejas Arena,1,Gonzaga,69,San Diego St,Gonzaga,San Diego State,2-1-0,66.7%,35.0,16.5,,,,,2-1-0,66.7%,35.0,16.5,0-1-0,0.0%,28.0,-5.5,0-1-0,0.0%,28.0,-5.5,,,,
1,2,88.2,7:00 PM,Legacy Center,76,North Texas,95,Mcneese St,North Texas,,2-0-0,100.0%,20.7,4.5,1-0-0,100.0%,3.0,5.5,1-0-0,100.0%,17.0,3.5,1-1-0,50.0%,13.0,-4.0,0-0-0,0.0%,54.0,--,1-0-0,100.0%,-8.0,9.5
2,3,82.6,9:00 PM,Neville Arena,169,N Alabama,3,Auburn,North Alabama,Auburn,4-0-0,100.0%,17.3,11.0,1-0-0,100.0%,16.0,21.0,2-0-0,100.0%,27.0,11.3,2-0-1,100.0%,26.3,14.7,1-0-1,100.0%,37.0,+16.8,1-0-0,100.0%,5.0,10.5
3,4,81.4,9:30 PM,Friel Court at Beasley Coliseum,152,N Colorado,81,Wash State,Northern Colorado,Washington State,2-0-0,100.0%,21.0,11.8,1-0-0,100.0%,-2.0,11.0,,,,,2-2-0,50.0%,9.5,3.0,2-1-0,66.7%,16.0,+5.5,0-1-0,0.0%,-10.0,-4.5
4,5,76.2,7:00 PM,Lenovo Center,193,Colgate,63,Nc State,Colgate,,2-1-0,66.7%,4.7,-2.0,1-1-0,50.0%,-9.5,-5.3,1-1-0,50.0%,8.0,-8.0,1-2-0,33.3%,17.3,-3.5,1-2-0,33.3%,17.3,-3.5,,,,
5,6,75.6,6:00 PM,Crisler Center,214,Miami (Oh),26,Michigan,,Michigan,1-2-0,33.3%,6.3,1.2,1-0-0,100.0%,14.0,21.0,0-2-0,0.0%,2.5,-8.8,2-1-0,66.7%,19.3,9.2,2-0-0,100.0%,30.0,+15.8,,,,
6,7,74.4,8:00 PM,Kohl Center,217,Tx-Pan Am,33,Wisconsin,,Wisconsin,4-0-0,100.0%,10.4,10.6,2-0-0,100.0%,-16.5,9.5,2-0-0,100.0%,17.5,11.8,3-1-0,75.0%,20.5,7.6,3-1-0,75.0%,20.5,+7.6,1-0-0,100.0%,15.0,19.5
7,8,72.1,9:00 PM,Dee Glen Smith Spectrum,233,Montana,29,Utah St,Montana,Utah State,0-2-0,0.0%,3.8,-10.8,0-2-0,0.0%,-33.0,-10.8,,,,,2-0-0,100.0%,49.3,21.0,2-0-0,100.0%,49.3,+21.0,,,,
8,9,63.6,8:00 PM,Bud Walton Arena,279,Pacific,36,Arkansas,Pacific,Arkansas,1-2-0,33.3%,16.0,-0.2,0-1-0,0.0%,-10.0,-6.5,0-1-0,0.0%,-3.0,-8.5,1-2-0,33.3%,9.0,0.7,1-1-0,50.0%,16.0,+1.3,0-1-0,0.0%,-5.0,-0.5
9,10,63.2,8:00 PM,Banterra Center,199,N Dakota St,177,S Illinois,North Dakota State,Southern Illinois,1-2-0,33.3%,7.8,2.8,1-1-0,50.0%,1.5,10.5,0-1-0,0.0%,-9.0,-12.5,1-1-0,50.0%,1.7,-0.5,0-0-0,0.0%,22.0,--,1-1-0,50.0%,-8.5,-0.5
