Rank,Hotness Score,Matchup,Time,Location
1,99.5,#11 Kansas  vs.  #3 Duke,9:00 PM,T-Mobile Arena
2,99.4,#2 Houston  vs.  #6 Alabama,8:00 PM,MGM Grand Arena
3,99.1,#4 Auburn  vs.  #10 N Carolina,11:00 PM,Lahaina Civic Center
4,97.2,#22 Penn St  vs.  #38 Clemson,4:00 PM,Ocean Center
5,97.1,#41 Oregon  vs.  #25 Texas A&M,4:30 PM,MGM Grand Arena
6,96.9,#37 Memphis  vs.  #33 Michigan St,6:00 PM,Lahaina Civic Center
7,95.5,#12 Iowa St  vs.  #59 Dayton,8:30 PM,Lahaina Civic Center
8,94.8,#63 San Diego St  vs.  #39 Creighton,2:00 PM,MGM Grand Arena
9,94.5,#9 Connecticut  vs.  #75 Colorado,3:30 PM,Lahaina Civic Center
10,92.0,#69 Rutgers  vs.  #67 Notre Dame,10:30 PM,MGM Grand Arena
11,88.5,#120 W Kentucky  at  #7 Kentucky,6:30 PM,Rupp Arena at Central Bank Center
11,88.5,#94 Grd Canyon  vs.  #70 Stanford,7:00 PM,Acrisure Arena
13,87.6,#49 Boise St  vs.  #119 Boston Col,7:30 PM,John Gray Gymnasium
14,80.3,#142 Seattle  vs.  #105 Furman,11:30 PM,T-Mobile Arena
15,80.1,#186 S Utah  at  #20 UCLA,10:00 PM,Pauley Pavilion presented by Wescom
16,79.2,#184 Cal Baptist  vs.  #51 S Methodist,9:30 PM,Acrisure Arena
17,76.5,#193 Fordham  vs.  #61 San Francisco,1:30 PM,Ocean Center
18,76.3,#132 S Dakota St  vs.  #148 Missouri St,5:00 PM,John Gray Gymnasium
19,72.8,#201 TX-Arlington  vs.  #91 Murray St,5:00 PM,Florida State College at Jacksonville South Campus
20,66.8,#233 Radford  vs.  #106 IPFW,6:30 PM,Ocean Center
21,66.3,#110 LA Tech  vs.  #225 Richmond,3:00 PM,Germain Arena
22,65.5,#191 Loyola Mymt  vs.  #163 Belmont,8:30 PM,Hard Rock Hotel Riviera Maya
23,64.0,#202 Abl Christian  at  #167 Montana St,9:00 PM,Brick Breeden Fieldhouse
24,62.7,#250 N Dakota St  at  #112 Samford,7:30 PM,Pete Hanna Center
25,61.5,#280 W Carolina  at  #62 Florida St,7:00 PM,Donald L. Tucker Center
26,61.1,#223 E Kentucky  vs.  #166 S Illinois,12:00 PM,Germain Arena
27,61.0,#218 Wyoming  vs.  #174 Tulane,6:00 PM,Hard Rock Hotel Riviera Maya
28,60.6,#256 E Washingtn  at  #130 UCSB,10:00 PM,The Thunderdome
29,59.0,#214 Miami (OH)  vs.  #190 Mercer,1:30 PM,Suncoast Credit Union Arena
30,58.8,#124 NC-Grnsboro  vs.  #262 San Jose St,11:00 PM,Dollar Loan Center
31,58.3,#271 Hampton  vs.  #126 High Point,1:30 PM,John Gray Gymnasium
32,54.4,#285 Wagner  at  #131 Georgetown,7:00 PM,Capital One Arena
