Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Chicago St.,Drexel,Chicago St.,18.0,135.,154,False
Duquesne,Old Dominion,Duquesne,-10.0,139.5.,121,False
Siena,Jacksonville,Jacksonville,-6.0,129.5.,139,True
Eastern Kentucky,Southern Illinois,Eastern Kentucky,4.0,150.,149,False
Tulsa,Detroit Mercy,Tulsa,-10.0,141.5.,107,False
Southeastern Louisiana,Gardner-Webb,Gardner-Webb,-3.0,139.,142,True
Fordham,San Francisco,San Francisco,-11.0,141.,149,True
Miami (OH),Mercer,Mercer,3.5,152.5.,147,True
Hampton,High Point,Hampton,10.5,139.5.,149,False
San Diego St.,Creighton,San Diego St.,4.5,139.5.,124,False
Austin Peay,Georgia St.,Austin Peay,1.0,145.5.,112,False
Louisiana Tech,Richmond,Richmond,8.0,135.,127,True
Bethune-Cookman,North Dakota,Bethune-Cookman,3.5,145.,146,False
Connecticut,Colorado,Colorado,14.5,143.,145,True
Penn St.,Clemson,Clemson,-1.0,150.5.,142,True
Utah Valley,West Georgia,West Georgia,15.0,139.5.,151,True
Denver,Utah Tech,Utah Tech,-2.0,150.5.,122,True
Bryant,Tennessee St.,Bryant,-8.5,159.5.,182,False
Oregon,Texas A&M,Oregon,4.0,146.5.,150,False
South Dakota State,Missouri St.,South Dakota State,-3.0,143.,130,False
Murray St.,Texas-Arlington,Murray St.,-5.0,153.5.,145,False
Memphis,Michigan St.,Memphis,2.5,150.5.,134,False
Wyoming,Tulane,Wyoming,2.0,142.,127,False
NJIT,Cleveland St.,NJIT,12.5,132.,109,False
Western Kentucky,Kentucky,Western Kentucky,24.0,165.,155,False
Radford,Purdue Fort Wayne,Radford,7.5,147.,125,False
Western Carolina,Florida State,Florida State,-20.5,146.5.,148,True
VMI,Loyola (MD),VMI,4.0,144.5.,137,False
Wagner,Georgetown,Georgetown,-14.5,128.,107,True
Grand Canyon,Stanford,Grand Canyon,1.0,144.,149,False
Lehigh,St. Francis (PA),St. Francis (PA),5.0,142.5.,166,True
Manhattan,Virginia,Manhattan,17.0,127.5.,139,False
Saint Peter'S,Fairleigh Dickinson,Fairleigh Dickinson,7.5,142.5.,154,True
Boise St.,Boston College,Boston College,9.5,144.5.,124,True
North Dakota State,Samford,North Dakota State,11.0,154.,201,False
South Carolina Upstate,Iowa,Iowa,-28.5,169.,187,True
Western Illinois,South Alabama,Western Illinois,11.5,132.5.,127,False
Houston,Alabama,Alabama,4.0,150.,165,True
Iowa State,Dayton,Dayton,9.5,142.5.,173,True
Texas-El Paso,Long Beach St.,Texas-El Paso,-7.5,131.,114,False
Loyola Marymount,Belmont,Loyola Marymount,2.5,153.5.,140,False
Northern Arizona,Eastern Michigan,Eastern Michigan,3.5,136.,140,True
CSU Fullerton,Pepperdine,CSU Fullerton,6.0,136.5.,135,False
Duke,Kansas,Kansas,4.5,148.5.,147,True
Abilene Christian,Montana St.,Montana St.,-6.0,141.5.,144,True
Mississippi Valley State,Utah,Utah,-43.0,141.5.,142,True
Southern Methodist,California Baptist,California Baptist,10.5,153.,156,True
Southern Utah,UCLA,UCLA,-23.0,142.,131,True
Grambling State,Cal Poly SLO,Grambling State,6.0,150.5.,161,False
Eastern Washington,UC Santa Barbara,UC Santa Barbara,-11.0,151.5.,118,True
Rutgers,Notre Dame,Notre Dame,1.5,145.5.,169,True
Auburn,North Carolina,Auburn,-3.5,167.,157,False
San Jose St.,UNC Greensboro,San Jose St.,4.0,136.,133,False
Furman,Seattle,Furman,-1.0,141.5.,117,False
