Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.3,6:30 PM,Bryce Jordan Center,17,Purdue,30,Penn St,Purdue,Purdue,Penn State,Penn St.,+2,−110,True,-2,−110,False,Purdue,420-419-21,50.1%,6.8,0.4,126-149-8,45.8%,-1.3,-0.5,Penn St,397-366-21,52.0%,-0.2,0.4,183-169-11,52.0%,5.3,0.5,Purdue,+2,−110,116-134-6,46.4%,-6.1,-0.1,Penn St,-2,−110,148-139-11,51.6%,7.8,0.1
2,91.6,8:00 PM,Ed and Rae Schollmaier Arena,67,Xavier,72,Tx Christian,Xavier,Xavier,TCU,Texas Christian,+1.5,−112,True,-1.5,−108,False,Xavier,441-402-25,52.3%,7.1,0.6,148-148-9,50.0%,1.1,0.1,Tx Christian,351-405-12,46.4%,1.5,-0.4,159-207-5,43.4%,7.5,-0.3,Xavier,+1.5,−112,123-103-9,54.4%,-2.9,1.6,Tx Christian,-1.5,−108,161-181-4,47.1%,8.9,-0.1
3,84.1,10:00 PM,The Thunderdome,103,Ucsd,113,Ucsb,,San Diego,UC Santa Barbara,UC Santa Barbara,N/A,N/A,False,-3,−108,False,Ucsd,55-51-2,51.9%,-2.5,0.3,26-27-0,49.1%,-10.1,0.4,Ucsb,369-359-19,50.7%,3.1,-0.2,148-159-10,48.2%,8.2,-1.0,Ucsb,-3,−108,146-137-6,51.6%,-6.2,0.4,Ucsd,N/A,N/A,23-18-0,56.1%,4.9,-0.8
4,81.6,10:00 PM,War Memorial at the Sobrato Center,154,Saint Louis,61,San Francisco,Saint Louis,Saint Louis,San Francisco,San Francisco,+8.5,−105,True,-8.5,−115,False,Saint Louis,411-379-10,52.0%,1.9,0.0,146-151-2,49.2%,-5.6,-0.7,San Francisco,372-383-16,49.3%,1.8,0.2,157-194-4,44.7%,6.9,-0.5,Saint Louis,+8.5,−105,202-181-2,52.7%,-6.6,0.5,San Francisco,-8.5,−115,189-202-7,48.3%,8.1,0.2
5,70.9,10:00 PM,Bren Events Center,225,Cs Bakersfld,63,Uc Irvine,CSU Bakersfield,CSU Bakersfield,UC Irvine,UC Irvine,+15.5,−112,True,-15.5,−108,False,Cs Bakersfld,113-121-4,48.3%,-1.1,0.6,61-62-2,49.6%,-7.4,1.1,Uc Irvine,385-371-23,50.9%,3.0,0.4,150-150-8,50.0%,8.9,-0.2,Cs Bakersfld,+15.5,−112,71-78-3,47.7%,-7.4,0.7,Uc Irvine,-15.5,−108,218-215-13,50.4%,7.0,-0.2
6,68.8,8:00 PM,Athletics-Recreation Center,82,Drake,228,Valparaiso,Drake,Drake,Valparaiso,Valparaiso,-10.5,−112,False,+10.5,−108,True,Drake,381-369-19,50.8%,0.7,0.2,144-166-9,46.5%,-7.0,-1.0,Valparaiso,269-263-13,50.6%,3.2,0.1,114-114-6,50.0%,9.5,0.1,Valparaiso,+10.5,−108,133-133-7,50.0%,-7.6,0.1,Drake,-10.5,−112,160-146-3,52.3%,7.5,0.4
7,67.9,7:00 PM,OU Credit Union O'rena,151,Wright St,193,Oakland,Wright State,Wright St.,Oakland,Oakland,+1,−108,True,-1,−112,False,Wright St,382-364-20,51.2%,2.5,0.4,166-175-13,48.7%,-3.8,-0.2,Oakland,248-221-6,52.9%,1.0,-0.1,85-98-2,46.5%,7.3,-1.4,Wright St,+1,−108,174-154-8,53.1%,-6.3,0.7,Oakland,-1,−112,131-133-3,49.6%,7.1,-0.5
8,67.3,10:00 PM,Premier America Credit Union Arena,190,Uc Riverside,152,Cal St Nrdge,UC Riverside,UC Riverside,CSUN,CSU Northridge,+5.5,−112,True,-5.5,−108,False,Uc Riverside,303-304-16,49.9%,-3.1,-0.3,165-148-10,52.7%,-8.8,-0.1,Cal St Nrdge,329-330-9,49.9%,-0.9,-0.4,126-145-3,46.5%,4.6,-1.6,Uc Riverside,+5.5,−112,223-213-13,51.2%,-8.4,0.2,Cal St Nrdge,-5.5,−108,108-113-6,48.9%,4.7,-1.2
9,64.4,7:30 PM,UTRGV Fieldhouse,189,Ste F Austin,171,Tx-Pan Am,SFA,Stephen F. Austin,UTRGV,Texas Rio Grande Valley,N/A,N/A,False,N/A,N/A,False,Ste F Austin,98-119-6,45.2%,6.4,-0.4,38-49-4,43.7%,-0.7,-1.1,Tx-Pan Am,116-117-6,49.8%,-4.0,-0.3,41-39-3,51.3%,5.3,0.2,Tx-Pan Am,N/A,N/A,91-94-5,49.2%,-11.3,-0.4,Ste F Austin,N/A,N/A,69-73-4,48.6%,8.8,0.3
10,58.0,7:00 PM,Smith-Hammond Middleton Memorial Center,112,Samford,280,S Car State,Samford,Samford,South Carolina State,South Carolina State,-8,−108,False,+8,−112,True,Samford,278-290-10,48.9%,0.6,-0.5,148-142-7,51.0%,-5.7,-0.7,S Car State,124-110-5,53.0%,-3.7,0.5,31-27-3,53.5%,4.8,2.4,S Car State,+8,−112,100-80-5,55.6%,-12.7,0.9,Samford,-8,−108,114-124-0,47.9%,5.6,-0.7
