Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Delaware State,Delaware,Delaware,-12.5,150.5.,173,True
Cincinnati,Villanova,Villanova,3.5,139.5.,128,True
Eastern Illinois,Butler,Eastern Illinois,21.0,141.,131,False
East Tennessee St.,James Madison,James Madison,-4.0,142.,132,True
High Point,UNC Greensboro,UNC Greensboro,1.0,139.,140,True
California,Missouri,California,10.0,151.,191,False
Arkansas,Miami-Florida,Miami-Florida,4.0,156.5.,149,True
Presbyterian,Florida A&M,Florida A&M,4.5,138.,129,True
Northern Kentucky,Akron,Akron,-7.0,145.,159,True
Brown,Vermont,Brown,5.0,134.5.,113,False
South Carolina,Boston College,South Carolina,-4.5,137.,124,False
Northwestern,Iowa,Northwestern,5.0,148.,159,False
Army,Le Moyne,Army,1.0,142.,203,False
UNC Asheville,George Mason,George Mason,-11.5,140.,126,True
Winthrop,Queens University Of Charlotte,Winthrop,-5.0,158.,164,False
Princeton,Saint Joseph'S,Princeton,6.0,152.,146,False
Notre Dame,Georgia,Georgia,-9.0,140.,117,True
Stetson,South Florida,Stetson,14.0,153.5.,146,False
Dartmouth,New Hampshire,Dartmouth,-3.0,142.5.,134,False
Lipscomb,Chattanooga,Lipscomb,1.0,151.5.,142,False
La Salle,Northeastern,Northeastern,-1.0,147.5.,150,True
North Carolina A&T,Hampton,Hampton,-4.5,148.5.,153,True
Santa Clara,McNeese St.,Santa Clara,5.0,146.5.,141,False
UNC Wilmington,East Carolina,UNC Wilmington,6.5,139.,120,False
Western Michigan,Dayton,Western Michigan,24.0,144.5.,146,False
Saint Peter'S,Duquesne,Saint Peter's,5.0,127.,121,False
Tenn-Martin,Charleston Southern,Charleston Southern,-4.5,143.,151,True
Syracuse,Tennessee,Tennessee,-22.5,144.,166,True
Sam Houston St.,Indiana,Indiana,-13.5,154.5.,168,True
Bradley,Southern Illinois,Bradley,-4.0,147.,143,False
Evansville,Murray St.,Evansville,13.5,145.5.,124,False
Alabama St.,Southern Methodist,Southern Methodist,-21.5,156.,173,True
Eastern Michigan,Loyola-Chicago,Loyola-Chicago,-18.0,143.,130,True
Brigham Young,Providence,Providence,4.5,143.,147,True
San Diego,Arizona State,Arizona State,-20.5,150.,143,True
Utah Tech,Boise St.,Utah Tech,24.0,148.5.,151,False
Wake Forest,Texas A&M,Texas A&M,-9.0,142.5.,101,True
Michigan,Wisconsin,Michigan,3.0,150.5.,131,False
Georgia Tech,Oklahoma,Oklahoma,-12.0,149.,137,True
Hawaii,Grand Canyon,Hawaii,14.0,143.5.,150,False
Florida State,Louisiana State,Louisiana State,-4.5,150.5.,160,True
Mississippi,Louisville,Mississippi,3.5,153.,149,False
Kentucky,Clemson,Clemson,1.5,158.5.,136,True
Texas-San Antonio,Saint Mary'S,Texas-San Antonio,23.0,141.5.,156,False
Utah Valley,Stanford,Stanford,-11.5,141.,140,True
Washington,UCLA,Washington,12.0,137.,127,False
