Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Boston,512-431-20,54.3%,4.4,1.0,296-242-10,55.0%,3.8,0.5,23-14-1,62.2%,6.9,3.6,196-156-4,55.7%,3.4,1.0,309-272-15,53.2%,4.9,0.9,253-202-8,55.6%,2.3,1.2,152-109-5,58.2%,-1.9,2.9,356-320-15,52.7%,6.8,0.2,244-218-11,52.8%,6.3,0.6,86-63-3,57.7%,3.5,2.1,314-269-10,53.9%,4.5,0.7,96-86-4,52.8%,7.6,1.9,120-103-6,53.8%,3.2,1.4,89-85-6,51.2%,4.1,0.4
Okla City,448-411-14,52.2%,1.1,0.3,236-214-5,52.4%,0.9,0.2,17-12-1,58.6%,1.9,1.8,193-191-9,50.3%,-0.8,0.1,247-217-5,53.2%,2.7,0.4,219-204-6,51.8%,-1.7,-0.2,209-178-10,54.0%,-5.7,0.4,237-232-4,50.5%,6.9,0.3,221-199-8,52.6%,4.2,1.0,75-70-3,51.7%,-1.7,-0.2,277-259-6,51.7%,1.5,0.2,91-95-5,48.9%,3.0,0.4,121-102-4,54.3%,0.0,0.5,79-70-4,53.0%,2.5,1.3
Philadelphia,453-417-17,52.1%,-0.1,0.4,254-206-8,55.2%,0.5,0.7,15-15-0,50.0%,1.2,1.5,229-197-9,53.8%,-2.4,0.7,219-214-8,50.6%,2.3,0.1,210-217-11,49.2%,-2.9,0.0,216-215-8,50.1%,-6.9,0.3,234-198-9,54.2%,6.7,0.5,239-191-6,55.6%,2.8,0.8,71-74-4,49.0%,-2.9,0.0,286-241-9,54.3%,0.7,0.7,94-107-2,46.8%,-0.5,-0.8,105-104-7,50.2%,-1.0,0.9,81-87-4,48.2%,-0.4,-0.4
Dallas,447-420-20,51.6%,0.7,0.5,252-226-11,52.7%,0.8,0.9,12-18-0,40.0%,-3.1,-2.4,231-186-12,55.4%,1.3,1.9,211-228-8,48.1%,0.2,-0.7,234-196-8,54.4%,-1.5,0.9,223-205-9,52.1%,-4.1,1.3,221-211-11,51.2%,5.5,-0.3,207-215-11,49.1%,3.1,0.2,76-71-4,51.7%,-1.3,0.9,285-251-12,53.2%,1.4,0.5,90-95-4,48.7%,2.5,-0.2,105-99-5,51.5%,-1.1,0.1,74-80-4,48.1%,0.9,0.4
Miami,457-434-23,51.3%,0.8,0.2,251-245-10,50.6%,0.8,0.1,22-10-0,68.8%,5.7,3.7,226-175-10,56.4%,1.8,1.6,226-253-13,47.2%,-0.2,-1.0,235-200-8,54.0%,-1.3,0.8,212-186-6,53.3%,-3.8,1.6,243-247-17,49.6%,4.4,-0.9,201-224-15,47.3%,2.8,-0.7,74-62-7,54.4%,-1.3,0.3,272-291-14,48.3%,0.5,-0.4,109-102-6,51.7%,2.6,0.4,97-87-7,52.7%,-1.4,0.2,89-71-2,55.6%,2.6,1.5
Utah,436-414-21,51.3%,2.1,0.5,239-213-9,52.9%,2.4,0.9,13-14-1,48.2%,1.9,-1.0,189-197-9,49.0%,0.1,-0.4,242-211-12,53.4%,3.7,1.1,215-205-8,51.2%,-1.0,0.0,181-171-7,51.4%,-5.0,0.7,251-241-14,51.0%,7.0,0.2,215-199-13,51.9%,5.3,0.9,74-71-7,51.0%,0.8,0.8,276-246-8,52.9%,2.4,0.7,95-104-5,47.7%,3.4,-0.6,102-97-7,51.3%,0.1,0.5,73-83-5,46.8%,2.1,-0.5
Indiana,434-415-19,51.1%,0.3,0.4,244-233-11,51.2%,0.4,0.2,19-12-0,61.3%,3.4,0.7,226-191-10,54.2%,0.9,1.5,201-220-9,47.7%,-0.5,-0.8,212-210-6,50.2%,-2.4,0.0,220-207-9,51.5%,-4.3,0.9,210-204-10,50.7%,5.0,-0.3,215-197-13,52.2%,3.2,0.8,70-78-2,47.3%,-2.5,-0.5,269-266-12,50.3%,0.3,0.0,100-88-5,53.2%,2.6,1.3,90-94-3,48.9%,-2.3,-0.2,76-59-5,56.3%,2.4,2.5
Memphis,437-419-13,51.1%,-0.5,0.3,230-233-8,49.7%,-0.3,0.5,9-17-0,34.6%,-4.1,-4.5,214-206-6,51.0%,-1.7,0.2,220-205-7,51.8%,0.8,0.7,205-216-6,48.7%,-3.2,-0.1,229-226-5,50.3%,-5.5,0.7,203-192-8,51.4%,5.2,-0.2,229-197-7,53.8%,2.2,0.8,80-74-0,52.0%,-2.6,-0.3,271-248-8,52.2%,0.1,0.6,102-100-4,50.5%,1.4,0.1,105-86-1,55.0%,-2.8,0.3,77-80-5,49.0%,0.3,0.9
LA Clippers,455-438-7,51.0%,2.9,0.2,231-215-4,51.8%,2.6,0.5,23-9-0,71.9%,3.4,2.1,182-176-2,50.8%,2.2,0.3,264-260-5,50.4%,3.3,0.1,229-204-5,52.9%,0.9,0.9,151-154-1,49.5%,-4.6,0.6,303-280-6,52.0%,6.9,0.1,214-225-2,48.8%,4.8,-0.4,76-82-1,48.1%,2.4,1.2,277-262-4,51.4%,3.3,0.4,110-106-2,50.9%,4.3,-0.6,114-117-1,49.4%,2.1,0.5,79-85-2,48.2%,2.0,-1.6
Orlando,421-406-13,50.9%,-3.4,-0.1,252-216-6,53.9%,-2.7,0.4,16-14-0,53.3%,-0.1,2.1,244-246-10,49.8%,-4.1,0.1,171-155-3,52.5%,-2.5,-0.3,219-194-5,53.0%,-5.6,0.1,295-303-10,49.3%,-6.6,-0.1,123-102-3,54.7%,5.0,-0.1,193-204-8,48.6%,-1.3,-0.3,77-72-4,51.7%,-5.8,-0.3,260-249-9,51.1%,-2.8,0.3,76-100-2,43.2%,-3.9,-1.7,93-90-5,50.8%,-4.7,0.3,68-71-0,48.9%,-4.0,-1.4
San Antonio,432-419-15,50.8%,1.0,0.2,238-224-7,51.5%,0.6,0.0,15-14-0,51.7%,0.2,1.9,206-188-11,52.3%,-0.8,0.7,221-225-4,49.6%,2.5,-0.3,209-209-11,50.0%,-1.7,0.1,198-200-8,49.8%,-6.5,-0.1,233-217-7,51.8%,7.6,0.5,218-202-3,51.9%,3.8,0.4,75-73-3,50.7%,-0.2,0.4,270-252-9,51.7%,1.0,0.1,99-96-3,50.8%,3.3,0.9,95-99-5,49.0%,-0.5,0.1,72-80-3,47.4%,2.1,0.2
