Team,ATS Record,Cover %,MOV,ATS +/-
Kansas,210-196-8,51.7%,18.0,+1.2
VA Tech,187-175-4,51.7%,8.6,+0.6
Florida St,188-176-11,51.7%,8.8,+0.3
Charlotte,172-161-7,51.7%,6.2,+0.4
Dayton,205-192-6,51.6%,10.6,+0.6
Delaware St,32-30-1,51.6%,4.1,-0.5
Merrimack,32-30-0,51.6%,6.1,-0.8
Illinois,193-181-14,51.6%,12.8,+1.1
GA Tech,193-181-4,51.6%,7.1,-0.4
Texas A&M,177-167-4,51.5%,9.1,-0.3
Mississippi,189-179-9,51.4%,9.6,-0.2
Toledo,174-165-5,51.3%,8.5,+0.9
Austin Peay,137-130-8,51.3%,8.1,+0.5
Lipscomb,61-58-1,51.3%,8.0,-0.2
TX-Pan Am,41-39-3,51.3%,5.3,+0.2
Hampton,42-40-1,51.2%,5.2,+0.2
Wash State,193-184-2,51.2%,5.0,+0.7
Geo Wshgtn,173-165-5,51.2%,6.4,+0.2
IPFW,87-83-4,51.2%,9.7,+0.1
Kansas City,68-65-1,51.1%,5.2,+0.2
AR Lit Rock,149-143-12,51.0%,6.4,+0.2
Geo Mason,178-171-10,51.0%,7.2,+0.4
Towson,129-124-4,51.0%,2.4,-0.1
UL Monroe,103-99-3,51.0%,5.3,+0.4
LIU,27-26-1,50.9%,5.1,+0.4
St Bonavent,164-158-6,50.9%,5.3,-0.2
Grd Canyon,57-55-2,50.9%,12.3,+1.1
Alabama,184-178-8,50.8%,11.3,+1.2
TN Tech,131-127-8,50.8%,8.4,-0.2
Coastal Car,67-65-4,50.8%,9.1,+0.3
Mercer,67-65-3,50.8%,7.4,+0.2
NW State,35-34-1,50.7%,6.0,+0.9
Oklahoma St,179-174-7,50.7%,11.9,+0.9
Murray St,146-142-7,50.7%,14.7,+0.9
VMI,73-71-0,50.7%,6.7,-0.7
Missouri,187-182-15,50.7%,10.7,+0.6
St Marys,193-188-5,50.7%,12.4,+0.3
W Michigan,163-159-8,50.6%,6.3,+0.2
Missouri St,182-178-9,50.6%,8.5,+0.6
Wm & Mary,143-140-8,50.5%,4.8,-0.3
Fla Atlantic,100-98-2,50.5%,4.6,+1.1
Fla Gulf Cst,55-54-1,50.5%,7.2,-0.1
S Alabama,163-160-6,50.5%,7.2,-0.2
Wichita St,175-172-11,50.4%,10.8,+0.3
App State,133-131-3,50.4%,9.3,-0.1
Drexel,135-133-11,50.4%,6.2,+0.1
Baylor,165-163-9,50.3%,12.0,+0.8
Wyoming,175-173-9,50.3%,7.3,+0.4
Marquette,195-193-5,50.3%,11.3,+0.2
Buffalo,159-158-4,50.2%,6.3,+0.5
Morehead St,128-128-8,50.0%,9.0,+0.1
Seattle,78-78-1,50.0%,7.2,+0.4
W Kentucky,171-171-7,50.0%,9.3,-0.4
Oregon St,187-187-5,50.0%,3.9,-0.3
Georgia St,113-113-6,50.0%,8.0,0.0
Montana,139-139-8,50.0%,10.0,+0.1
High Point,52-52-0,50.0%,8.5,-0.4
NC A&T,35-35-0,50.0%,4.8,+0.7
Kent St,166-166-14,50.0%,10.9,+0.3
UC Irvine,150-150-8,50.0%,8.9,-0.2
N Kentucky,64-64-1,50.0%,9.4,+0.8
Valparaiso,114-114-6,50.0%,9.5,+0.1
Stonehill,12-12-0,50.0%,1.5,-0.3
Yale,105-105-3,50.0%,8.6,-0.4
California,213-214-11,49.9%,6.3,-0.2
GA Southern,119-120-8,49.8%,8.8,+0.4
Temple,186-188-8,49.7%,6.6,-0.3
E Tenn St,90-91-3,49.7%,10.8,-0.5
Boise St,172-174-6,49.7%,10.6,+0.4
Loyola-Chi,163-165-15,49.7%,7.0,0.0
Pacific,166-168-6,49.7%,6.1,-0.4
Siena,152-154-14,49.7%,4.1,-0.2
Louisiana,140-142-14,49.7%,9.4,+0.4
VCU,191-194-11,49.6%,10.4,+0.3
Marshall,167-170-10,49.6%,8.3,+0.4
E Michigan,154-157-6,49.5%,4.9,-0.4
Rutgers,187-191-6,49.5%,5.3,-0.1
Louisville,208-213-15,49.4%,12.1,0.0
Wofford,122-125-1,49.4%,11.1,0.0
SIU Edward,71-73-1,49.3%,1.3,-0.2
Miami (OH),167-172-5,49.3%,5.6,-0.4
WI-Milwkee,157-162-7,49.2%,5.4,-0.4
Prairie View,30-31-5,49.2%,5.2,+0.8
S Illinois,174-180-9,49.2%,7.1,+0.1
Alcorn St,27-28-0,49.1%,6.0,+0.6
Navy,52-54-1,49.1%,4.0,-1.1
Arizona,206-214-6,49.1%,15.2,+0.9
Vanderbilt,200-208-7,49.0%,8.0,-0.1
Kentucky,198-206-10,49.0%,15.9,+0.1
Miami,170-177-9,49.0%,8.8,-0.4
Hawaii,200-209-4,48.9%,6.6,-0.1
Florida,177-185-2,48.9%,16.0,+0.7
Monmouth,66-69-3,48.9%,1.7,-0.1
Arizona St,194-203-6,48.9%,7.6,-0.2
Cornell,107-112-3,48.9%,4.7,-0.6
SC Upstate,43-45-2,48.9%,5.2,-0.2
UNLV,189-198-8,48.8%,9.3,-0.5
Portland St,123-129-5,48.8%,9.1,-0.4
N Iowa,164-172-10,48.8%,7.8,-0.4
Manhattan,140-147-6,48.8%,3.4,-0.9
Detroit,157-165-8,48.8%,7.0,+0.1
St Fran (PA),39-41-2,48.8%,2.5,-1.0
Georgia,188-199-4,48.6%,5.8,+0.1
Central Mich,149-158-10,48.5%,4.9,-0.5
Air Force,146-155-1,48.5%,4.7,-0.5
LSU,176-187-9,48.5%,9.8,-0.2
Maine,32-34-2,48.5%,3.4,+0.1
Morgan St,32-34-1,48.5%,5.5,-0.3
North Dakota,63-67-4,48.5%,6.5,-0.6
Texas,185-197-5,48.4%,13.5,+0.5
Youngs St,122-130-13,48.4%,5.4,-0.3
Jacksonville,45-48-3,48.4%,6.0,+1.0
Chattanooga,134-143-8,48.4%,9.5,-0.8
Troy,101-108-4,48.3%,6.7,-0.4
North Texas,144-154-3,48.3%,7.3,-0.2
Pittsburgh,184-197-10,48.3%,10.3,-0.6
UCSB,148-159-10,48.2%,8.2,-1.0
Bowling Grn,160-172-7,48.2%,5.7,-0.8
Stetson,40-43-2,48.2%,3.5,+0.3
Cleveland St,159-171-9,48.2%,5.5,-0.4
