Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,92.4,10:00 PM,Ball Arena,7,Dallas,10,Denver,DAL Mavericks,Dallas,DEN Nuggets,Denver,+3,−115,True,-3,−105,False,Dallas,7-7-1,50.0%,6.3,1.6,2-3-1,40.0%,-1.8,-1.0,Denver,5-7-1,41.7%,1.5,-0.8,3-3-1,50.0%,3.6,-0.6,Dallas,+3,−115,2-1-1,66.7%,0.8,4.8,Denver,-3,−105,2-6-1,25.0%,2.6,-3.3
2,73.8,10:30 PM,Intuit Dome,12,Sacramento,17,La Clippers,SAC Kings,Sacramento,LA Clippers,L.A. Clippers,-3,−110,False,+3,−110,True,Sacramento,6-8-1,42.9%,3.1,-1.5,4-3-0,57.1%,1.1,-1.9,La Clippers,10-6-0,62.5%,0.8,2.8,6-4-0,60.0%,2.5,1.9,La Clippers,+3,−110,7-4-0,63.6%,-1.9,3.8,Sacramento,-3,−110,4-5-1,44.4%,4.7,-2.8
3,73.1,8:00 PM,Fiserv Forum,18,Indiana,13,Milwaukee,IND Pacers,Indiana,MIL Bucks,Milwaukee,+5.5,−115,True,-5.5,−105,False,Indiana,7-8-0,46.7%,-4.1,-4.8,3-6-0,33.3%,-8.3,-8.2,Milwaukee,5-9-1,35.7%,-0.9,-3.9,3-4-1,42.9%,5.4,-0.3,Indiana,+5.5,−115,4-3-0,57.1%,-4.1,0.3,Milwaukee,-5.5,−105,4-6-1,40.0%,2.5,-4.2
4,57.3,7:00 PM,Wells Fargo Center,26,Brooklyn,20,Philadelphia,BKN Nets,Brooklyn,PHI 76ers,Philadelphia,+5,−110,True,-5,−110,False,Brooklyn,10-4-1,71.4%,-3.0,3.4,6-1-1,85.7%,-3.1,6.0,Philadelphia,3-11-0,21.4%,-8.8,-6.8,1-5-0,16.7%,-10.0,-8.6,Brooklyn,+5,−110,8-2-1,80.0%,-3.8,5.5,Philadelphia,-5,−110,0-5-0,0.0%,-7.8,-11.8
5,53.6,7:30 PM,Smoothie King Center,4,Golden State,25,New Orleans,GS Warriors,Golden State,NO Pelicans,New Orleans,-10.5,−112,False,+10.5,−108,True,Golden State,10-4-0,71.4%,10.5,8.0,6-2-0,75.0%,11.4,10.3,New Orleans,4-12-0,25.0%,-11.9,-8.3,4-4-0,50.0%,-2.9,-0.6,New Orleans,+10.5,−108,3-8-0,27.3%,-13.3,-6.3,Golden State,-10.5,−112,6-3-0,66.7%,13.9,7.3
6,53.0,8:00 PM,United Center,24,Atlanta,27,Chicago,ATL Hawks,Atlanta,CHI Bulls,Chicago,-1,−112,False,+1,−108,True,Atlanta,6-10-0,37.5%,-4.6,-3.3,4-4-0,50.0%,-6.0,-2.4,Chicago,7-9-0,43.8%,-7.5,-1.5,2-4-0,33.3%,-13.8,-8.7,Chicago,+1,−108,7-8-0,46.7%,-7.4,-0.5,Atlanta,-1,−112,2-6-0,25.0%,0.6,-4.6
7,51.1,8:00 PM,Toyota Center,28,Portland,6,Houston,POR Trail Blazers,Portland,HOU Rockets,Houston,+12.5,−112,True,-12.5,−108,False,Portland,9-5-1,64.3%,-7.1,0.9,4-2-1,66.7%,-6.9,2.2,Houston,11-5-0,68.8%,8.4,5.7,7-2-0,77.8%,12.1,6.7,Portland,+12.5,−112,9-5-1,64.3%,-7.1,0.9,Houston,-12.5,−108,8-4-0,66.7%,11.4,6.1
8,43.2,7:00 PM,Capital One Arena,2,Boston,30,Washington,BOS Celtics,Boston,WAS Wizards,Washington,-16.5,−108,False,+16.5,−112,True,Boston,7-8-0,46.7%,9.7,-0.5,5-3-0,62.5%,13.6,3.7,Washington,3-10-0,23.1%,-14.8,-5.1,1-5-0,16.7%,-13.2,-4.2,Washington,+16.5,−112,3-10-0,23.1%,-14.8,-5.1,Boston,-16.5,−108,7-8-0,46.7%,9.7,-0.5
