,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,95.9,1:00 PM,First Horizon Coliseum,59,Wake Forest,16,Michigan,Wake Forest,Michigan,1-2-0,33.3%,11.0,-8.7,,,,,0-2-0,0.0%,15.5,-15.0,1-1-0,50.0%,23.0,+11.3,1-0-0,100.0%,48.0,+26.5,,,,
1,2,93.9,5:00 PM,McCarthey Athletic Center,79,Arizona St,3,Gonzaga,Arizona State,Gonzaga,2-1-0,66.7%,2.0,+5.0,1-0-0,100.0%,-8.0,13.5,0-1-0,0.0%,7.0,-11.0,1-1-0,50.0%,23.0,+9.0,1-1-0,50.0%,23.0,+9.0,,,,
2,3,85.8,2:00 PM,McLeod Center,83,Uc Irvine,114,N Iowa,,,2-0-0,100.0%,21.7,+18.8,2-0-0,100.0%,17.5,18.8,1-0-0,100.0%,15.0,14.0,1-1-0,50.0%,13.7,-5.5,1-1-0,50.0%,13.7,-5.5,,,,
3,4,79.3,12:00 PM,Kohl Center,176,App State,55,Wisconsin,Appalachian State,Wisconsin,0-2-0,0.0%,3.0,-18.3,0-1-0,0.0%,-31.0,-15.5,0-1-0,0.0%,-14.0,-21.0,2-1-0,66.7%,22.3,+3.7,2-1-0,66.7%,22.3,+3.7,,,,
4,5,76.8,2:00 PM,Knapp Center,145,Ste F Austin,123,Drake,SFA,Drake,0-1-0,0.0%,9.5,-11.0,0-1-0,0.0%,-15.0,-11.0,,,,,1-0-0,100.0%,33.5,+11.0,1-0-0,100.0%,33.5,+11.0,,,,
5,6,76.0,3:00 PM,Gallagher-Iba Arena,187,St. Thomas,85,Oklahoma St,Saint Thomas MN,Oklahoma State,2-0-0,100.0%,10.0,+7.0,2-0-0,100.0%,2.5,7.0,1-0-0,100.0%,14.0,10.5,0-2-0,0.0%,11.0,-4.0,0-2-0,0.0%,11.0,-4.0,,,,
6,7,75.1,1:00 PM,McCamish Pavilion,194,N Florida,84,Ga Tech,North Florida,,3-0-0,100.0%,13.0,+21.5,2-0-0,100.0%,7.5,24.0,1-0-0,100.0%,24.0,16.5,0-2-0,0.0%,5.5,-13.3,0-2-0,0.0%,5.5,-13.3,,,,
7,8,73.1,2:00 PM,Matthews Arena,109,Princeton,189,Northeastrn,Princeton,,1-2-0,33.3%,3.7,-4.8,0-1-0,0.0%,3.0,-4.5,1-2-0,33.3%,3.7,-4.8,2-0-0,100.0%,2.5,+7.5,1-0-0,100.0%,-3.0,+4.5,2-0-0,100.0%,2.5,7.5
8,9,69.6,3:30 PM,Stegeman Coliseum,220,Tx Southern,90,Georgia,,Georgia,1-1-0,50.0%,-1.0,+3.3,1-1-0,50.0%,-18.5,3.3,,,,,1-1-0,50.0%,16.5,-5.0,1-1-0,50.0%,16.5,-5.0,,,,
9,10,62.6,5:00 PM,Pete Maravich Assembly Center,286,Alabama St,37,Lsu,Alabama State,,1-0-1,100.0%,-13.5,+3.0,1-0-1,100.0%,-13.5,3.0,,,,,1-1-0,50.0%,24.0,+3.3,1-1-0,50.0%,24.0,+3.3,,,,
10,11,58.1,3:00 PM,Bartow Arena,293,Se Louisiana,80,Uab,,,1-0-0,100.0%,14.0,+11.5,1-0-0,100.0%,-10.0,11.5,,,,,1-2-0,33.3%,6.3,-7.0,1-2-0,33.3%,6.3,-7.0,,,,
11,12,54.2,2:00 PM,Watsco Center,331,Binghamton,41,Miami,Binghamton,Miami FL,2-1-0,66.7%,-15.7,-5.3,1-1-0,50.0%,-33.0,-8.8,1-0-0,100.0%,19.0,1.5,1-1-0,50.0%,32.5,+4.8,1-1-0,50.0%,32.5,+4.8,,,,
12,13,51.4,12:00 PM,Simon Skjodt Assembly Hall,346,E Illinois,35,Indiana,Eastern Illinois,Indiana,0-2-0,0.0%,-14.7,-14.3,0-2-0,0.0%,-40.0,-14.3,,,,,1-1-0,50.0%,27.0,0.0,1-1-0,50.0%,27.0,0.0,,,,
13,14,50.3,2:00 PM,Pizzitola Sports Center,251,Maine,208,Brown,Maine,Brown,1-1-0,50.0%,6.3,+2.0,1-1-0,50.0%,-16.0,2.0,,,,,0-2-0,0.0%,-1.5,-4.5,0-1-0,0.0%,-2.0,-5.5,,,,
14,15,50.1,5:00 PM,CHI Health Center Omaha,352,F Dickinson,33,Creighton,Fairleigh Dickinson,Creighton,1-1-0,50.0%,-9.0,-1.8,1-1-0,50.0%,-33.5,-1.8,,,,,0-2-0,0.0%,19.5,-13.0,0-2-0,0.0%,19.5,-13.0,,,,
15,16,49.8,10:00 PM,SimpliFi Arena at Stan Sheriff Center,275,San Jose St,177,Hawaii,San Jose State,Hawaii,0-2-0,0.0%,-8.5,-14.5,,,,,0-2-0,0.0%,-8.5,-14.5,0-0-0,0.0%,35.0,--,0-0-0,0.0%,35.0,--,,,,
16,17,49.5,4:00 PM,Arena-Auditorium,273,Tn State,186,Wyoming,,Wyoming,1-1-0,50.0%,2.3,+5.8,1-1-0,50.0%,-11.5,5.8,,,,,1-0-0,100.0%,19.0,+4.0,1-0-0,100.0%,19.0,+4.0,,,,
17,18,47.8,2:00 PM,Bender Arena,222,Harvard,255,American,Harvard,American,1-2-0,33.3%,-1.3,-2.2,0-2-0,0.0%,-8.5,-8.3,1-1-0,50.0%,0.5,-1.8,1-1-0,50.0%,-0.5,+2.5,1-0-0,100.0%,12.0,+13.5,1-1-0,50.0%,-0.5,2.5
18,19,46.9,1:00 PM,Memorial Gymnasium,345,Se Missouri,92,Vanderbilt,,Vanderbilt,1-1-0,50.0%,-18.5,+4.8,1-1-0,50.0%,-18.5,4.8,,,,,1-1-0,50.0%,24.0,-4.8,1-1-0,50.0%,24.0,-4.8,,,,
19,20,21.2,2:00 PM,Gore Arena/Pope Convocation Center,354,St Fran (Pa),267,Campbell,,,2-1-0,66.7%,-18.3,+1.7,2-1-0,66.7%,-18.3,1.7,,,,,1-1-0,50.0%,12.3,-1.0,0-1-0,0.0%,23.0,-9.0,1-0-0,100.0%,-9.0,7.0
20,21,16.7,1:00 PM,Calihan Hall,317,Niagara,332,Detroit,Niagara,Detroit Mercy,0-2-0,0.0%,-2.3,-5.3,0-2-0,0.0%,-21.0,-5.3,,,,,2-0-0,100.0%,7.7,+3.3,1-0-0,100.0%,22.5,+4.5,1-0-0,100.0%,-22.0,2.0
21,22,--,3:00 PM,Sanford Coyote Sports Center,0,Mount Marty,226,South Dakota,,,,,,,,,,,,,,,1-1-0,50.0%,17.3,+4.5,1-1-0,50.0%,17.3,+4.5,,,,
22,22,--,2:00 PM,Joseph J. Gentile Arena,0,Eureka,97,Loyola-Chi,,Loyola Chicago,,,,,,,,,,,,,0-2-0,0.0%,27.0,-8.3,0-2-0,0.0%,27.0,-8.3,,,,
23,22,--,4:00 PM,Chaifetz Arena,0,Avila,133,Saint Louis,,Saint Louis,,,,,,,,,,,,,0-1-0,0.0%,22.0,-5.0,0-0-0,0.0%,51.0,--,0-1-0,0.0%,-7.0,-5.0
24,22,--,2:00 PM,UPMC Events Center,0,Chatham,309,Rob Morris,,Robert Morris,,,,,,,,,,,,,1-1-0,50.0%,-1.3,-3.3,0-0-0,0.0%,28.0,--,1-1-0,50.0%,-16.0,-3.3
25,22,--,7:30 PM,UTRGV Fieldhouse,0,Champion Baptist,270,Tx-Pan Am,,,,,,,,,,,,,,,2-0-0,100.0%,5.7,+9.5,0-0-0,0.0%,50.0,--,2-0-0,100.0%,-16.5,9.5
26,22,--,7:30 PM,SimpliFi Arena at Stan Sheriff Center,0,Life Pacific,291,Pacific,,Pacific,,,,,,,,,,,,,1-0-0,100.0%,31.0,+14.5,0-0-0,0.0%,27.0,--,1-0-0,100.0%,13.0,14.5
27,22,--,9:00 PM,Mott Athletics Center,0,Menlo College,336,Cal Poly,,Cal Poly,,,,,,,,,,,,,1-1-0,50.0%,2.3,+4.5,0-0-0,0.0%,33.0,--,1-1-0,50.0%,-13.0,4.5
28,22,--,10:00 PM,Dahlberg Arena/Robin Selvig Court,0,Northwest Indian College,216,Montana,,Montana,,,,,,,,,,,,,0-1-0,0.0%,0.0,-13.0,0-0-0,0.0%,31.0,--,0-1-0,0.0%,-31.0,-13.0
