Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Pacific,Hawaii,Hawaii,-3.0,142.5.,142,True
Villanova,Saint Joseph'S,Saint Joseph's,3.0,141.5.,159,False
Hampton,Providence,Hampton,23.5,138.,111,False
Cornell,La Salle,La Salle,-2.0,157.5.,170,True
Kansas,Michigan St.,Kansas,-5.5,151.,146,False
North Florida,Georgia,North Florida,15.0,158.5.,167,False
North Carolina Central,High Point,North Carolina Central,16.5,158.5.,136,False
Drexel,Temple,Drexel,11.0,144.5.,130,False
Lehigh,Columbia,Lehigh,8.5,158.5.,151,False
Pennsylvania,Lafayette,Lafayette,3.0,141.,128,True
Monmouth-NJ,Northern Illinois,Northern Illinois,2.5,148.5.,145,True
Loyola (MD),NJIT,Loyola (MD),-2.5,137.5.,118,False
Florida Atlantic,Central Florida,Central Florida,-4.0,155.,194,True
Tarleton State,Florida State,Florida State,-17.0,146.,124,True
Colgate,Syracuse,Colgate,11.5,153.,146,False
Arkansas-Pine Bluff,South Florida,Arkansas-Pine Bluff,24.5,167.5.,154,False
West Georgia,Tennessee Tech,West Georgia,6.5,143.5.,149,False
Old Dominion,Radford,Radford,-3.5,143.,162,True
Eastern Kentucky,Clemson,Eastern Kentucky,22.0,153.,137,False
North Carolina A&T,George Washington,North Carolina A&T,15.5,156.5.,165,False
St. Francis (PA),Penn St.,St. Francis (PA),31.0,152.,154,False
Fairfield,New Hampshire,Fairfield,-1.0,153.,118,False
Illinois-Chicago,Northwestern,Illinois-Chicago,15.0,142.,157,False
Binghamton,Fordham,Fordham,-14.0,141.5.,141,True
Towson,South Carolina,South Carolina,-7.5,136.,134,True
American U.,Siena,Siena,2.0,132.5.,140,True
Bethune-Cookman,Purdue Fort Wayne,Purdue Fort Wayne,-13.0,153.5.,160,True
Delaware,Iona,Delaware,6.5,153.5.,122,False
Norfolk State,William & Mary,William & Mary,-2.5,156.5.,157,True
Maryland-Eastern Shore,Miami (OH),Maryland-Eastern Shore,18.5,140.5.,158,False
SIU Edwardsville,Indiana St.,SIU Edwardsville,6.0,151.,149,False
Rider,Navy,Rider,5.0,139.5.,169,False
Southeastern Louisiana,Mississippi State,Southeastern Louisiana,25.5,150.,139,False
Texas Southern,Georgia Tech,Georgia Tech,-16.5,154.,143,True
Texas-San Antonio,Bradley,Bradley,-12.0,156.,157,True
Sam Houston St.,Baylor,Baylor,-16.0,150.,171,True
Chicago St.,Texas,Texas,-30.0,147.5.,163,True
Ohio,Illinois St.,Illinois St.,2.5,147.,160,True
Texas State,Texas Christian,Texas State,15.5,140.,147,False
Cleveland St.,Valparaiso,Cleveland St.,3.5,148.5.,142,False
Belmont,Lipscomb,Belmont,7.0,156.,159,False
Prairie View A&M,Incarnate Word,Prairie View A&M,11.5,154.,165,False
UL Monroe,Rice,Rice,-10.5,145.5.,116,True
Jackson State,Xavier,Xavier,-26.5,156.,151,True
Denver,Colorado St.,Denver,21.5,153.5.,139,False
Kentucky,Duke,Kentucky,5.5,159.5.,149,False
Queens University Of Charlotte,Utah,Utah,-24.0,160.5.,161,True
Texas A&M-CC,New Mexico,New Mexico,-16.5,160.,181,True
Portland St.,San Diego,Portland St.,-2.0,157.,161,False
Akron,Saint Mary'S,Saint Mary's,-14.5,136.,155,False
UC Riverside,California Baptist,UC Riverside,3.5,146.5.,139,False
Northern Arizona,Stanford,Stanford,-18.0,145.5.,154,True
Sacramento State,UC San Diego,Sacramento State,12.5,139.5.,118,False
Portland,Oregon,Portland,26.5,152.,150,False
