Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,94.4,10:00 PM,Chase Center,1,Okla City,7,Golden State,OKC Thunder,Oklahoma City,GS Warriors,Golden State,-2,−112,False,+2,−108,True,Okla City,949-860-31,52.5%,1.0,0.3,469-422-17,52.6%,-2.1,0.2,Golden State,946-885-38,51.7%,2.3,0.3,492-426-19,53.6%,5.7,0.7,Golden State,+2,−108,393-354-16,52.6%,-5.3,0.6,Okla City,-2,−112,510-473-10,51.9%,6.6,0.0
2,92.4,7:30 PM,American Airlines Center,4,New York,6,Dallas,NY Knicks,New York,DAL Mavericks,Dallas,-4,−110,False,+4,−110,True,New York,876-851-24,50.7%,-2.1,0.2,451-410-14,52.4%,-4.2,0.7,Dallas,943-888-39,51.5%,2.1,0.2,437-462-24,48.6%,4.9,-0.1,Dallas,+4,−110,386-319-10,54.8%,-3.8,1.3,New York,-4,−110,323-303-6,51.6%,4.4,-0.5
3,77.2,8:00 PM,Target Center,17,Sacramento,11,Minnesota,SAC Kings,Sacramento,MIN Timberwolves,Minnesota,+3.5,−110,True,-3.5,−110,False,Sacramento,835-860-41,49.3%,-2.4,-0.4,438-406-20,51.9%,-5.0,0.0,Minnesota,805-916-27,46.8%,-1.9,-0.4,380-483-10,44.0%,0.4,-1.0,Sacramento,+3.5,−110,535-520-24,50.7%,-6.2,0.3,Minnesota,-3.5,−110,317-388-11,45.0%,4.6,-1.0
4,71.3,9:00 PM,Footprint Center,22,Brooklyn,13,Phoenix,BKN Nets,Brooklyn,PHO Suns,Phoenix,+8.5,−112,True,-8.5,−108,False,Brooklyn,866-896-35,49.2%,-2.1,-0.4,448-429-16,51.1%,-4.2,0.3,Phoenix,898-895-28,50.1%,0.5,-0.1,433-465-11,48.2%,3.1,-0.5,Brooklyn,+8.5,−112,524-534-21,49.5%,-6.2,0.2,Phoenix,-8.5,−108,495-476-15,51.0%,5.9,-0.5
5,70.9,7:00 PM,Spectrum Center,15,Miami,23,Charlotte,MIA Heat,Miami,CHA Hornets,Charlotte,-3.5,−108,False,+3.5,−112,True,Miami,978-929-43,51.3%,1.8,0.1,495-441-20,52.9%,-0.9,0.3,Charlotte,788-810-33,49.3%,-3.5,-0.1,392-406-14,49.1%,-0.6,0.0,Charlotte,+3.5,−112,542-572-28,48.7%,-6.9,-0.1,Miami,-3.5,−108,599-576-26,51.0%,5.8,-0.4
6,68.3,8:30 PM,Frost Bank Center,18,La Lakers,16,San Antonio,LA Lakers,L.A. Lakers,SA Spurs,San Antonio,-2,−112,False,+2,−108,True,La Lakers,871-978-32,47.1%,0.3,-0.5,431-480-13,47.3%,-3.1,-0.9,San Antonio,979-895-38,52.2%,3.7,0.5,502-427-20,54.0%,7.0,0.8,San Antonio,+2,−108,292-295-8,49.7%,-5.5,0.1,La Lakers,-2,−112,463-545-19,45.9%,5.4,-1.2
7,67.6,8:00 PM,FedExForum,21,Detroit,8,Memphis,DET Pistons,Detroit,MEM Grizzlies,Memphis,+8,−108,True,-8,−112,False,Detroit,870-899-41,49.2%,-1.1,-0.2,434-445-25,49.4%,-3.7,-0.1,Memphis,911-864-31,51.3%,-0.4,0.3,463-421-15,52.4%,2.4,0.2,Detroit,+8,−108,474-497-25,48.8%,-6.1,0.3,Memphis,-8,−112,427-404-16,51.4%,5.0,-0.4
8,63.6,7:00 PM,Kia Center,24,Chicago,9,Orlando,CHI Bulls,Chicago,ORL Magic,Orlando,+10.5,−110,True,-10.5,−110,False,Chicago,886-888-24,49.9%,-0.4,0.1,457-428-14,51.6%,-2.5,0.8,Orlando,871-878-37,49.8%,-1.4,-0.1,416-444-18,48.4%,1.3,-0.3,Chicago,+10.5,−110,479-473-12,50.3%,-5.1,0.6,Orlando,-10.5,−110,364-365-14,49.9%,5.2,-0.7
8,63.6,9:00 PM,Delta Center,10,Denver,28,Utah,DEN Nuggets,Denver,UTA Jazz,Utah,-9.5,−110,False,+9.5,−110,True,Denver,931-881-35,51.4%,1.9,0.2,446-442-20,50.2%,-2.0,-0.3,Utah,891-874-37,50.5%,1.0,0.1,455-413-22,52.4%,4.9,0.7,Utah,+9.5,−110,394-410-16,49.0%,-5.6,0.3,Denver,-9.5,−110,543-528-19,50.7%,6.1,-0.3
8,63.6,7:00 PM,Wells Fargo Center,5,Houston,20,Philadelphia,HOU Rockets,Houston,PHI 76ers,Philadelphia,-5,−110,False,+5,−110,True,Houston,895-907-26,49.7%,1.4,0.2,453-439-8,50.8%,-1.4,0.4,Philadelphia,894-882-30,50.3%,-1.1,0.0,446-431-17,50.9%,1.6,-0.1,Philadelphia,+5,−110,487-491-14,49.8%,-6.3,0.3,Houston,-5,−110,509-519-15,49.5%,6.0,-0.3
11,58.2,8:00 PM,Smoothie King Center,25,Toronto,26,New Orleans,TOR Raptors,Toronto,NO Pelicans,New Orleans,+3,−112,True,-3,−108,False,Toronto,897-877-34,50.6%,0.4,0.3,454-422-16,51.8%,-2.3,0.5,New Orleans,868-864-30,50.1%,-1.0,0.2,435-429-13,50.4%,1.4,0.0,Toronto,+3,−112,446-437-22,50.5%,-4.9,0.7,New Orleans,-3,−108,350-374-13,48.3%,4.2,-1.1
12,56.9,7:00 PM,Gainbridge Fieldhouse,29,Portland,19,Indiana,POR Trail Blazers,Portland,IND Pacers,Indiana,+10.5,−110,True,-10.5,−110,False,Portland,868-892-27,49.3%,-1.2,-0.3,427-450-12,48.7%,-4.5,-0.5,Indiana,915-881-43,51.0%,0.6,0.3,462-422-26,52.3%,4.0,0.8,Portland,+10.5,−110,454-491-15,48.0%,-6.7,-0.3,Indiana,-10.5,−110,468-450-19,51.0%,5.4,-0.3
