,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,98.9,9:30 PM,Baha Mar Convention Center,12,Baylor,5,Tennessee,Baylor,Tennessee,3-2-0,60.0%,13.6,4.0,0-1-0,0.0%,-38.0,-31.5,3-1-0,75.0%,26.5,12.9,4-1-0,80.0%,26.0,7.5,2-1-0,66.7%,28.7,+1.2,1-0-0,100.0%,22.0,24.5
1,2,98.1,10:30 PM,McKale Memorial Center,4,Duke,14,Arizona,Duke,Arizona,3-1-0,75.0%,30.5,6.1,,,,,3-1-0,75.0%,30.5,6.1,1-2-0,33.3%,24.0,0.0,1-1-0,50.0%,43.5,+9.8,,,,
2,3,96.2,8:00 PM,T-Mobile Center,34,Utah St,42,Iowa,Utah State,Iowa,2-1-0,66.7%,40.0,12.7,,,,,2-1-0,66.7%,32.0,12.7,2-3-0,40.0%,18.2,-2.3,1-3-0,25.0%,20.3,-4.0,,,,
3,4,95.9,2:30 PM,The Greenbrier,16,Pittsburgh,46,Lsu,Pittsburgh,,4-1-0,80.0%,28.6,9.2,,,,,4-1-0,80.0%,28.6,9.2,2-2-0,50.0%,17.0,2.4,1-2-0,33.3%,19.0,-3.5,1-0-0,100.0%,11.0,20.0
4,5,95.6,8:30 PM,Moody Coliseum,30,Miss State,48,S Methodist,Mississippi State,SMU,2-2-0,50.0%,24.0,3.4,,,,,2-2-0,50.0%,24.0,3.4,2-3-0,40.0%,21.2,2.4,2-2-0,50.0%,29.3,+6.1,,,,
5,6,95.4,7:30 PM,TD Arena,49,Vcu,36,Nevada,,Nevada,3-2-0,60.0%,17.6,1.9,,,,,3-2-0,60.0%,17.6,1.9,4-1-0,80.0%,16.0,7.2,4-0-0,100.0%,20.5,+10.1,,,,
6,7,94.8,5:00 PM,The Greenbrier,37,Wisconsin,60,Ucf,Wisconsin,,3-2-0,60.0%,17.0,2.5,,,,,2-2-0,50.0%,17.5,-1.8,2-2-0,50.0%,6.8,-1.6,2-2-0,50.0%,6.8,-1.6,1-0-0,100.0%,3.0,9.5
7,8,94.3,8:00 PM,CHI Health Center Omaha,65,Nebraska,27,Creighton,Nebraska,Creighton,1-3-0,25.0%,12.0,-5.5,,,,,0-3-0,0.0%,17.0,-7.7,1-3-0,25.0%,24.3,-6.1,1-3-0,25.0%,24.3,-6.1,,,,
8,9,92.3,7:00 PM,Barclays Center,92,Syracuse,18,Texas Tech,Syracuse,Texas Tech,1-3-0,25.0%,2.8,-6.1,,,,,0-3-0,0.0%,5.0,-10.3,2-3-0,40.0%,26.8,-0.5,2-2-0,50.0%,33.8,+2.3,,,,
9,10,91.5,7:00 PM,Baha Mar Convention Center,20,St Johns,94,Virginia,Saint Johns,Virginia,4-1-0,80.0%,17.8,3.9,,,,,3-1-0,75.0%,22.5,4.5,1-3-0,25.0%,3.5,-2.5,0-2-0,0.0%,13.0,-7.3,1-1-0,50.0%,-6.0,2.3
