Rank,Hotness Score,Matchup,Time,Location
1,89.5,#7 Dallas  at  #8 Denver,8:00 PM,Ball Arena
2,82.5,#5 Golden State  at  #1 Okla City,7:00 PM,Paycom Center
3,80.9,#12 Sacramento  at  #10 Phoenix,8:00 PM,Footprint Center
4,80.4,#4 New York  at  #17 Indiana,5:00 PM,Gainbridge Fieldhouse
5,74.9,#18 Miami  at  #6 Minnesota,7:00 PM,Target Center
6,73.8,#2 Boston  at  #14 Milwaukee,3:30 PM,Fiserv Forum
7,66.8,#9 Houston  at  #24 Detroit,3:00 PM,Little Caesars Arena
8,64.7,#22 Charlotte  at  #19 Philadelphia,7:00 PM,Wells Fargo Center
9,63.9,#11 Memphis  at  #28 Portland,9:00 PM,Moda Center
10,62.6,#23 Toronto  at  #16 LA Lakers,9:30 PM,Crypto.com Arena
11,49.1,#30 Washington  at  #13 Orlando,6:00 PM,Kia Center
