Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Boston,511-429-20,54.4%,4.4,1.0,295-241-10,55.0%,3.8,0.4,23-14-1,62.2%,6.9,3.6,195-156-4,55.6%,3.3,1.0,309-270-15,53.4%,4.9,0.9,253-200-8,55.9%,2.3,1.2,152-108-5,58.5%,-1.9,2.9,355-319-15,52.7%,6.8,0.2,243-218-11,52.7%,6.3,0.6,85-63-3,57.4%,3.4,2.1,314-268-10,54.0%,4.5,0.7,96-85-4,53.0%,7.6,1.9,120-103-6,53.8%,3.2,1.4,89-84-6,51.5%,4.1,0.4
Okla City,447-409-14,52.2%,1.1,0.3,235-213-5,52.5%,0.9,0.2,17-12-1,58.6%,1.9,1.8,193-191-9,50.3%,-0.8,0.1,246-215-5,53.4%,2.7,0.4,218-202-6,51.9%,-1.7,-0.2,209-178-10,54.0%,-5.7,0.4,236-230-4,50.6%,6.9,0.3,221-199-8,52.6%,4.2,1.0,75-70-3,51.7%,-1.7,-0.2,276-257-6,51.8%,1.5,0.2,91-95-5,48.9%,3.0,0.4,121-101-4,54.5%,0.0,0.5,79-70-4,53.0%,2.5,1.3
Philadelphia,452-416-17,52.1%,-0.1,0.4,254-206-8,55.2%,0.5,0.7,15-15-0,50.0%,1.2,1.5,228-196-9,53.8%,-2.5,0.7,219-214-8,50.6%,2.3,0.1,209-217-11,49.1%,-2.9,0.0,216-214-8,50.2%,-6.9,0.3,233-198-9,54.1%,6.7,0.4,239-190-6,55.7%,2.8,0.8,71-74-4,49.0%,-2.9,0.0,286-241-9,54.3%,0.7,0.7,93-106-2,46.7%,-0.5,-0.9,105-104-7,50.2%,-1.0,0.9,80-86-4,48.2%,-0.4,-0.4
Miami,456-431-23,51.4%,0.8,0.2,250-243-10,50.7%,0.9,0.1,22-10-0,68.8%,5.7,3.7,226-173-10,56.6%,1.9,1.7,225-252-13,47.2%,-0.2,-1.0,235-197-8,54.4%,-1.2,0.8,212-185-6,53.4%,-3.7,1.6,242-245-17,49.7%,4.4,-0.9,200-224-15,47.2%,2.8,-0.7,74-60-7,55.2%,-1.2,0.4,271-290-14,48.3%,0.5,-0.4,109-102-6,51.7%,2.6,0.4,97-86-7,53.0%,-1.4,0.2,89-71-2,55.6%,2.6,1.5
Dallas,444-420-20,51.4%,0.7,0.5,250-226-11,52.5%,0.7,0.9,12-18-0,40.0%,-3.1,-2.4,231-186-12,55.4%,1.3,1.9,208-228-8,47.7%,0.1,-0.8,232-196-8,54.2%,-1.5,0.9,222-205-9,52.0%,-4.2,1.2,219-211-11,50.9%,5.4,-0.3,206-215-11,48.9%,3.0,0.1,75-71-4,51.4%,-1.3,0.9,284-251-12,53.1%,1.4,0.5,90-95-4,48.7%,2.5,-0.2,104-99-5,51.2%,-1.1,0.1,73-80-4,47.7%,0.8,0.4
Utah,435-412-21,51.4%,2.1,0.5,239-212-9,53.0%,2.4,0.9,13-14-1,48.2%,1.9,-1.0,188-195-9,49.1%,0.2,-0.3,242-211-12,53.4%,3.7,1.1,215-205-8,51.2%,-1.0,0.0,180-169-7,51.6%,-5.0,0.7,251-241-14,51.0%,7.0,0.2,214-197-13,52.1%,5.4,0.9,73-70-7,51.1%,0.9,0.8,276-246-8,52.9%,2.4,0.7,95-104-5,47.7%,3.4,-0.6,101-96-7,51.3%,0.2,0.5,73-82-5,47.1%,2.2,-0.5
Indiana,434-412-19,51.3%,0.3,0.4,244-230-11,51.5%,0.4,0.3,19-12-0,61.3%,3.4,0.7,226-190-10,54.3%,1.0,1.5,201-218-9,48.0%,-0.5,-0.8,212-209-6,50.4%,-2.4,0.0,220-206-9,51.6%,-4.3,1.0,210-202-10,51.0%,5.1,-0.2,215-195-13,52.4%,3.2,0.9,70-78-2,47.3%,-2.5,-0.5,269-263-12,50.6%,0.4,0.1,100-88-5,53.2%,2.6,1.3,90-94-3,48.9%,-2.3,-0.2,76-59-5,56.3%,2.4,2.5
Memphis,435-418-13,51.0%,-0.5,0.3,228-232-8,49.6%,-0.4,0.4,9-17-0,34.6%,-4.1,-4.5,214-206-6,51.0%,-1.7,0.2,218-204-7,51.7%,0.7,0.7,205-216-6,48.7%,-3.2,-0.1,229-226-5,50.3%,-5.5,0.7,201-191-8,51.3%,5.1,-0.2,227-196-7,53.7%,2.1,0.7,80-74-0,52.0%,-2.6,-0.3,269-247-8,52.1%,0.0,0.6,102-100-4,50.5%,1.4,0.1,105-86-1,55.0%,-2.8,0.3,77-80-5,49.0%,0.3,0.9
LA Clippers,452-438-7,50.8%,2.9,0.2,230-215-4,51.7%,2.6,0.5,23-9-0,71.9%,3.4,2.1,180-176-2,50.6%,2.2,0.2,263-260-5,50.3%,3.3,0.1,227-204-5,52.7%,0.9,0.9,149-154-1,49.2%,-4.7,0.5,302-280-6,51.9%,6.9,0.1,213-225-2,48.6%,4.8,-0.4,76-82-1,48.1%,2.4,1.2,274-262-4,51.1%,3.2,0.3,109-106-2,50.7%,4.2,-0.7,113-117-1,49.1%,2.1,0.4,79-85-2,48.2%,2.0,-1.6
San Antonio,431-418-15,50.8%,1.0,0.2,238-223-7,51.6%,0.6,0.0,15-14-0,51.7%,0.2,1.9,205-188-11,52.2%,-0.8,0.7,221-224-4,49.7%,2.6,-0.3,208-209-11,49.9%,-1.7,0.0,197-199-8,49.8%,-6.5,-0.1,233-217-7,51.8%,7.6,0.5,218-201-3,52.0%,3.9,0.5,75-72-3,51.0%,-0.1,0.5,270-252-9,51.7%,1.0,0.1,98-96-3,50.5%,3.3,0.8,95-99-5,49.0%,-0.5,0.1,71-80-3,47.0%,2.1,0.2
