Rank,Hotness Score,Matchup,Time,Location
1,95.9,#59 Wake Forest  vs.  #16 Michigan,1:00 PM,First Horizon Coliseum
2,93.9,#79 Arizona St  at  #3 Gonzaga,5:00 PM,McCarthey Athletic Center
3,85.8,#83 UC Irvine  at  #114 N Iowa,2:00 PM,McLeod Center
4,79.3,#176 App State  at  #55 Wisconsin,12:00 PM,Kohl Center
5,76.8,#145 Ste F Austin  at  #123 Drake,2:00 PM,Knapp Center
6,76.0,#187 St. Thomas  at  #85 Oklahoma St,3:00 PM,Gallagher-Iba Arena
7,75.1,#194 N Florida  at  #84 GA Tech,1:00 PM,McCamish Pavilion
8,73.1,#109 Princeton  at  #189 Northeastrn,2:00 PM,Matthews Arena
9,69.6,#220 TX Southern  at  #90 Georgia,3:30 PM,Stegeman Coliseum
10,62.6,#286 Alabama St  at  #37 LSU,5:00 PM,Pete Maravich Assembly Center
11,58.1,#293 SE Louisiana  at  #80 UAB,3:00 PM,Bartow Arena
12,54.2,#331 Binghamton  at  #41 Miami,2:00 PM,Watsco Center
13,51.4,#346 E Illinois  at  #35 Indiana,12:00 PM,Simon Skjodt Assembly Hall
14,50.3,#251 Maine  at  #208 Brown,2:00 PM,Pizzitola Sports Center
15,50.1,#352 F Dickinson  at  #33 Creighton,5:00 PM,CHI Health Center Omaha
16,49.8,#275 San Jose St  at  #177 Hawaii,10:00 PM,SimpliFi Arena at Stan Sheriff Center
17,49.5,#273 TN State  at  #186 Wyoming,4:00 PM,Arena-Auditorium
18,47.8,#222 Harvard  at  #255 American,2:00 PM,Bender Arena
19,46.9,#345 SE Missouri  at  #92 Vanderbilt,1:00 PM,Memorial Gymnasium
20,21.2,#354 St Fran (PA)  at  #267 Campbell,2:00 PM,Gore Arena/Pope Convocation Center
21,16.7,#317 Niagara  at  #332 Detroit,1:00 PM,Calihan Hall
22,--,Mount Marty  at  #226 South Dakota,3:00 PM,Sanford Coyote Sports Center
22,--,Eureka  at  #97 Loyola-Chi,2:00 PM,Joseph J. Gentile Arena
22,--,Avila  at  #133 Saint Louis,4:00 PM,Chaifetz Arena
22,--,Chatham  at  #309 Rob Morris,2:00 PM,UPMC Events Center
22,--,Champion Baptist  at  #270 TX-Pan Am,7:30 PM,UTRGV Fieldhouse
22,--,Life Pacific  vs.  #291 Pacific,7:30 PM,SimpliFi Arena at Stan Sheriff Center
22,--,Menlo College  at  #336 Cal Poly,9:00 PM,Mott Athletics Center
22,--,Northwest Indian College  at  #216 Montana,10:00 PM,Dahlberg Arena/Robin Selvig Court
