Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Eastern Illinois,Indiana,Indiana,-27.0,148.5.,145,True
Appalachian St.,Wisconsin,Wisconsin,-16.0,137.5.,143,True
Michigan,Wake Forest,Wake Forest,2.0,155.5.,142,True
SE Missouri St.,Vanderbilt,SE Missouri St.,26.5,155.,161,False
Niagara,Detroit Mercy,Detroit Mercy,-1.5,146.,162,True
North Florida,Georgia Tech,North Florida,14.0,154.5.,198,False
Stephen F. Austin,Drake,Drake,-4.0,139.5.,117,True
UC Irvine,Northern Iowa,UC Irvine,3.0,140.5.,140,False
Princeton,Northeastern,Northeastern,7.5,146.5.,155,True
Binghamton,Miami-Florida,Binghamton,28.0,156.5.,152,False
Harvard,American U.,American U.,2.0,141.5.,122,True
St. Francis (PA),Campbell,St. Francis (PA),8.5,144.5.,129,False
Maine,Brown,Maine,3.5,141.,136,False
Southeastern Louisiana,UAB,Southeastern Louisiana,22.0,153.5.,154,False
St. Thomas (MN),Oklahoma State,St. Thomas (MN),13.0,157.,151,False
Texas Southern,Georgia,Georgia,-17.0,148.,156,True
Tennessee St.,Wyoming,Wyoming,-11.0,145.,147,True
Arizona State,Gonzaga,Arizona State,21.5,156.5.,168,False
Fairleigh Dickinson,Creighton,Fairleigh Dickinson,36.5,167.5.,166,False
Alabama St.,Louisiana State,Alabama St.,19.0,151.5.,135,False
San Jose St.,Hawaii,Hawaii,-4.5,133.,149,True
