Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Miami,Detroit,Detroit,+4.5,219.,249,[]
Philadelphia,Charlotte,Philadelphia,-2.5,218.5.,229,[]
Cleveland,Brooklyn,Cleveland,-10.5,215.5.,231,[]
Denver,Sacramento,Denver,+1,237.,259,[]
Utah,L.A. Clippers,L.A. Clippers,-7.5,222.,251,[]
