Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,97.4,5:30 PM,The Greenbrier,15,Pittsburgh,33,Wisconsin,Pittsburgh,Pittsburgh,Wisconsin,Wisconsin,-2,−112,False,+2,−108,True,Pittsburgh,394-393-21,50.1%,5.4,0.2,140-130-8,51.9%,-1.9,1.0,Wisconsin,448-409-22,52.3%,7.0,0.7,211-189-10,52.8%,13.1,1.0,Wisconsin,+2,−108,133-113-12,54.1%,-3.1,1.7,Pittsburgh,-2,−112,239-242-9,49.7%,9.5,-0.2
2,95.1,11:00 AM,Imperial Arena,18,St Johns,58,Georgia,Saint Johns,St. John'S,Georgia,Georgia,-6,−110,False,+6,−110,True,St Johns,387-391-16,49.7%,1.4,-0.1,146-135-6,52.0%,-5.2,0.5,Georgia,393-390-11,50.2%,0.3,0.1,187-199-4,48.5%,5.7,0.0,Georgia,+6,−110,226-223-5,50.3%,-7.0,0.4,St Johns,-6,−110,175-188-8,48.2%,8.2,-0.6
3,93.5,1:00 PM,Prudential Center,67,Villanova,24,Maryland,Villanova,Villanova,Maryland,Maryland,+6,−108,True,-6,−112,False,Villanova,458-394-12,53.8%,7.0,0.6,156-147-6,51.5%,1.4,0.0,Maryland,408-391-17,51.1%,7.2,0.1,199-183-9,52.1%,13.6,0.1,Villanova,+6,−108,123-112-5,52.3%,-3.8,1.4,Maryland,-6,−112,269-251-11,51.7%,9.9,-0.2
4,93.3,12:30 PM,TD Arena,61,Miami,53,Vcu,Miami FL,Miami-Florida,VCU,VCU,+3,−112,True,-3,−108,False,Miami,403-367-19,52.3%,4.2,0.4,163-123-10,57.0%,-1.6,1.5,Vcu,419-390-20,51.8%,6.0,0.7,191-194-11,49.6%,10.3,0.3,Miami,+3,−112,194-141-8,57.9%,-4.3,1.8,Vcu,-3,−108,294-268-15,52.3%,9.6,0.7
4,93.3,3:00 PM,The Greenbrier,70,Ucf,48,Lsu,UCF,Central Florida,LSU,Louisiana State,+1,−112,True,-1,−108,False,Ucf,275-255-8,51.9%,2.6,0.2,104-108-1,49.1%,-3.8,-0.6,Lsu,358-396-16,47.5%,3.2,-0.5,175-187-9,48.3%,9.8,-0.2,Ucf,+1,−112,131-134-2,49.4%,-7.2,-0.1,Lsu,-1,−108,186-210-9,47.0%,8.2,-0.6
6,91.8,3:00 PM,TD Arena,89,Oklahoma St,35,Nevada,Oklahoma State,Oklahoma State,Nevada,Nevada,+6.5,−112,True,-6.5,−108,False,Oklahoma St,393-393-15,50.0%,5.4,0.4,130-151-6,46.3%,-2.7,-0.3,Nevada,393-326-16,54.7%,3.7,0.9,181-147-7,55.2%,9.0,0.8,Oklahoma St,+6.5,−112,141-169-5,45.5%,-6.4,-0.2,Nevada,-6.5,−108,258-208-10,55.4%,8.8,0.7
7,89.1,8:30 PM,TD Arena,91,Drake,74,Vanderbilt,Drake,Drake,Vanderbilt,Vanderbilt,+4,−110,True,-4,−110,False,Drake,380-368-19,50.8%,0.7,0.2,144-166-9,46.5%,-7.0,-1.0,Vanderbilt,409-390-17,51.2%,2.7,0.2,199-208-7,48.9%,7.9,-0.1,Drake,+4,−110,214-213-16,50.1%,-7.2,0.1,Vanderbilt,-4,−110,193-188-7,50.7%,9.3,0.0
8,88.7,8:00 PM,Sports and Fitness Center,87,Liberty,77,Kansas St,Liberty,Liberty,Kansas State,Kansas State,+4,−112,True,-4,−108,False,Liberty,138-139-5,49.8%,1.8,-0.4,43-51-2,45.7%,-5.8,-0.6,Kansas St,387-373-16,50.9%,3.5,0.4,185-171-6,52.0%,10.0,0.8,Liberty,+4,−112,39-44-2,47.0%,-9.5,-0.8,Kansas St,-4,−108,204-196-9,51.0%,8.4,0.1
9,87.2,6:00 PM,TD Arena,78,Fla Atlantic,102,Seton Hall,Florida Atlantic,Florida Atlantic,Seton Hall,Seton Hall,-2.5,−110,False,+2.5,−110,True,Fla Atlantic,243-257-10,48.6%,-1.7,0.3,110-127-8,46.4%,-7.8,-0.4,Seton Hall,388-379-12,50.6%,2.6,0.2,174-190-6,47.8%,7.7,-0.2,Seton Hall,+2.5,−110,201-169-3,54.3%,-5.5,0.9,Fla Atlantic,-2.5,−110,99-114-4,46.5%,6.4,-0.1
10,83.5,3:30 PM,Mohegan Sun Arena,127,U Mass,82,Florida St,Massachusetts,Massachusetts,Florida State,Florida State,N/A,N/A,False,-6,−108,False,U Mass,371-391-12,48.7%,0.4,-0.3,160-156-4,50.6%,-4.5,-0.2,Florida St,394-392-17,50.1%,2.9,-0.3,187-176-11,51.5%,8.7,0.3,Florida St,-6,−108,188-169-5,52.7%,-6.6,0.5,U Mass,N/A,N/A,175-201-8,46.5%,6.0,-0.9
