Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,96.3,9:00 PM,Welsh-Ryan Arena,10,Illinois,58,Northwestern,Illinois,Illinois,Northwestern,Northwestern,-3.5,−112,False,+3.5,−108,True,Illinois,160-159-11,50.2%,5.3,0.4,54-51-3,51.4%,-2.5,0.6,Northwestern,158-152-10,51.0%,2.4,0.4,77-84-6,47.8%,8.0,0.2,Northwestern,+3.5,−108,80-78-6,50.6%,-6.4,0.3,Illinois,-3.5,−112,106-94-8,53.0%,11.2,0.6
2,89.5,7:00 PM,WVU Coliseum,97,Georgetown,53,W Virginia,Georgetown,Georgetown,West Virginia,West Virginia,+8,−108,True,-8,−112,False,Georgetown,142-174-5,44.9%,-0.4,-0.7,57-48-1,54.3%,-6.1,1.6,W Virginia,166-170-2,49.4%,5.2,0.0,85-75-0,53.1%,11.7,1.4,Georgetown,+8,−108,84-92-3,47.7%,-8.2,-0.3,W Virginia,-8,−112,114-103-1,52.5%,10.9,0.7
3,82.9,8:00 PM,Nido and Mariana Qubein Arena,84,North Texas,132,High Point,North Texas,North Texas,High Point,High Point,-1,−112,False,+1,−108,True,North Texas,159-133-5,54.5%,3.9,0.9,67-56-4,54.5%,-3.4,0.7,High Point,108-109-2,49.8%,1.6,-1.2,50-47-0,51.6%,8.9,-0.1,High Point,+1,−108,59-54-2,52.2%,-8.6,-0.8,North Texas,-1,−112,89-71-3,55.6%,8.5,0.8
4,78.3,7:00 PM,Simon Skjodt Assembly Hall,194,Miami (Oh),35,Indiana,Miami OH,Miami (OH),Indiana,Indiana,+19,−112,True,-19,−108,False,Miami (Oh),138-152-6,47.6%,-0.8,-0.1,66-70-4,48.5%,-7.3,0.2,Indiana,166-165-5,50.2%,4.7,-0.2,102-76-0,57.3%,11.6,0.9,Miami (Oh),+19,−112,100-100-4,50.0%,-6.8,0.6,Indiana,-19,−108,106-98-3,52.0%,11.0,0.0
5,67.0,6:00 PM,Chace Athletic Center,196,Brown,152,Bryant,Brown,Brown,Bryant,Bryant,+6,−112,True,-6,−108,False,Brown,114-116-6,49.6%,-0.5,0.2,63-54-3,53.9%,-4.5,1.5,Bryant,96-114-3,45.7%,-1.3,-0.6,43-44-1,49.4%,5.6,0.0,Brown,+6,−112,74-68-2,52.1%,-6.3,1.4,Bryant,-6,−108,54-53-1,50.5%,6.8,-0.2
6,57.9,7:00 PM,Georgia State Convocation Center,181,Kennesaw St,229,Georgia St,Kennesaw State,Kennesaw St.,Georgia State,Georgia St.,+2,−110,True,-2,−110,False,Kennesaw St,95-114-4,45.5%,-4.2,-1.0,48-60-2,44.4%,-11.9,-1.4,Georgia St,140-150-7,48.3%,4.0,-0.6,58-59-4,49.6%,11.0,-0.2,Kennesaw St,+2,−110,65-87-1,42.8%,-13.4,-1.6,Georgia St,-2,−110,102-95-4,51.8%,5.9,-0.4
7,57.1,6:00 PM,UPMC Cooper Fieldhouse,212,Delaware,207,Duquesne,Delaware,Delaware,Duquesne,Duquesne,+3.5,−110,True,-3.5,−110,False,Delaware,140-145-7,49.1%,-1.5,-0.7,61-66-4,48.0%,-5.4,-0.8,Duquesne,142-156-3,47.7%,0.1,-0.8,68-81-1,45.6%,4.2,-1.2,Delaware,+3.5,−110,86-81-3,51.5%,-7.7,-0.4,Duquesne,-3.5,−110,69-84-1,45.1%,5.4,-1.9
8,54.5,7:00 PM,McKillop Court at John M. Belk Arena,293,Charl South,115,Davidson,,Charleston Southern,Davidson,Davidson,N/A,N/A,False,-14,−112,False,Charl South,88-108-4,44.9%,-1.6,-0.6,52-54-2,49.1%,-10.1,-0.2,Davidson,163-142-3,53.4%,5.2,0.5,69-60-1,53.5%,12.1,1.2,Davidson,-14,−112,45-51-2,46.9%,-6.7,-0.8,Charl South,N/A,N/A,21-22-0,48.8%,7.0,0.2
9,49.9,7:00 PM,Memorial Athletic and Convocation Center,316,Portland,117,Kent St,,Portland,Kent State,Kent St.,N/A,N/A,False,-13,−110,False,Portland,137-153-7,47.2%,-4.1,-1.3,59-58-2,50.4%,-9.9,-0.3,Kent St,151-143-14,51.4%,4.2,0.1,64-63-6,50.4%,10.6,-0.1,Kent St,-13,−110,56-52-4,51.9%,-4.8,1.3,Portland,N/A,N/A,45-42-2,51.7%,5.2,-1.0
10,44.8,7:00 PM,Victor R. Yanitelli Recreation Life Center,153,St Peters,326,Manhattan,Saint Peters,Saint Peter'S,Manhattan,Manhattan,-9,−110,False,+9,−110,True,St Peters,169-136-2,55.4%,0.7,1.0,85-66-1,56.3%,-3.4,1.1,Manhattan,149-145-6,50.7%,-3.6,-0.7,63-60-3,51.2%,0.2,-0.6,Manhattan,+9,−110,103-94-4,52.3%,-7.3,-0.4,St Peters,-9,−110,75-77-1,49.3%,4.9,-0.2
