Rank,Hotness Score,Matchup,Time,Location
1,91.8,#89 Wash State  at  #36 Nevada,10:00 PM,Lawlor Events Center
2,85.6,#99 Yale  at  #95 Rhode Island,7:00 PM,Thomas M. Ryan Center
3,68.5,#172 Bryant  at  #166 Drexel,7:00 PM,Daskalakis Athletic Center
4,63.4,#249 Maryland BC  at  #103 Georgetown,6:30 PM,Capital One Arena
5,59.6,#287 Pacific  at  #75 Colorado,9:00 PM,CU Events Center
6,51.0,#242 SE Louisiana  at  #215 Tulane,7:30 PM,Avron B. Fogelman Arena in Devlin Fieldhouse
7,43.7,#285 Air Force  at  #207 Miami (OH),7:00 PM,Millett Hall
8,40.4,#198 TX-Arlington  at  #314 UL Monroe,7:30 PM,Fant-Ewing Coliseum
9,40.2,#348 Jackson St  at  #147 Saint Louis,8:00 PM,Chaifetz Arena
10,36.2,#360 Chicago St  at  #155 St. Thomas,8:00 PM,Schoenecker Arena
11,34.9,#196 Wm & Mary  at  #342 Old Dominion,7:00 PM,Chartway Arena at the Ted Constant Convocation Cen
12,10.4,#315 Loyola-MD  at  #362 Coppin St,7:00 PM,Physical Education Complex
13,--,Oakwood  at  #364 Miss Val St,7:00 PM,Harrison HPER Complex
13,--,Columbia International  at  #156 Jksnville St,7:00 PM,Pete Mathews Coliseum
13,--,East-West University  at  #269 S Indiana,8:00 PM,"Liberty Arena, Home of the Screaming Eagles"
13,--,Dakota Wesleyan  at  #114 S Dakota St,8:00 PM,First Bank & Trust Arena
