Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
UMBC,Georgetown,Georgetown,-17.0,159.,148,True
Air Force,Miami (OH),Miami (OH),-6.5,132.,133,True
Loyola (MD),Coppin St.,Loyola (MD),-7.5,132.5.,125,False
William & Mary,Old Dominion,Old Dominion,7.5,158.,171,True
Yale,Rhode Island,Rhode Island,-2.5,154.,162,True
Bryant,Drexel,Bryant,1.5,148.5.,151,False
Southeastern Louisiana,Tulane,Southeastern Louisiana,7.5,139.,138,False
Texas-Arlington,UL Monroe,Texas-Arlington,-7.0,149.,154,False
Jackson State,Saint Louis,Jackson State,20.0,154.5.,140,False
Chicago St.,St. Thomas (MN),St. Thomas (MN),-20.0,140.5.,174,True
Pacific,Colorado,Pacific,15.0,144.,141,False
Washington St.,Nevada,Washington St.,11.0,146.,125,False
