Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Golden State,9-2-0,81.8%,11.1,9.6,8-1-0,88.9%,13.8,12.4,1-0-0,100.0%,36.0,28.5,2-0-0,100.0%,14.5,18.5,6-2-0,75.0%,7.1,5.1,6-1-0,85.7%,13.4,13.0,4-1-0,80.0%,4.4,9.1,5-1-0,83.3%,16.7,10.1,3-1-0,75.0%,7.0,3.8,1-0-0,100.0%,15.0,12.0,6-2-0,75.0%,8.1,6.8,1-1-0,50.0%,-1.0,-3.0,,,,,1-0-0,100.0%,6.0,11.0
Brooklyn,9-3-0,75.0%,-2.8,3.7,4-2-0,66.7%,-2.8,3.0,1-0-0,100.0%,-4.0,2.5,5-1-0,83.3%,1.7,9.5,3-2-0,60.0%,-8.0,-3.0,5-1-0,83.3%,-2.2,6.9,7-2-0,77.8%,-3.3,6.0,2-1-0,66.7%,-1.3,-3.2,4-2-0,66.7%,-3.5,0.5,3-0-0,100.0%,3.3,12.8,4-3-0,57.1%,-5.1,-0.9,2-1-0,66.7%,-11.3,-1.7,3-0-0,100.0%,5.7,10.5,1-0-0,100.0%,-4.0,9.5
Cleveland,9-4-0,69.2%,11.7,5.3,6-3-0,66.7%,13.1,5.7,1-0-0,100.0%,30.0,23.5,,,,,8-4-0,66.7%,10.2,3.8,5-2-0,71.4%,11.3,6.0,2-0-0,100.0%,3.5,6.0,7-4-0,63.6%,13.2,5.2,4-2-0,66.7%,12.2,4.6,2-1-0,66.7%,8.3,1.7,6-3-0,66.7%,10.8,4.6,0-1-0,0.0%,8.0,-3.0,3-0-0,100.0%,8.7,7.2,,,,
Toronto,8-4-0,66.7%,-8.0,1.0,5-3-0,62.5%,-7.3,1.5,0-1-0,0.0%,-30.0,-23.5,6-3-0,66.7%,-5.9,2.5,2-0-0,100.0%,-6.5,6.5,4-3-0,57.1%,-9.9,0.1,8-4-0,66.7%,-8.0,1.0,,,,,4-1-0,80.0%,-5.4,2.3,2-1-0,66.7%,-9.3,2.3,5-2-0,71.4%,-5.1,3.5,1-0-0,100.0%,-2.0,4.0,2-1-0,66.7%,-12.0,-1.3,1-0-0,100.0%,-2.0,4.0
Okla City,8-4-0,66.7%,12.7,4.2,4-2-0,66.7%,10.3,2.9,1-0-0,100.0%,15.0,17.0,1-1-0,50.0%,12.5,5.5,6-3-0,66.7%,12.4,2.4,4-1-0,80.0%,13.6,7.3,1-0-0,100.0%,15.0,17.0,7-4-0,63.6%,12.5,3.0,4-3-0,57.1%,12.0,1.9,2-1-0,66.7%,14.3,6.8,5-2-0,71.4%,11.7,1.9,2-1-0,66.7%,15.7,4.0,2-1-0,66.7%,14.3,6.8,0-1-0,0.0%,12.0,-0.5
LA Clippers,7-5-0,58.3%,0.7,3.1,4-1-0,80.0%,3.8,6.0,1-0-0,100.0%,-3.0,2.0,2-3-0,40.0%,-2.6,1.0,4-2-0,66.7%,4.0,5.1,4-1-0,80.0%,1.6,8.5,5-3-0,62.5%,-1.8,4.4,2-2-0,50.0%,5.5,0.6,3-4-0,42.9%,0.0,-0.7,1-2-0,33.3%,1.3,3.7,4-2-0,66.7%,0.5,3.5,2-2-0,50.0%,-3.8,-0.9,1-2-0,33.3%,1.3,3.7,1-1-0,50.0%,2.0,1.8
Memphis,7-5-0,58.3%,8.2,6.6,4-3-0,57.1%,7.0,6.6,0-1-0,0.0%,2.0,-0.5,3-1-0,75.0%,10.0,7.4,4-3-0,57.1%,8.0,7.1,3-3-0,50.0%,6.2,6.8,3-1-0,75.0%,3.8,8.3,4-4-0,50.0%,10.4,5.8,4-2-0,66.7%,10.2,6.3,2-0-0,100.0%,18.0,20.8,4-4-0,50.0%,8.1,4.5,0-2-0,0.0%,-7.5,-15.5,3-0-0,100.0%,21.3,21.3,1-0-0,100.0%,-5.0,2.0
Houston,7-5-0,58.3%,5.2,2.5,5-3-0,62.5%,6.6,2.4,0-1-0,0.0%,-5.0,-13.0,3-1-0,75.0%,9.8,7.8,4-3-0,57.1%,4.0,1.7,2-3-0,40.0%,-1.8,-0.6,2-1-0,66.7%,-0.3,5.0,5-4-0,55.6%,7.0,1.7,5-2-0,71.4%,10.1,4.7,1-1-0,50.0%,6.0,-0.8,5-3-0,62.5%,6.1,4.0,1-0-0,100.0%,6.0,12.5,1-2-0,33.3%,1.0,-0.5,1-0-0,100.0%,6.0,12.5
Portland,7-5-1,58.3%,-7.7,0.2,4-4-0,50.0%,-10.9,-3.0,0-1-0,0.0%,-36.0,-28.5,6-2-0,75.0%,-2.9,4.2,1-2-1,33.3%,-10.3,-0.8,3-2-1,60.0%,-6.3,2.1,7-5-1,58.3%,-7.7,0.2,,,,,4-3-0,57.1%,-8.9,-1.5,2-1-1,66.7%,-9.0,2.9,5-2-0,71.4%,-2.1,4.0,1-1-0,50.0%,2.5,5.0,2-0-1,100.0%,-6.0,5.3,0-1-0,0.0%,-13.0,-9.0
Detroit,7-5-1,58.3%,-2.5,2.6,4-5-1,44.4%,-4.9,-0.6,0-1-0,0.0%,-6.0,-0.5,5-2-0,71.4%,0.1,5.6,2-2-1,50.0%,-5.6,-0.9,3-2-1,60.0%,-0.7,4.7,7-3-1,70.0%,-3.0,3.4,0-2-0,0.0%,0.0,-1.5,4-3-0,57.1%,-4.1,0.9,2-0-1,100.0%,-0.3,8.5,5-4-0,55.6%,-2.9,1.0,,,,,3-0-0,100.0%,5.3,13.2,,,,
