Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Orlando,Milwaukee,Orlando,+8,215.,223,[]
Dallas,Oklahoma City,Oklahoma City,-4.5,230.,222,[]
