,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,95.9,12:00 PM,Madison Square Garden,54,New Mexico,27,St Johns,New Mexico,Saint Johns,2-1-0,66.7%,11.3,1.7,,,,,1-1-0,50.0%,13.0,-3.8,2-1-0,66.7%,25.3,3.7,2-1-0,66.7%,25.3,+3.7,,,,
1,2,95.8,1:30 PM,ExtraMile Arena,40,Clemson,49,Boise St,Clemson,Boise State,1-2-0,33.3%,22.0,-2.5,,,,,1-2-0,33.3%,22.0,-2.5,1-1-0,50.0%,22.7,7.0,1-0-0,100.0%,39.5,+27.0,,,,
2,3,95.5,4:00 PM,DeSoto Civic Center,39,Utah,34,Miss State,Utah,Mississippi State,3-0-0,100.0%,35.7,10.2,,,,,3-0-0,100.0%,35.7,10.2,2-1-0,66.7%,30.3,5.3,2-1-0,66.7%,30.3,+5.3,,,,
3,4,93.8,1:00 PM,Sanford Sports Pentagon,52,St Marys,63,Nebraska,Saint Marys,Nebraska,1-2-0,33.3%,12.7,-1.3,,,,,1-2-0,33.3%,12.7,-1.3,0-3-0,0.0%,17.0,-7.7,0-3-0,0.0%,17.0,-7.7,,,,
4,5,87.4,5:00 PM,Matthew Knight Arena,122,Troy,41,Oregon,,Oregon,2-1-0,66.7%,3.7,1.8,1-1-0,50.0%,0.5,0.8,2-0-0,100.0%,13.5,4.3,1-2-0,33.3%,18.7,-1.8,1-2-0,33.3%,18.7,-1.8,,,,
5,6,84.4,9:30 PM,Galen Center,138,California,66,Usc,California,,1-1-1,50.0%,5.0,-1.8,0-1-0,0.0%,-16.0,-9.0,1-0-1,100.0%,15.5,1.8,1-2-0,33.3%,11.7,-6.5,1-2-0,33.3%,11.7,-6.5,,,,
6,7,83.4,4:00 PM,TD Arena,114,Liberty,101,Col Charlestn,Liberty,Charleston,2-1-0,66.7%,13.8,2.3,1-0-0,100.0%,2.0,3.0,1-1-0,50.0%,8.5,2.0,3-0-0,100.0%,9.3,5.7,2-0-0,100.0%,9.0,+5.5,,,,
7,8,80.6,8:00 PM,Desert Financial Arena,166,St. Thomas,61,Arizona St,Saint Thomas MN,Arizona State,2-0-0,100.0%,19.5,7.0,2-0-0,100.0%,2.5,7.0,1-0-0,100.0%,14.0,10.5,3-1-0,75.0%,4.3,8.0,0-1-0,0.0%,7.0,-11.0,3-0-0,100.0%,3.3,14.3
8,9,78.9,3:00 PM,E.A. Diddle Arena,141,Lipscomb,116,W Kentucky,Lipscomb,Western Kentucky,3-1-0,75.0%,-0.8,1.4,2-0-0,100.0%,-5.5,4.8,1-1-0,50.0%,4.0,-2.0,1-1-0,50.0%,6.3,2.3,0-1-0,0.0%,10.5,-6.0,1-1-0,50.0%,-4.5,2.3
9,10,78.5,10:30 PM,Alaska Airlines Arena at Hec Edmundson Pavilion,161,Mass Lowell,93,Washington,UMass Lowell,Washington,0-2-0,0.0%,1.3,-17.5,0-1-0,0.0%,-59.0,-31.5,0-1-0,0.0%,7.0,-3.5,0-2-0,0.0%,3.7,-6.5,0-1-0,0.0%,10.5,-9.5,0-1-0,0.0%,-10.0,-3.5
10,11,76.3,4:00 PM,Maples Pavilion,190,Uc Davis,60,Stanford,,Stanford,2-0-0,100.0%,2.7,5.8,2-0-0,100.0%,-1.0,5.8,1-0-0,100.0%,4.0,2.0,3-0-0,100.0%,25.3,8.2,3-0-0,100.0%,25.3,+8.2,,,,
11,12,73.6,3:00 PM,Thompson-Boling Arena at Food City Center,230,Austin Peay,6,Tennessee,Austin Peay,Tennessee,2-0-0,100.0%,9.3,14.0,1-0-0,100.0%,2.0,19.5,,,,,2-1-0,66.7%,24.3,7.2,1-1-0,50.0%,25.5,-1.5,1-0-0,100.0%,22.0,24.5
12,13,70.0,1:00 PM,Hammel Court,113,Princeton,206,Merrimack,Princeton,Merrimack,1-3-0,25.0%,1.5,-5.4,0-1-0,0.0%,3.0,-4.5,1-3-0,25.0%,1.5,-5.4,1-1-0,50.0%,-3.5,7.8,1-0-0,100.0%,14.0,+21.5,1-1-0,50.0%,-3.5,7.8
13,14,64.6,10:00 PM,SimpliFi Arena at Stan Sheriff Center,192,Weber St,175,Hawaii,Weber State,Hawaii,0-2-0,0.0%,8.3,-18.0,0-2-0,0.0%,-29.0,-18.0,,,,,2-0-0,100.0%,18.7,6.5,2-0-0,100.0%,18.7,+6.5,,,,
14,15,62.2,5:00 PM,Neches Federal Credit Union Arena at the Montagne,126,Sam Hous St,246,Lamar,Sam Houston,Lamar,1-2-0,33.3%,-8.0,-1.0,1-2-0,33.3%,-8.0,-1.0,1-0-0,100.0%,29.0,23.5,0-1-0,0.0%,22.5,-1.0,0-0-0,0.0%,71.0,--,0-1-0,0.0%,-26.0,-1.0
15,16,60.1,2:00 PM,CU Events Center,282,Harvard,73,Colorado,Harvard,Colorado,1-3-0,25.0%,-6.5,-6.6,0-3-0,0.0%,-13.0,-12.2,1-1-0,50.0%,0.5,-1.8,2-1-0,66.7%,17.3,2.3,2-1-0,66.7%,17.3,+2.3,,,,
16,17,59.6,3:00 PM,Pete Hanna Center,262,Tx Southern,117,Samford,,Samford,1-2-0,33.3%,-5.5,1.3,1-2-0,33.3%,-18.7,1.3,,,,,0-2-0,0.0%,24.3,-2.5,0-0-0,0.0%,49.0,--,,,,
17,18,57.4,2:30 PM,Rock Hill Sports & Event Center,264,Nc Central,140,Winthrop,,,2-2-1,50.0%,-8.4,-0.3,1-1-0,50.0%,-16.5,-0.5,0-1-0,0.0%,-6.0,-7.5,2-2-0,50.0%,13.6,-1.4,1-0-0,100.0%,37.5,+4.0,1-0-0,100.0%,-6.0,3.0
18,19,56.8,8:00 PM,Paul and Alejandra Foster Pavilion,321,Tarleton St,18,Baylor,Tarleton State,Baylor,1-3-0,25.0%,-13.0,-8.1,0-2-0,0.0%,-27.0,-10.8,1-0-0,100.0%,31.0,12.5,2-1-0,66.7%,1.3,-3.3,1-0-0,100.0%,37.0,+21.0,0-1-0,0.0%,-38.0,-31.5
19,20,55.9,5:00 PM,Provident Credit Union Event Center,112,Ucsb,284,San Jose St,,San Jose State,1-1-0,50.0%,31.7,13.3,1-0-0,100.0%,41.0,34.0,1-1-0,50.0%,23.0,13.3,0-3-0,0.0%,2.3,-11.8,0-1-0,0.0%,-4.0,-14.5,0-1-0,0.0%,-11.0,-6.5
