Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
William & Mary,Georgia Southern,William & Mary,2.5,161.,189,False
New Mexico,St. John'S,St. John's,-7.5,163.,156,False
Canisius,Western Michigan,Western Michigan,-6.0,142.5.,161,True
Campbell,Navy,Campbell,6.0,141.,152,False
Princeton,Merrimack,Princeton,-5.5,136.,125,False
Saint Mary'S,Nebraska,Nebraska,4.0,140.,151,True
Stonehill,Lindenwood,Lindenwood,2.5,135.,149,True
Clemson,Boise St.,Boise St.,-3.5,144.5.,155,True
Manhattan,Fairleigh Dickinson,Fairleigh Dickinson,1.0,155.,167,True
Coppin St.,Miami-Florida,Coppin St.,37.0,141.,156,False
North Carolina A&T,The Citadel,North Carolina A&T,3.0,148.,155,False
Harvard,Colorado,Colorado,-15.0,143.,154,True
Jacksonville St.,Coastal Carolina,Jacksonville St.,-2.5,133.5.,124,False
North Carolina Central,Winthrop,North Carolina Central,10.0,147.5.,152,False
Austin Peay,Tennessee,Tennessee,-29.0,141.,171,True
Texas Southern,Samford,Samford,-12.5,160.,179,True
Chattanooga,SE Missouri St.,SE Missouri St.,8.0,146.,169,True
Holy Cross,New Hampshire,New Hampshire,5.0,141.,146,True
Liberty,Charleston,Liberty,5.5,142.,115,False
Utah,Mississippi State,Utah,7.5,148.,151,False
UC Davis,Stanford,Stanford,-13.0,147.5.,144,True
Montana St.,Denver,Denver,5.5,148.,157,True
New Orleans,Robert Morris,Robert Morris,-9.5,141.5.,135,True
UC Santa Barbara,San Jose St.,San Jose St.,6.5,145.,123,True
Sam Houston St.,Lamar,Sam Houston St.,-6.5,150.,157,False
Troy,Oregon,Oregon,-13.0,146.5.,143,True
Sacred Heart,Brown,Brown,-9.0,145.5.,159,True
Cal Poly SLO,Eastern Washington,Cal Poly SLO,5.0,158.5.,160,False
Tarleton State,Baylor,Baylor,-31.5,143.,145,True
St. Thomas (MN),Arizona State,Arizona State,-12.5,145.5.,147,True
California,Southern California,California,7.0,153.5.,137,False
Weber St.,Hawaii,Weber St.,6.0,134.5.,141,False
Massachusetts Lowell,Washington,Massachusetts Lowell,11.5,153.5.,143,False
