Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.0,6:00 PM,Rocket Mortgage FieldHouse,2,Boston,3,Cleveland,BOS Celtics,Boston,CLE Cavaliers,Cleveland,-1,−112,False,+1,−108,True,Boston,994-924-38,51.8%,3.0,0.6,510-433-15,54.1%,0.6,1.1,Cleveland,902-932-36,49.2%,0.2,-0.3,458-467-12,49.5%,3.2,-0.1,Cleveland,+1,−108,414-438-14,48.6%,-6.6,-0.2,Boston,-1,−112,618-611-23,50.3%,6.4,-0.1
2,94.5,7:00 PM,Toyota Center,1,Okla City,5,Houston,OKC Thunder,Oklahoma City,HOU Rockets,Houston,-1.5,−108,False,+1.5,−112,True,Okla City,950-861-31,52.5%,1.0,0.3,470-423-17,52.6%,-2.1,0.2,Houston,896-907-26,49.7%,1.4,0.2,433-456-18,48.7%,4.1,0.1,Houston,+1.5,−112,380-385-11,49.7%,-4.9,1.0,Okla City,-1.5,−108,511-474-10,51.9%,6.6,0.1
3,83.8,10:00 PM,Intuit Dome,10,Denver,12,La Clippers,DEN Nuggets,Denver,LA Clippers,L.A. Clippers,-3,−108,False,+3,−112,True,Denver,932-881-35,51.4%,1.9,0.2,447-442-20,50.3%,-2.0,-0.3,La Clippers,887-920-20,49.1%,0.8,-0.1,434-461-8,48.5%,3.4,-0.3,La Clippers,+3,−112,375-428-7,46.7%,-6.0,-0.1,Denver,-3,−108,544-528-19,50.8%,6.1,-0.3
4,77.8,9:00 PM,Golden 1 Center,18,San Antonio,16,Sacramento,SA Spurs,San Antonio,SAC Kings,Sacramento,+6.5,−112,True,-6.5,−108,False,San Antonio,979-896-38,52.2%,3.7,0.5,472-460-17,50.6%,0.6,0.3,Sacramento,836-861-41,49.3%,-2.4,-0.4,393-449-21,46.7%,0.1,-0.8,San Antonio,+6.5,−112,292-296-8,49.7%,-5.6,0.0,Sacramento,-6.5,−108,297-336-17,46.9%,3.8,-1.5
5,72.8,3:30 PM,Barclays Center,9,Orlando,24,Brooklyn,ORL Magic,Orlando,BKN Nets,Brooklyn,-6.5,−110,False,+6.5,−110,True,Orlando,873-878-37,49.9%,-1.4,-0.1,447-426-19,51.2%,-4.0,0.1,Brooklyn,867-897-35,49.2%,-2.1,-0.3,409-461-19,47.0%,0.0,-1.0,Brooklyn,+6.5,−110,525-535-21,49.5%,-6.2,0.2,Orlando,-6.5,−110,366-365-14,50.1%,5.2,-0.6
6,71.5,6:00 PM,Scotiabank Arena,15,Miami,22,Toronto,MIA Heat,Miami,TOR Raptors,Toronto,-4.5,−112,False,+4.5,−108,True,Miami,979-930-43,51.3%,1.8,0.1,495-442-20,52.8%,-0.9,0.3,Toronto,898-878-34,50.6%,0.4,0.3,432-446-18,49.2%,3.0,0.0,Toronto,+4.5,−108,447-438-22,50.5%,-4.9,0.7,Miami,-4.5,−112,600-577-26,51.0%,5.8,-0.4
7,68.5,3:30 PM,FedExForum,19,Indiana,7,Memphis,IND Pacers,Indiana,MEM Grizzlies,Memphis,+6.5,−108,True,-6.5,−112,False,Indiana,915-883-43,50.9%,0.6,0.3,446-451-17,49.7%,-2.8,-0.1,Memphis,912-865-31,51.3%,-0.3,0.3,464-422-15,52.4%,2.4,0.2,Indiana,+6.5,−108,438-424-24,50.8%,-4.5,0.9,Memphis,-6.5,−112,428-405-16,51.4%,5.0,-0.4
8,65.0,9:00 PM,Moda Center,4,Dallas,28,Portland,DAL Mavericks,Dallas,POR Trail Blazers,Portland,-7,−110,False,+7,−110,True,Dallas,945-888-39,51.6%,2.1,0.2,501-417-14,54.6%,-0.6,0.5,Portland,870-892-27,49.4%,-1.2,-0.3,435-436-13,49.9%,2.1,-0.1,Portland,+7,−110,456-491-15,48.2%,-6.7,-0.3,Dallas,-7,−110,553-562-29,49.6%,5.8,-0.6
9,55.7,8:00 PM,Delta Center,17,La Lakers,29,Utah,LA Lakers,L.A. Lakers,UTA Jazz,Utah,-7,−115,False,+7,−105,True,La Lakers,872-979-32,47.1%,0.3,-0.5,432-480-13,47.4%,-3.1,-0.9,Utah,891-876-37,50.4%,1.0,0.1,455-415-22,52.3%,4.9,0.7,Utah,+7,−105,394-412-16,48.9%,-5.6,0.2,La Lakers,-7,−115,464-545-19,46.0%,5.4,-1.2
10,53.5,6:00 PM,Madison Square Garden,27,New Orleans,6,New York,NO Pelicans,New Orleans,NY Knicks,New York,+12,−110,True,-12,−110,False,New Orleans,869-865-30,50.1%,-1.1,0.2,432-428-17,50.2%,-3.4,0.6,New York,876-853-24,50.7%,-2.1,0.1,424-440-10,49.1%,0.1,-0.4,New Orleans,+12,−110,512-481-17,51.6%,-4.9,1.3,New York,-12,−110,323-305-6,51.4%,4.4,-0.5
