Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.0,6:00 PM,Rocket Mortgage FieldHouse,2,Boston,3,Cleveland,BOS Celtics,Boston,CLE Cavaliers,Cleveland,-1,−112,False,+1,−108,True,Boston,8-11-0,42.1%,10.6,0.1,5-5-0,50.0%,13.0,2.3,Cleveland,14-6-0,70.0%,9.8,3.0,8-3-0,72.7%,12.4,3.3,Cleveland,+1,−108,3-0-0,100.0%,1.3,5.2,Boston,-1,−112,8-11-0,42.1%,10.6,0.1
2,94.5,7:00 PM,Toyota Center,1,Okla City,5,Houston,OKC Thunder,Oklahoma City,HOU Rockets,Houston,-1.5,−108,False,+1.5,−112,True,Okla City,11-8-0,57.9%,10.7,2.7,6-3-0,66.7%,10.6,4.7,Houston,14-6-0,70.0%,8.5,5.0,8-3-0,72.7%,11.9,5.4,Houston,+1.5,−112,4-1-0,80.0%,0.8,5.3,Okla City,-1.5,−108,10-8-0,55.6%,10.4,1.9
3,83.8,10:00 PM,Intuit Dome,10,Denver,12,La Clippers,DEN Nuggets,Denver,LA Clippers,L.A. Clippers,-3,−108,False,+3,−112,True,Denver,7-9-1,43.8%,1.9,-0.6,4-4-0,50.0%,4.8,3.9,La Clippers,14-7-0,66.7%,2.2,4.3,7-4-0,63.6%,3.7,3.5,La Clippers,+3,−112,9-5-0,64.3%,-2.7,3.3,Denver,-3,−108,3-8-1,27.3%,1.0,-4.8
4,77.8,9:00 PM,Golden 1 Center,18,San Antonio,16,Sacramento,SA Spurs,San Antonio,SAC Kings,Sacramento,+6.5,−112,True,-6.5,−108,False,San Antonio,10-9-0,52.6%,0.3,2.7,3-4-0,42.9%,-6.4,-0.6,Sacramento,7-12-1,36.8%,0.4,-3.9,2-7-1,22.2%,1.3,-4.2,San Antonio,+6.5,−112,6-7-0,46.2%,-4.2,1.4,Sacramento,-6.5,−108,4-8-1,33.3%,1.3,-6.1
5,72.8,3:30 PM,Barclays Center,9,Orlando,24,Brooklyn,ORL Magic,Orlando,BKN Nets,Brooklyn,-6.5,−110,False,+6.5,−110,True,Orlando,13-8-0,61.9%,5.7,3.1,5-7-0,41.7%,-1.7,-0.5,Brooklyn,13-6-1,68.4%,-3.0,4.0,4-4-0,50.0%,-5.4,-1.6,Brooklyn,+6.5,−110,11-4-1,73.3%,-3.6,5.6,Orlando,-6.5,−110,11-3-0,78.6%,12.1,5.4
6,71.5,6:00 PM,Scotiabank Arena,15,Miami,22,Toronto,MIA Heat,Miami,TOR Raptors,Toronto,-4.5,−112,False,+4.5,−108,True,Miami,8-9-0,47.1%,1.6,0.1,5-4-0,55.6%,2.1,2.3,Toronto,13-7-0,65.0%,-4.4,3.7,6-2-0,75.0%,-1.9,4.5,Toronto,+4.5,−108,13-7-0,65.0%,-4.4,3.7,Miami,-4.5,−112,5-6-0,45.5%,4.3,-0.4
7,68.5,3:30 PM,FedExForum,19,Indiana,7,Memphis,IND Pacers,Indiana,MEM Grizzlies,Memphis,+6.5,−108,True,-6.5,−112,False,Indiana,7-12-1,36.8%,-3.8,-5.7,3-7-0,30.0%,-8.7,-8.0,Memphis,13-7-0,65.0%,8.5,5.8,8-4-0,66.7%,10.5,5.5,Indiana,+6.5,−108,4-4-0,50.0%,-5.1,-0.5,Memphis,-6.5,−112,8-6-0,57.1%,10.9,5.0
8,65.0,9:00 PM,Moda Center,4,Dallas,28,Portland,DAL Mavericks,Dallas,POR Trail Blazers,Portland,-7,−110,False,+7,−110,True,Dallas,11-8-1,57.9%,6.5,3.3,5-4-1,55.6%,0.9,1.7,Portland,12-7-1,63.2%,-7.6,1.0,6-3-0,66.7%,-5.4,1.6,Portland,+7,−110,12-7-1,63.2%,-7.6,1.0,Dallas,-7,−110,6-6-0,50.0%,8.7,0.8
9,55.7,8:00 PM,Delta Center,17,La Lakers,29,Utah,LA Lakers,L.A. Lakers,UTA Jazz,Utah,-7,−115,False,+7,−105,True,La Lakers,8-11-0,42.1%,-1.3,-4.3,3-6-0,33.3%,-5.6,-7.1,Utah,8-11-0,42.1%,-9.9,-2.9,3-7-0,30.0%,-11.3,-5.5,Utah,+7,−105,8-11-0,42.1%,-9.9,-2.9,La Lakers,-7,−115,6-7-0,46.2%,3.7,-2.1
10,53.5,6:00 PM,Madison Square Garden,27,New Orleans,6,New York,NO Pelicans,New Orleans,NY Knicks,New York,+12,−110,True,-12,−110,False,New Orleans,7-13-0,35.0%,-11.8,-7.5,2-8-0,20.0%,-18.2,-12.4,New York,8-10-1,44.4%,4.9,-0.4,3-3-1,50.0%,11.4,3.5,New Orleans,+12,−110,6-8-0,42.9%,-11.8,-4.1,New York,-12,−110,7-9-1,43.8%,5.3,-1.1
