Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.0,6:00 PM,Rocket Mortgage FieldHouse,2,Boston,3,Cleveland,BOS Celtics,Boston,CLE Cavaliers,Cleveland,-1,−112,False,+1,−108,True,Boston,511-430-20,54.3%,4.4,1.0,253-201-8,55.7%,2.3,1.2,Cleveland,423-469-21,47.4%,0.6,-0.5,219-232-8,48.6%,3.0,-0.3,Cleveland,+1,−108,178-201-6,47.0%,-6.9,-0.3,Boston,-1,−112,355-320-15,52.6%,6.8,0.2
2,94.5,7:00 PM,Toyota Center,1,Okla City,5,Houston,OKC Thunder,Oklahoma City,HOU Rockets,Houston,-1.5,−108,False,+1.5,−112,True,Okla City,448-410-14,52.2%,1.2,0.3,219-203-6,51.9%,-1.7,-0.2,Houston,433-446-14,49.3%,0.4,-0.2,212-219-9,49.2%,2.9,-0.1,Houston,+1.5,−112,189-208-7,47.6%,-6.7,-0.1,Okla City,-1.5,−108,237-231-4,50.6%,6.9,0.3
3,83.8,10:00 PM,Intuit Dome,10,Denver,12,La Clippers,DEN Nuggets,Denver,LA Clippers,L.A. Clippers,-3,−108,False,+3,−112,True,Denver,437-441-20,49.8%,1.6,-0.1,209-214-9,49.4%,-1.6,-0.5,La Clippers,454-438-7,50.9%,2.9,0.2,213-225-2,48.6%,4.8,-0.4,La Clippers,+3,−112,150-154-1,49.3%,-4.6,0.6,Denver,-3,−108,252-273-12,48.0%,5.4,-0.9
4,77.8,9:00 PM,Golden 1 Center,18,San Antonio,16,Sacramento,SA Spurs,San Antonio,SAC Kings,Sacramento,+6.5,−112,True,-6.5,−108,False,San Antonio,431-419-15,50.7%,1.0,0.2,208-209-11,49.9%,-1.7,0.0,Sacramento,403-402-24,50.1%,-2.4,-0.4,182-215-12,45.8%,-1.1,-1.3,San Antonio,+6.5,−112,197-200-8,49.6%,-6.5,-0.1,Sacramento,-6.5,−108,140-159-8,46.8%,3.4,-1.6
5,72.8,3:30 PM,Barclays Center,9,Orlando,24,Brooklyn,ORL Magic,Orlando,BKN Nets,Brooklyn,-6.5,−110,False,+6.5,−110,True,Orlando,420-406-13,50.9%,-3.4,-0.1,218-194-5,52.9%,-5.6,0.1,Brooklyn,418-422-16,49.8%,-2.0,0.0,187-222-10,45.7%,-0.4,-0.7,Brooklyn,+6.5,−110,270-247-12,52.2%,-5.9,0.7,Orlando,-6.5,−110,122-102-3,54.5%,5.0,-0.1
6,71.5,6:00 PM,Scotiabank Arena,15,Miami,22,Toronto,MIA Heat,Miami,TOR Raptors,Toronto,-4.5,−112,False,+4.5,−108,True,Miami,457-432-23,51.4%,0.8,0.2,235-198-8,54.3%,-1.2,0.8,Toronto,449-444-13,50.3%,2.3,0.2,218-220-6,49.8%,4.6,0.0,Toronto,+4.5,−108,172-165-9,51.0%,-4.1,0.8,Miami,-4.5,−112,243-246-17,49.7%,4.4,-0.9
7,68.5,3:30 PM,FedExForum,19,Indiana,7,Memphis,IND Pacers,Indiana,MEM Grizzlies,Memphis,+6.5,−108,True,-6.5,−112,False,Indiana,434-414-19,51.2%,0.3,0.4,212-209-6,50.4%,-2.4,0.0,Memphis,436-419-13,51.0%,-0.5,0.3,228-197-7,53.7%,2.2,0.8,Indiana,+6.5,−108,220-206-9,51.6%,-4.3,1.0,Memphis,-6.5,−112,202-192-8,51.3%,5.2,-0.2
8,65.0,9:00 PM,Moda Center,4,Dallas,28,Portland,DAL Mavericks,Dallas,POR Trail Blazers,Portland,-7,−110,False,+7,−110,True,Dallas,446-420-20,51.5%,0.7,0.5,233-196-8,54.3%,-1.5,0.9,Portland,422-434-18,49.3%,-1.4,-0.4,207-210-10,49.6%,1.6,-0.1,Portland,+7,−110,212-239-10,47.0%,-7.4,-0.8,Dallas,-7,−110,220-211-11,51.0%,5.5,-0.3
9,55.7,8:00 PM,Delta Center,17,La Lakers,29,Utah,LA Lakers,L.A. Lakers,UTA Jazz,Utah,-7,−115,False,+7,−105,True,La Lakers,405-453-12,47.2%,-1.8,-0.4,194-220-5,46.9%,-4.8,-0.9,Utah,435-414-21,51.2%,2.1,0.4,214-199-13,51.8%,5.3,0.9,Utah,+7,−105,180-171-7,51.3%,-5.0,0.7,La Lakers,-7,−115,167-197-6,45.9%,4.3,-1.5
10,53.5,6:00 PM,Madison Square Garden,27,New Orleans,6,New York,NO Pelicans,New Orleans,NY Knicks,New York,+12,−110,True,-12,−110,False,New Orleans,418-419-11,49.9%,-0.5,0.3,207-205-7,50.2%,-2.3,0.8,New York,416-411-15,50.3%,-2.3,0.4,198-214-7,48.1%,-0.6,-0.1,New Orleans,+12,−110,236-227-7,51.0%,-4.4,1.2,New York,-12,−110,150-127-4,54.2%,5.4,0.7
