Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Norfolk State,Baylor,Norfolk State,+25.5,145.,163,[]
LIU,Massachusetts Lowell,LIU,+14.5,151.,131,[]
Tenn-Martin,Alabama St.,Alabama St.,-4.5,145.5.,196,[]
Eastern Kentucky,Pittsburgh,Pittsburgh,-18.5,148.5.,152,[]
Dartmouth,Notre Dame,Dartmouth,+17,142.,142 pushed the pre-game total of 142.,[]
Maine,Duquesne,Maine,+4,133.,117,[]
IUPUI,Purdue Fort Wayne,IUPUI,+14.5,151.,154,[]
Texas-El Paso,Louisville,Texas-El Paso,+14.5,145.5.,151,[]
Bryant,St. John'S,St. John's,-21.5,160.,176,[]
NJIT,Delaware State,Delaware State,-5,141.,130,[]
Fairleigh Dickinson,Villanova,Fairleigh Dickinson,+28.5,151.,158,[]
North Alabama,East Carolina,North Alabama,+7.5,139.,141,[]
Marshall,Wright St.,Wright St.,-5.5,150.5.,167,[]
Milwaukee,Green Bay,Milwaukee,-5.5,159.,155,[]
Arkansas-Pine Bluff,UL Monroe,UL Monroe,-12,156.5.,162,[]
Colgate,Kentucky,Colgate,+32,156.,145,[]
North Dakota,Utah Valley,Utah Valley,-11,147.,137,[]
Southeastern Louisiana,UL Lafayette,UL Lafayette,-4.5,144.,129,[]
Fresno St.,Brigham Young,Brigham Young,-25.5,157.5.,162,[]
California Baptist,San Diego St.,California Baptist,+14,136.,156,[]
South Dakota State,Nevada,Nevada,-11.5,142.,140,[]
