Rank,Hotness Score,Matchup,Time,Location
1,87.5,#120 S Dakota St  at  #51 Nevada,10:00 PM,Lawlor Events Center
2,83.8,#145 TX El Paso  at  #52 Louisville,7:00 PM,KFC Yum! Center
3,83.3,#158 Bryant  at  #25 St Johns,7:00 PM,Carnesecca Arena
4,81.1,#180 Norfolk St  at  #13 Baylor,12:00 PM,Paul and Alejandra Foster Pavilion
5,79.8,#174 Cal Baptist  at  #48 San Diego St,10:00 PM,Viejas Arena
6,75.2,#213 E Kentucky  at  #30 Pittsburgh,7:00 PM,Petersen Events Center
7,70.7,#245 Colgate  at  #8 Kentucky,8:00 PM,Rupp Arena at Central Bank Center
8,68.7,#182 Marshall  at  #150 Wright St,7:00 PM,Nutter Center
9,65.4,#205 N Alabama  at  #156 E Carolina,7:00 PM,Williams Arena at Minges Coliseum
10,64.1,#278 Fresno St  at  #38 BYU,9:00 PM,Marriott Center
11,58.8,#211 Maine  at  #197 Duquesne,7:00 PM,UPMC Cooper Fieldhouse
12,55.9,#309 Dartmouth  at  #71 Notre Dame,7:00 PM,Purcell Pavilion at the Joyce Center
13,52.1,#339 F Dickinson  at  #44 Villanova,7:00 PM,William B. Finneran Pavilion
14,47.7,#289 North Dakota  at  #179 Utah Valley,8:00 PM,UCCU Center
15,47.1,#319 LIU  at  #136 Mass Lowell,6:00 PM,Costello Athletic Center
16,46.2,#331 IU Indy  at  #124 IPFW,7:00 PM,Allen County War Memorial Coliseum
17,44.5,#167 WI-Milwkee  at  #316 WI-Grn Bay,7:00 PM,Resch Center
18,40.4,#229 SE Louisiana  at  #288 Louisiana,8:00 PM,Cajundome
19,28.8,#312 TN Martin  at  #272 Alabama St,7:00 PM,Dunn-Oliver Acadome
20,9.8,#363 Ark Pine Bl  at  #322 UL Monroe,7:30 PM,Fant-Ewing Coliseum
21,8.5,#350 NJIT  at  #343 Delaware St,7:00 PM,Memorial Hall/Bayhealth Court
22,--,Columbia College (SC)  at  #234 Presbyterian,12:00 PM,Ross E. Templeton Physical Education Center
22,--,Lesley University  at  #328 Stonehill,7:00 PM,Merkert Gymnasium
22,--,Virginia-Lynchburg  at  #267 Howard,7:00 PM,Burr Gymnasium
22,--,Southern Virginia  at  #262 Coastal Car,7:00 PM,HTC Center
22,--,Cumberland (KY)  at  #221 N Kentucky,7:00 PM,Truist Arena
22,--,CSU Stanislaus  at  #58 San Francisco,10:00 PM,War Memorial at the Sobrato Center
22,--,Bluefield College  at  #187 NC-Asheville,4:30 PM,Kimmel Arena
