,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,98.9,7:00 PM,Mackey Arena,7,Alabama,16,Purdue,Alabama,Purdue,1-2-0,33.3%,24.3,+0.8,,,,,1-2-0,33.3%,24.3,0.8,1-2-0,33.3%,15.7,-4.3,1-2-0,33.3%,15.7,-4.3,,,,
1,2,98.5,9:00 PM,Reed Arena,17,Ohio St,28,Texas A&M,Ohio State,Texas A&M,2-0-0,100.0%,21.0,+12.3,,,,,1-0-0,100.0%,34.0,15.0,2-1-0,66.7%,18.3,-2.5,2-0-0,100.0%,29.0,+1.0,,,,
2,3,97.9,8:00 PM,Xfinity Center,19,Marquette,34,Maryland,Marquette,Maryland,2-1-0,66.7%,22.3,+1.3,,,,,2-1-0,66.7%,22.3,1.3,2-1-0,66.7%,31.7,+4.5,2-1-0,66.7%,31.7,+4.5,,,,
3,4,96.5,9:00 PM,Kohl Center,4,Arizona,41,Wisconsin,Arizona,Wisconsin,1-1-0,50.0%,43.5,+9.8,,,,,1-1-0,50.0%,43.5,9.8,2-1-0,66.7%,22.3,+3.7,2-1-0,66.7%,22.3,+3.7,,,,
4,5,96.0,6:00 PM,Crisler Center,56,Tx Christian,26,Michigan,,Michigan,1-2-0,33.3%,22.3,+2.3,,,,,1-2-0,33.3%,22.3,2.3,1-1-0,50.0%,23.0,+11.3,1-0-0,100.0%,48.0,+26.5,,,,
5,6,94.1,7:30 PM,Baltimore Arena,79,Va Tech,20,Penn St,,Penn State,1-2-0,33.3%,16.0,-1.0,,,,,1-2-0,33.3%,16.0,-1.0,2-1-0,66.7%,40.3,+15.7,2-1-0,66.7%,40.3,+15.7,,,,
6,7,93.0,8:00 PM,Petersen Events Center,76,W Virginia,33,Pittsburgh,West Virginia,Pittsburgh,1-1-0,50.0%,17.0,+3.3,,,,,1-1-0,50.0%,17.0,3.3,2-1-0,66.7%,24.7,+6.7,2-1-0,66.7%,24.7,+6.7,,,,
7,8,92.6,6:00 PM,Donald L. Tucker Center,29,Florida,84,Florida St,Florida,Florida State,1-2-0,33.3%,20.0,-0.3,,,,,1-2-0,33.3%,20.0,-0.3,2-1-0,66.7%,13.3,+1.8,2-0-0,100.0%,16.0,+3.8,,,,
8,9,92.2,8:30 PM,Vibrant Arena at The MARK,78,Wash State,48,Iowa,Washington State,Iowa,2-1-0,66.7%,16.0,+5.5,,,,,2-1-0,66.7%,16.0,5.5,0-3-0,0.0%,18.7,-6.7,0-3-0,0.0%,18.7,-6.7,,,,
9,10,90.4,7:00 PM,Hinkle Fieldhouse,49,S Methodist,97,Butler,SMU,Butler,1-2-0,33.3%,25.3,+5.0,,,,,1-2-0,33.3%,25.3,5.0,1-2-0,33.3%,8.3,-9.0,1-2-0,33.3%,8.3,-9.0,,,,
10,11,88.5,7:00 PM,TD Arena,73,Fla Atlantic,98,Col Charlestn,Florida Atlantic,Charleston,1-1-0,50.0%,25.7,+12.3,0-1-0,0.0%,-6.0,-1.5,1-0-0,100.0%,33.0,26.0,2-0-0,100.0%,12.5,+8.0,1-0-0,100.0%,15.0,+10.0,,,,
11,12,87.8,9:00 PM,McCarthey Athletic Center,128,Mass Lowell,3,Gonzaga,UMass Lowell,Gonzaga,0-1-0,0.0%,31.5,-3.5,,,,,0-1-0,0.0%,7.0,-3.5,1-1-0,50.0%,23.0,+9.0,1-1-0,50.0%,23.0,+9.0,,,,
12,13,87.7,5:00 PM,Baltimore Arena,100,Virginia,75,Villanova,Virginia,Villanova,0-2-0,0.0%,13.0,-7.3,,,,,0-2-0,0.0%,13.0,-7.3,1-3-0,25.0%,8.0,-7.4,1-2-0,33.3%,13.0,-6.3,,,,
13,14,87.6,8:00 PM,McCamish Pavilion,74,Georgia,103,Ga Tech,Georgia,,1-2-0,33.3%,15.3,-4.0,,,,,1-2-0,33.3%,15.3,-4.0,1-2-0,33.3%,10.0,-8.0,1-2-0,33.3%,10.0,-8.0,,,,
14,15,87.4,7:00 PM,Nido and Mariana Qubein Arena,86,Uab,96,High Point,,High Point,1-2-0,33.3%,6.3,-7.0,,,,,1-2-0,33.3%,6.3,-7.0,1-2-0,33.3%,22.3,+0.7,1-2-0,33.3%,22.3,+0.7,,,,
15,16,86.1,7:00 PM,Jadwin Gymnasium,92,Loyola-Chi,104,Princeton,Loyola Chicago,Princeton,0-2-0,0.0%,27.0,-8.3,,,,,0-2-0,0.0%,14.5,-8.3,1-2-0,33.3%,3.7,-4.8,0-1-0,0.0%,1.0,-11.5,,,,
16,17,83.5,7:00 PM,Fifth Third Arena,162,Nicholls,12,Cincinnati,Nicholls State,Cincinnati,2-1-0,66.7%,9.5,+2.5,2-0-0,100.0%,-2.5,9.5,0-1-0,0.0%,-6.0,-11.5,1-1-0,50.0%,41.0,+8.8,1-1-0,50.0%,41.0,+8.8,,,,
17,18,81.3,8:00 PM,FedExForum,163,Ohio,47,Memphis,Ohio,Memphis,0-3-0,0.0%,-4.7,-7.7,0-2-0,0.0%,-10.0,-9.8,0-2-0,0.0%,-2.0,-8.0,2-0-0,100.0%,7.0,+6.0,1-0-0,100.0%,8.0,+4.5,1-0-0,100.0%,6.0,7.5
18,19,80.5,9:00 PM,Wintrust Arena,138,Duquesne,107,Depaul,Duquesne,,0-2-0,0.0%,-6.0,-5.3,,,,,0-1-0,0.0%,-5.0,-9.0,2-1-0,66.7%,22.0,+8.3,2-1-0,66.7%,22.0,+8.3,,,,
19,20,77.9,7:00 PM,Conte Forum,116,Temple,151,Boston Col,Temple,Boston College,1-2-0,33.3%,16.0,+5.5,,,,,1-2-0,33.3%,16.0,5.5,0-2-0,0.0%,-8.0,-10.8,0-1-0,0.0%,9.0,-7.5,0-1-0,0.0%,-25.0,-14.0
20,21,74.6,7:00 PM,Bon Secours Wellness Arena,154,Tulane,140,Furman,Tulane,Furman,2-0-0,100.0%,27.7,+8.3,,,,,2-0-0,100.0%,24.5,8.3,2-0-0,100.0%,23.0,+2.8,1-0-0,100.0%,33.5,+1.0,1-0-0,100.0%,2.0,4.5
21,22,74.2,8:45 PM,CB&S Bank Arena at Flowers Hall,120,Samford,170,N Alabama,Samford,North Alabama,0-1-0,0.0%,32.0,-4.5,0-1-0,0.0%,-2.0,-4.5,0-1-0,0.0%,-2.0,-4.5,3-0-0,100.0%,23.3,+14.5,2-0-0,100.0%,27.0,+11.3,1-0-0,100.0%,16.0,21.0
