Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Atlanta,11-2-0,84.6%,15.4%,6.9,6-0-0,100.0%,0.0%,14.7,1-0-0,100.0%,0.0%,12.5,6-1-0,85.7%,14.3%,7.7,4-1-0,80.0%,20.0%,4.7,5-0-0,100.0%,0.0%,11.3,5-1-0,83.3%,16.7%,3.5,6-1-0,85.7%,14.3%,9.9,6-2-0,75.0%,25.0%,4.2,1-2-0,33.3%,66.7%,-4.8,7-0-0,100.0%,0.0%,11.4,3-0-0,100.0%,0.0%,4.7,2-2-0,50.0%,50.0%,-3.0,2-0-0,100.0%,0.0%,6.3
Golden State,9-3-0,75.0%,25.0%,5.3,7-2-0,77.8%,22.2%,3.7,1-0-0,100.0%,0.0%,22.0,2-0-0,100.0%,0.0%,14.0,6-3-0,66.7%,33.3%,1.6,6-1-0,85.7%,14.3%,11.0,5-0-0,100.0%,0.0%,17.1,4-3-0,57.1%,42.9%,-3.1,3-2-0,60.0%,40.0%,-2.6,0-1-0,0.0%,100.0%,-26.0,6-2-0,75.0%,25.0%,3.9,2-1-0,66.7%,33.3%,10.3,,,,,2-0-0,100.0%,0.0%,18.3
Denver,8-3-0,72.7%,27.3%,11.5,6-1-0,85.7%,14.3%,11.2,0-2-0,0.0%,100.0%,-31.0,2-1-0,66.7%,33.3%,11.3,6-1-0,85.7%,14.3%,18.8,3-1-0,75.0%,25.0%,21.4,2-0-0,100.0%,0.0%,18.8,6-3-0,66.7%,33.3%,9.8,5-2-0,71.4%,28.6%,5.8,2-0-0,100.0%,0.0%,37.5,5-1-0,83.3%,16.7%,16.2,0-1-0,0.0%,100.0%,-22.5,2-1-0,66.7%,33.3%,23.3,1-0-0,100.0%,0.0%,16.0
Memphis,9-4-0,69.2%,30.8%,5.9,6-1-0,85.7%,14.3%,12.6,1-0-0,100.0%,0.0%,20.5,3-2-0,60.0%,40.0%,3.7,5-2-0,71.4%,28.6%,5.4,5-2-0,71.4%,28.6%,6.3,4-1-0,80.0%,20.0%,6.1,5-3-0,62.5%,37.5%,5.8,4-2-0,66.7%,33.3%,5.4,1-1-0,50.0%,50.0%,2.0,6-3-0,66.7%,33.3%,3.8,0-2-0,0.0%,100.0%,-7.3,3-1-0,75.0%,25.0%,0.8,1-0-0,100.0%,0.0%,18.0
Indiana,8-4-0,66.7%,33.3%,0.1,5-2-0,71.4%,28.6%,1.4,0-1-0,0.0%,100.0%,-12.0,6-0-0,100.0%,0.0%,16.4,2-3-0,40.0%,60.0%,-17.0,3-4-0,42.9%,57.1%,-9.4,4-2-0,66.7%,33.3%,6.7,4-2-0,66.7%,33.3%,-6.4,5-0-0,100.0%,0.0%,13.4,1-0-0,100.0%,0.0%,9.0,6-2-0,75.0%,25.0%,2.6,1-1-0,50.0%,50.0%,-8.0,2-1-0,66.7%,33.3%,2.5,1-1-0,50.0%,50.0%,-8.0
Cleveland,9-5-0,64.3%,35.7%,8.2,7-3-0,70.0%,30.0%,10.1,1-0-0,100.0%,0.0%,17.0,,,,,8-5-0,61.5%,38.5%,7.5,4-3-0,57.1%,42.9%,7.7,0-2-0,0.0%,100.0%,-5.8,9-3-0,75.0%,25.0%,10.5,5-2-0,71.4%,28.6%,8.6,1-2-0,33.3%,66.7%,1.7,7-3-0,70.0%,30.0%,9.3,1-0-0,100.0%,0.0%,1.5,1-2-0,33.3%,66.7%,4.2,,,,
Washington,7-4-0,63.6%,36.4%,4.2,3-3-0,50.0%,50.0%,3.3,0-1-0,0.0%,100.0%,-7.0,6-2-0,75.0%,25.0%,5.3,1-1-0,50.0%,50.0%,5.8,4-2-0,66.7%,33.3%,2.4,7-4-0,63.6%,36.4%,4.2,,,,,3-2-0,60.0%,40.0%,6.4,0-1-0,0.0%,100.0%,-32.0,6-1-0,85.7%,14.3%,13.3,3-1-0,75.0%,25.0%,5.6,1-0-0,100.0%,0.0%,4.5,1-1-0,50.0%,50.0%,-3.8
Chicago,8-5-0,61.5%,38.5%,6.2,5-3-0,62.5%,37.5%,4.0,1-0-0,100.0%,0.0%,9.0,5-2-0,71.4%,28.6%,12.9,2-3-0,40.0%,60.0%,-3.8,6-2-0,75.0%,25.0%,9.4,7-5-0,58.3%,41.7%,4.0,1-0-0,100.0%,0.0%,31.5,2-3-0,40.0%,60.0%,1.0,1-1-0,50.0%,50.0%,2.3,5-4-0,55.6%,44.4%,3.9,2-1-0,66.7%,33.3%,14.5,1-1-0,50.0%,50.0%,2.3,1-0-0,100.0%,0.0%,31.5
Minnesota,8-5-0,61.5%,38.5%,2.9,4-4-0,50.0%,50.0%,-1.0,0-1-0,0.0%,100.0%,-11.0,4-2-0,66.7%,33.3%,5.7,4-2-0,66.7%,33.3%,2.4,5-2-0,71.4%,28.6%,7.6,,,,,8-5-0,61.5%,38.5%,2.9,3-3-0,50.0%,50.0%,-2.7,2-1-0,66.7%,33.3%,-2.0,3-3-0,50.0%,50.0%,-0.3,2-1-0,66.7%,33.3%,11.5,2-0-0,100.0%,0.0%,5.5,3-0-0,100.0%,0.0%,18.8
Phoenix,8-5-0,61.5%,38.5%,-2.4,4-3-0,57.1%,42.9%,-4.6,1-0-0,100.0%,0.0%,4.5,1-2-0,33.3%,66.7%,-18.8,6-3-0,66.7%,33.3%,2.3,5-2-0,71.4%,28.6%,-0.6,2-3-0,40.0%,60.0%,-10.0,6-2-0,75.0%,25.0%,2.4,3-3-0,50.0%,50.0%,-4.5,1-1-0,50.0%,50.0%,-4.8,5-4-0,55.6%,44.4%,-5.6,1-1-0,50.0%,50.0%,-2.3,3-1-0,75.0%,25.0%,1.4,1-0-0,100.0%,0.0%,24.0
